"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-Saran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  261071"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sonepur(122)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Bal Mukund Chauhan"	"Rajiv Pratap Rudy"	"Rabri Devi"	"Saleem Perwez"	"Chandan Kumar Alias Chandan Gupta"	"Niraj Ram"	"Parmatma Singh"	"Ranjan kumar"	"Rajesh Kumar"	"Lalan Prasad"	"Lalu Rai"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"9"	"129"	"287"	"71"	"3"	"2"	"1"	"2"	"5"	"7"	"4"	"520"	"0"	"9"	"529"	"0"
"14"	"2"	"2"	"31"	"675"	"5"	"2"	"0"	"4"	"0"	"0"	"3"	"2"	"724"	"0"	"4"	"728"	"0"
"15"	"3"	"5"	"265"	"269"	"64"	"7"	"1"	"3"	"1"	"8"	"13"	"5"	"641"	"0"	"15"	"656"	"0"
"16"	"4"	"2"	"219"	"208"	"86"	"3"	"1"	"1"	"1"	"2"	"3"	"8"	"534"	"0"	"7"	"541"	"0"
"17"	"5"	"1"	"324"	"44"	"17"	"0"	"0"	"4"	"0"	"0"	"2"	"3"	"395"	"0"	"8"	"403"	"0"
"18"	"6"	"5"	"507"	"226"	"31"	"4"	"4"	"0"	"0"	"7"	"10"	"2"	"796"	"0"	"6"	"802"	"0"
"19"	"7"	"3"	"175"	"261"	"41"	"2"	"1"	"0"	"2"	"6"	"7"	"10"	"508"	"0"	"4"	"512"	"0"
"20"	"8"	"5"	"216"	"228"	"46"	"6"	"2"	"0"	"1"	"5"	"6"	"3"	"518"	"0"	"5"	"523"	"0"
"21"	"8A"	"6"	"191"	"265"	"33"	"5"	"1"	"3"	"2"	"4"	"7"	"7"	"524"	"0"	"7"	"531"	"0"
"22"	"9"	"4"	"533"	"95"	"34"	"1"	"1"	"3"	"2"	"2"	"9"	"9"	"693"	"0"	"3"	"696"	"0"
"23"	"10"	"7"	"187"	"199"	"21"	"2"	"2"	"1"	"1"	"3"	"7"	"6"	"436"	"0"	"11"	"447"	"0"
"24"	"11"	"10"	"339"	"275"	"100"	"5"	"1"	"3"	"2"	"8"	"5"	"2"	"750"	"0"	"5"	"755"	"0"
"25"	"12"	"6"	"85"	"623"	"9"	"4"	"4"	"0"	"1"	"2"	"12"	"4"	"750"	"0"	"8"	"758"	"0"
