"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 9-Araria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  269309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Raniganj(47)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"ABDUL RAHMAN"	"TASLEEM UDDIN"	"PRADEEP KUMAR SINGH"	"VIJAY KUMAR MANDAL"	"MD. ASLAM BEG"	"CHANDRA BHUSHAN"	"RAJESH KUMAR"	"RAMANAND RISHIDEO"	"BIDAYANAND PASWAN"	"SANJAY KUMAR RISHIDEV"	"SAR WAT JAHRE ANSARI"	"ALAMDAR HUSSAIN"	"PANKAJ KISHOR MANDAL"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"13"	"72"	"229"	"368"	"5"	"9"	"4"	"5"	"3"	"0"	"4"	"2"	"5"	"719"	"0"	"14"	"733"	"0"
"14"	"2"	"29"	"245"	"176"	"68"	"8"	"3"	"1"	"4"	"1"	"3"	"3"	"1"	"2"	"544"	"0"	"6"	"550"	"0"
"15"	"3"	"6"	"35"	"155"	"319"	"11"	"11"	"7"	"5"	"4"	"6"	"12"	"10"	"8"	"589"	"0"	"11"	"600"	"0"
"16"	"4"	"10"	"35"	"211"	"296"	"8"	"9"	"5"	"1"	"2"	"3"	"3"	"0"	"13"	"596"	"0"	"18"	"614"	"0"
"17"	"5"	"13"	"146"	"153"	"99"	"4"	"3"	"2"	"1"	"0"	"1"	"0"	"1"	"5"	"428"	"0"	"6"	"434"	"0"
"18"	"6"	"12"	"53"	"161"	"265"	"1"	"9"	"3"	"3"	"2"	"1"	"5"	"3"	"2"	"520"	"0"	"8"	"528"	"0"
"19"	"7"	"9"	"60"	"408"	"62"	"3"	"6"	"5"	"2"	"3"	"1"	"1"	"3"	"7"	"570"	"0"	"22"	"592"	"0"
"20"	"8"	"6"	"45"	"287"	"173"	"9"	"16"	"6"	"2"	"2"	"6"	"5"	"7"	"5"	"569"	"0"	"19"	"588"	"0"
"21"	"9"	"8"	"94"	"204"	"21"	"0"	"1"	"1"	"3"	"3"	"1"	"2"	"0"	"6"	"344"	"0"	"6"	"350"	"0"
"22"	"10"	"34"	"574"	"76"	"58"	"7"	"3"	"4"	"8"	"4"	"1"	"5"	"6"	"22"	"802"	"0"	"20"	"822"	"0"
