"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 5-Sitamarhi PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  247786"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sitamarhi(28)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Arjun Rai"	"Mahesh Kumar"	"Sitaram Yadav"	"Kishori Das"	"Jay Kumar Chaudhary"	"Bharat Bhushan Sahni"	"Mahendra Prasad"	"Rajeev Ranjan"	"Ram Kumar Sharma"	"Satyendra Bhandari"	"Surendra Kumar"	"Syed Abu Dojana"	"Ajay Kumar"	"Chandrika Prasad"	"Narendra Mishra"	"Mahesh Nandan Singh"	"Mohammad Faiyaz Ahmad"	"Vinod Sah"	"Sone Lal Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"26"	"5"	"315"	"11"	"4"	"6"	"7"	"13"	"381"	"5"	"5"	"12"	"7"	"15"	"8"	"22"	"2"	"2"	"3"	"849"	"0"	"1"	"850"	"0"
"14"	"2"	"27"	"5"	"293"	"13"	"3"	"3"	"3"	"11"	"477"	"13"	"3"	"5"	"1"	"6"	"4"	"18"	"10"	"5"	"14"	"914"	"0"	"19"	"933"	"0"
"15"	"3"	"68"	"31"	"60"	"3"	"0"	"2"	"4"	"3"	"272"	"3"	"3"	"2"	"4"	"6"	"2"	"4"	"2"	"0"	"0"	"469"	"0"	"5"	"474"	"0"
"16"	"4"	"9"	"6"	"808"	"8"	"2"	"0"	"1"	"0"	"8"	"0"	"1"	"1"	"2"	"8"	"1"	"7"	"6"	"0"	"8"	"876"	"0"	"5"	"881"	"0"
"17"	"5"	"23"	"11"	"139"	"37"	"5"	"1"	"5"	"11"	"454"	"13"	"4"	"3"	"5"	"5"	"7"	"25"	"5"	"3"	"5"	"761"	"0"	"6"	"767"	"0"
"18"	"6"	"13"	"4"	"90"	"7"	"2"	"1"	"2"	"10"	"600"	"6"	"6"	"3"	"5"	"5"	"6"	"15"	"2"	"1"	"1"	"779"	"0"	"3"	"782"	"0"
