"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 15-Muzaffarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  230764"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sakra(92)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendere d votes"
"11"	""	"Akhilesh Pd. Singh"	"Ajay Nishad"	"Rajeev Ranjan"	"Vijendra Choudh ary"	"Akshay Verma"	"Ashok Kumar Jha"	"Ashok Kumar Singh"	"Kunal Priyadar shi"	"Devendr a Rakesh"	"Naval Kishore Jha"	"Nilu Singh"	"Pankaj Kumar Srivasta va"	"Prabhat Suman"	"Madhur Sheel"	"Mahesh Rai"	"Raghve ndra Pratap Singh"	"Rajesh Kumar"	"Shatrud han Sahani"	"Ajitansh Gaur"	"Kamlesh Choudh ary"	"Deepak Kumar"	"Nagesh war Prasad Singh"	"Mahesh Paswan"	"Moham mad Anwarul Haque"	"Mohmm ad Taiyab"	"Ravi Shankar Paswan"	"Rupesh Kumar Kuar"	"Shravan Kumar Jha"	"Suresh Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"
"13"	"1"	"133"	"405"	"10"	"74"	"3"	"9"	"4"	"1"	"2"	"0"	"5"	"2"	"13"	"5"	"22"	"18"	"7"	"10"	"3"	"3"	"1"	"13"	"2"	"0"	"0"	"4"	"3"	"5"	"11"	"768"	"0"	"11"	"779"	"0"
"14"	"2"	"255"	"249"	"0"	"106"	"3"	"18"	"4"	"2"	"3"	"3"	"4"	"6"	"7"	"5"	"12"	"35"	"5"	"3"	"1"	"2"	"1"	"5"	"1"	"1"	"3"	"2"	"0"	"4"	"6"	"746"	"0"	"8"	"754"	"0"
"15"	"3"	"98"	"302"	"6"	"107"	"5"	"19"	"1"	"2"	"4"	"2"	"0"	"2"	"12"	"4"	"6"	"11"	"4"	"3"	"1"	"2"	"0"	"9"	"2"	"3"	"3"	"3"	"0"	"6"	"15"	"632"	"0"	"7"	"639"	"0"
"16"	"4"	"99"	"643"	"4"	"17"	"4"	"10"	"11"	"1"	"2"	"0"	"2"	"1"	"4"	"4"	"7"	"5"	"2"	"9"	"2"	"3"	"5"	"12"	"4"	"1"	"2"	"3"	"2"	"6"	"5"	"870"	"0"	"12"	"882"	"0"
"17"	"5"	"166"	"467"	"14"	"81"	"12"	"31"	"10"	"5"	"1"	"1"	"1"	"1"	"4"	"3"	"5"	"5"	"12"	"13"	"9"	"17"	"2"	"28"	"5"	"2"	"3"	"15"	"6"	"12"	"13"	"944"	"0"	"16"	"960"	"0"
"18"	"6"	"69"	"285"	"8"	"138"	"2"	"55"	"7"	"6"	"1"	"3"	"2"	"3"	"11"	"8"	"7"	"17"	"4"	"7"	"4"	"6"	"2"	"17"	"6"	"2"	"0"	"7"	"4"	"7"	"2"	"690"	"0"	"16"	"706"	"0"
"19"	"7"	"27"	"420"	"5"	"54"	"3"	"10"	"1"	"2"	"2"	"0"	"1"	"0"	"1"	"3"	"5"	"1"	"2"	"4"	"0"	"1"	"3"	"5"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"553"	"0"	"1"	"554"	"0"
"20"	"8"	"471"	"366"	"7"	"60"	"5"	"17"	"3"	"1"	"0"	"0"	"0"	"0"	"11"	"0"	"1"	"2"	"4"	"1"	"3"	"2"	"2"	"3"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"963"	"0"	"2"	"965"	"0"
"21"	"9"	"131"	"521"	"16"	"74"	"9"	"16"	"7"	"7"	"6"	"6"	"5"	"9"	"14"	"12"	"15"	"23"	"11"	"19"	"12"	"9"	"8"	"26"	"6"	"5"	"4"	"7"	"11"	"8"	"13"	"101
0"	"0"	"17"	"102
7"	"0"
"22"	"10"	"51"	"571"	"13"	"106"	"6"	"32"	"18"	"3"	"4"	"3"	"3"	"6"	"12"	"3"	"15"	"27"	"1"	"7"	"0"	"2"	"3"	"15"	"3"	"1"	"0"	"1"	"2"	"2"	"2"	"912"	"0"	"7"	"919"	"0"
