"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 21-Hajipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  233921"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Rajapakar(127)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dhaneshwar Ram"	"Ram Sundar Das"	"Ramvilas Paswan"	"Sanjeev Prasad Toni"	"Ujjawal Kant Hunkar"	"Randhir Kumar Ram"	"Raj Kr. Paswan"	"Rina Ragni"	"Vidhan Chandra Rana"	"Virchandra Paswan"	"Satya Narayan Paswan"	"Upender Ram"	"Dina Nath Ram"	"Viphiya Devi"	"Suresh Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"1"	"11"	"358"	"61"	"5"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"3"	"16"	"5"	"466"	"0"	"9"	"475"	"0"
"14"	"2"	"16"	"190"	"361"	"29"	"5"	"5"	"5"	"6"	"3"	"2"	"1"	"5"	"15"	"30"	"7"	"680"	"0"	"15"	"695"	"0"
"15"	"3"	"11"	"51"	"147"	"1"	"2"	"1"	"3"	"1"	"4"	"1"	"1"	"3"	"6"	"13"	"8"	"253"	"0"	"4"	"257"	"0"
"16"	"4"	"11"	"57"	"399"	"207"	"12"	"3"	"5"	"6"	"2"	"3"	"5"	"7"	"20"	"5"	"2"	"744"	"0"	"12"	"756"	"0"
"17"	"5"	"13"	"48"	"305"	"77"	"16"	"6"	"10"	"4"	"3"	"4"	"5"	"7"	"16"	"26"	"3"	"543"	"0"	"12"	"555"	"0"
"18"	"6"	"4"	"8"	"340"	"44"	"3"	"1"	"1"	"0"	"1"	"5"	"2"	"6"	"10"	"21"	"0"	"446"	"0"	"6"	"452"	"0"
"19"	"7"	"2"	"25"	"348"	"9"	"6"	"3"	"1"	"3"	"1"	"3"	"2"	"3"	"7"	"13"	"8"	"434"	"0"	"11"	"445"	"0"
"20"	"8"	"2"	"35"	"297"	"17"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"4"	"5"	"8"	"5"	"378"	"0"	"5"	"383"	"0"
"21"	"9"	"24"	"165"	"418"	"62"	"1"	"2"	"7"	"2"	"2"	"10"	"1"	"4"	"16"	"25"	"8"	"747"	"0"	"12"	"759"	"0"
