"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 14-Darbhanga PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  254808"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bahadurpur(85)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Durganand Mahavir Nayak"	"Sanjay Kumar Jha"	"Haday Na. Yadav"	"Kedar Ku. Keshav"	"Jainath"	"Dr. Prabhat Ranjan Das"	"Faisal Ahmad"	"Brahmadeo Prasad Karyee"	"Colonel Lakshmeshwar Mishra"	"Sadre Alam Khan"	"Krishna Kumar Paswan"	"Pradeep Paswan"	"Pravin Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"353"	"113"	"4"	"41"	"14"	"9"	"1"	"4"	"3"	"1"	"3"	"3"	"5"	"2"	"15"	"571"	"0"	"17"	"588"	"0"
"14"	"2"	"373"	"26"	"3"	"4"	"3"	"0"	"0"	"3"	"1"	"1"	"1"	"2"	"4"	"0"	"5"	"426"	"0"	"19"	"445"	"0"
"15"	"3"	"548"	"192"	"11"	"44"	"5"	"11"	"2"	"5"	"1"	"1"	"1"	"4"	"5"	"3"	"19"	"852"	"0"	"19"	"871"	"0"
"16"	"4"	"355"	"236"	"7"	"38"	"10"	"14"	"1"	"3"	"0"	"5"	"1"	"3"	"8"	"8"	"21"	"710"	"0"	"37"	"747"	"0"
"17"	"5"	"119"	"314"	"6"	"53"	"52"	"24"	"5"	"5"	"5"	"3"	"4"	"1"	"5"	"0"	"10"	"606"	"0"	"8"	"614"	"0"
"18"	"6"	"112"	"175"	"6"	"84"	"12"	"19"	"3"	"6"	"5"	"4"	"3"	"2"	"6"	"2"	"4"	"443"	"0"	"3"	"446"	"0"
"19"	"7"	"49"	"85"	"1"	"36"	"17"	"6"	"4"	"0"	"0"	"3"	"5"	"2"	"9"	"2"	"3"	"222"	"0"	"3"	"225"	"0"
"20"	"8"	"343"	"84"	"8"	"87"	"10"	"28"	"2"	"7"	"0"	"2"	"5"	"4"	"16"	"10"	"24"	"630"	"0"	"35"	"665"	"0"
