"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 22-Ujiarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  251140"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Ujiarpur(134)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashwamedh Devi"	"Alok Kumar Mehta"	"Dharmendra Sahani"	"Nityanand Rai"	"Ram Deo Verma"	"Amrendra Kumar Yadav"	"Kishor Kumar"	"Jitendra Kumar Rai"	"Md. Tahir Araman"	"Prithivinath Prasad"	"Prem Lata Devi"	"Phool Babu Singh"	"Madhuri"	"Mithilesh Kumar Jha"	"Vindeshwari Sahni"	"Shivani Umani"	"Suresh chaudhari"	"Arjun Kumar Sah"	"Mintu Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"124"	"378"	"6"	"78"	"191"	"10"	"11"	"5"	"1"	"0"	"3"	"5"	"3"	"1"	"3"	"4"	"1"	"0"	"0"	"824"	"0"	"0"	"824"	"0"
"14"	"2"	"62"	"81"	"60"	"278"	"125"	"6"	"9"	"6"	"0"	"2"	"2"	"22"	"3"	"2"	"6"	"1"	"0"	"0"	"1"	"666"	"0"	"2"	"668"	"0"
"15"	"3"	"93"	"103"	"4"	"143"	"191"	"5"	"4"	"9"	"3"	"1"	"3"	"9"	"2"	"6"	"5"	"2"	"8"	"2"	"5"	"598"	"0"	"2"	"600"	"0"
"16"	"4"	"47"	"163"	"35"	"178"	"94"	"8"	"11"	"3"	"2"	"2"	"2"	"4"	"6"	"3"	"4"	"6"	"7"	"1"	"2"	"578"	"0"	"1"	"579"	"0"
"17"	"4A"	"27"	"70"	"10"	"122"	"20"	"4"	"3"	"3"	"2"	"2"	"0"	"0"	"2"	"5"	"2"	"2"	"0"	"0"	"0"	"274"	"0"	"1"	"275"	"0"
"18"	"5"	"128"	"143"	"23"	"97"	"155"	"8"	"5"	"2"	"0"	"2"	"0"	"13"	"3"	"0"	"5"	"15"	"11"	"5"	"3"	"618"	"0"	"4"	"622"	"0"
