"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 1-Valmiki Nagar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  280807"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Valmiki Nagar(1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Purnmasi Ram"	"Baidya Nath Prasad Mahato"	"Shailesh Kumar Diwakar"	"Satish Chandra Dubey"	"Amar Sahani"	"Prof. Amaresh Prasad"	"Dactar Mahto"	"Dharmesh Prasad Varma"	"Virendra Prasad Gupta"	"Om Shanti Baba"	"Dilip Varma"	"Dravyan Uraon"	"Nand Lal Ram"	"Manohar Manoj"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"13"	"1"	"61"	"46"	"15"	"567"	"57"	"23"	"3"	"4"	"10"	"3"	"19"	"12"	"13"	"14"	"847"	"0"	"15"	"862"	"0"
"14"	"2"	"183"	"27"	"13"	"521"	"79"	"15"	"8"	"5"	"15"	"5"	"14"	"10"	"7"	"9"	"911"	"0"	"10"	"921"	"0"
"15"	"3"	"184"	"29"	"11"	"694"	"67"	"7"	"4"	"4"	"21"	"4"	"11"	"8"	"2"	"11"	"1057"	"0"	"9"	"1066"	"0"
"16"	"4"	"186"	"12"	"2"	"477"	"47"	"9"	"6"	"5"	"3"	"3"	"25"	"10"	"3"	"19"	"807"	"0"	"20"	"827"	"0"
"17"	"5"	"304"	"19"	"25"	"132"	"21"	"17"	"2"	"4"	"5"	"1"	"15"	"3"	"6"	"10"	"564"	"0"	"18"	"582"	"0"
"18"	"6"	"198"	"37"	"13"	"620"	"95"	"23"	"2"	"10"	"8"	"6"	"29"	"10"	"14"	"33"	"1098"	"0"	"26"	"1124"	"0"
"19"	"7"	"99"	"22"	"1"	"450"	"21"	"7"	"0"	"2"	"3"	"0"	"11"	"2"	"0"	"2"	"620"	"0"	"3"	"623"	"0"
"20"	"8"	"194"	"11"	"0"	"250"	"13"	"5"	"1"	"0"	"3"	"0"	"12"	"4"	"0"	"1"	"494"	"0"	"6"	"500"	"0"
"21"	"9"	"106"	"55"	"4"	"405"	"32"	"33"	"9"	"12"	"20"	"6"	"33"	"13"	"17"	"9"	"754"	"0"	"11"	"765"	"0"
