"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 21-Hajipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  305629"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Raghopur(128)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dhaneshwar Ram"	"Ram Sundar Das"	"Ramvilas Paswan"	"Sanjeev Prasad Toni"	"Ujjawal Kant Hunkar"	"Randhir Kumar Ram"	"Raj Kr. Paswan"	"Rina Ragni"	"Vidhan Chandra Rana"	"Virchandra Paswan"	"Satya Narayan Paswan"	"Upender Ram"	"Dina Nath Ram"	"Viphiya Devi"	"Suresh Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"6"	"109"	"464"	"83"	"4"	"2"	"4"	"4"	"2"	"1"	"0"	"4"	"8"	"16"	"5"	"712"	"0"	"5"	"717"	"0"
"14"	"2"	"13"	"216"	"443"	"66"	"6"	"4"	"6"	"4"	"1"	"3"	"1"	"8"	"18"	"24"	"12"	"825"	"0"	"13"	"838"	"0"
"15"	"3"	"5"	"94"	"136"	"297"	"4"	"4"	"7"	"0"	"1"	"1"	"3"	"4"	"20"	"8"	"6"	"590"	"0"	"9"	"599"	"0"
"16"	"4"	"5"	"22"	"78"	"355"	"12"	"1"	"2"	"2"	"2"	"4"	"0"	"5"	"24"	"9"	"6"	"527"	"0"	"18"	"545"	"0"
"17"	"5"	"10"	"44"	"238"	"398"	"7"	"1"	"4"	"3"	"1"	"6"	"5"	"11"	"25"	"26"	"1"	"780"	"0"	"17"	"797"	"0"
"18"	"6"	"4"	"23"	"235"	"184"	"3"	"3"	"6"	"1"	"2"	"2"	"2"	"3"	"6"	"16"	"2"	"492"	"0"	"9"	"501"	"0"
"19"	"7"	"6"	"125"	"343"	"51"	"2"	"4"	"8"	"0"	"0"	"4"	"1"	"2"	"6"	"1"	"4"	"557"	"0"	"0"	"557"	"0"
"20"	"8"	"4"	"57"	"318"	"329"	"7"	"4"	"6"	"3"	"2"	"3"	"3"	"3"	"12"	"7"	"4"	"762"	"0"	"6"	"768"	"0"
"21"	"9"	"5"	"25"	"158"	"321"	"7"	"1"	"5"	"2"	"3"	"5"	"1"	"0"	"13"	"11"	"3"	"560"	"0"	"10"	"570"	"0"
