"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 12-Purnea PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  248069"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kasba(58)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Amarnath Tiwari"	"Uday Singh alias Pappu Singh"	"Raj Kumar Oraon"	"Santosh Kumar"	"Anil Kumar Mahto"	"Pankaj Kumar Singh"	"Pramod Narayan Poddar"	"Fagu Marandi"	"Mansur Alam"	"Md.
Shamsher Aalam"	"MD Shahid Akthar"	"Syed Shah Ekbal Alam"	"Sudeep Roy"	"Md Akthar Ali"	"Kunj Bihari Paswan"	"Nawlesh Pathak"	"Sanjay Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"10"	"103"	"5"	"488"	"5"	"2"	"1"	"3"	"2"	"40"	"2"	"1"	"14"	"3"	"1"	"2"	"7"	"689"	"0"	"3"	"692"	"0"
"14"	"2"	"25"	"82"	"9"	"507"	"8"	"2"	"6"	"2"	"4"	"79"	"5"	"6"	"24"	"10"	"4"	"12"	"1"	"786"	"0"	"8"	"794"	"0"
"15"	"3"	"32"	"145"	"10"	"220"	"5"	"3"	"2"	"1"	"3"	"36"	"1"	"2"	"4"	"1"	"2"	"4"	"7"	"478"	"0"	"2"	"480"	"0"
"16"	"4"	"91"	"139"	"9"	"157"	"5"	"2"	"1"	"2"	"0"	"25"	"4"	"4"	"14"	"6"	"6"	"15"	"5"	"485"	"0"	"7"	"492"	"0"
"17"	"4A"	"13"	"101"	"3"	"225"	"4"	"1"	"3"	"2"	"4"	"70"	"5"	"4"	"15"	"5"	"5"	"24"	"3"	"487"	"0"	"11"	"498"	"0"
"18"	"5"	"23"	"484"	"12"	"184"	"7"	"4"	"6"	"6"	"5"	"37"	"5"	"8"	"6"	"5"	"14"	"25"	"2"	"833"	"0"	"5"	"838"	"0"
"19"	"6"	"39"	"330"	"3"	"135"	"2"	"0"	"1"	"5"	"5"	"34"	"1"	"3"	"4"	"7"	"3"	"15"	"2"	"589"	"0"	"6"	"595"	"0"
