"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 24-Begusarai PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  236603"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bakhri(147)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Tanveer Hassan"	"Bhola Singh"	"Rajendra Prasad Singh"	"Ram Padarath Yadav"	"Pinki Devi"	"Sunil Kumar"	"Hari Kant Prasad"	"Pankaj Paswan"	"Mohammad Javed"	"Rajendra Yadav"	"Vaij Nath Paswan"	"Sushil Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"62"	"484"	"132"	"3"	"0"	"7"	"1"	"3"	"0"	"1"	"9"	"9"	"711"	"0"	"14"	"725"	"0"
"14"	"2"	"342"	"88"	"48"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"4"	"5"	"490"	"0"	"5"	"495"	"0"
"15"	"3"	"182"	"330"	"168"	"4"	"2"	"5"	"1"	"1"	"0"	"2"	"2"	"2"	"699"	"0"	"5"	"704"	"0"
"16"	"4"	"114"	"312"	"226"	"6"	"2"	"0"	"1"	"2"	"3"	"1"	"7"	"3"	"677"	"0"	"12"	"689"	"0"
"17"	"5"	"67"	"242"	"75"	"2"	"1"	"3"	"7"	"0"	"1"	"7"	"8"	"8"	"421"	"0"	"17"	"438"	"0"
"18"	"6"	"207"	"257"	"179"	"7"	"1"	"7"	"2"	"6"	"3"	"3"	"17"	"9"	"698"	"0"	"22"	"720"	"0"
"19"	"7"	"166"	"314"	"304"	"4"	"1"	"6"	"3"	"3"	"0"	"1"	"17"	"13"	"832"	"0"	"14"	"846"	"0"
"20"	"8"	"247"	"318"	"169"	"6"	"4"	"5"	"4"	"2"	"3"	"5"	"7"	"8"	"778"	"0"	"24"	"802"	"0"
"21"	"9"	"242"	"192"	"170"	"1"	"3"	"2"	"2"	"1"	"2"	"2"	"0"	"2"	"619"	"0"	"9"	"628"	"0"
"22"	"10"	"77"	"142"	"276"	"11"	"4"	"3"	"1"	"1"	"4"	"4"	"14"	"11"	"548"	"0"	"23"	"571"	"0"
"23"	"11"	"72"	"472"	"119"	"8"	"0"	"3"	"2"	"2"	"3"	"2"	"17"	"11"	"711"	"0"	"18"	"729"	"0"
"24"	"12"	"86"	"254"	"168"	"10"	"1"	"2"	"4"	"3"	"1"	"5"	"9"	"8"	"551"	"0"	"21"	"572"	"0"
