"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 37-Aurangabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  227954"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kutumba(222)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Nikhil Kumar"	"Bagi Kumar Verma"	"Santosh Kumar"	"Sushil Kumar Singh"	"Upendra Nath"	"Usha Sharan"	"Ragini Lata Singh"	"Rita Devi"	"Durga Thakur"	"Rakesh Sharma"	"Ramji Singh"	"Bijeet Kumar"	"Somaru Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"269"	"35"	"34"	"184"	"6"	"6"	"2"	"7"	"4"	"3"	"5"	"9"	"8"	"572"	"0"	"9"	"581"	"0"
"14"	"2"	"116"	"54"	"26"	"84"	"5"	"0"	"4"	"4"	"1"	"2"	"2"	"2"	"2"	"302"	"0"	"1"	"303"	"0"
"15"	"3"	"171"	"53"	"4"	"114"	"2"	"2"	"2"	"1"	"2"	"0"	"2"	"1"	"2"	"356"	"0"	"5"	"361"	"0"
"16"	"4"	"220"	"65"	"29"	"179"	"10"	"1"	"3"	"1"	"2"	"4"	"11"	"4"	"3"	"532"	"0"	"8"	"540"	"0"
"17"	"5"	"259"	"57"	"7"	"387"	"9"	"4"	"8"	"2"	"2"	"2"	"11"	"9"	"15"	"772"	"0"	"30"	"802"	"0"
"18"	"6"	"120"	"10"	"14"	"237"	"5"	"2"	"4"	"2"	"2"	"2"	"10"	"2"	"9"	"419"	"0"	"9"	"428"	"0"
"19"	"7"	"95"	"12"	"39"	"100"	"5"	"2"	"3"	"2"	"1"	"1"	"4"	"5"	"7"	"276"	"0"	"13"	"289"	"0"
"20"	"8"	"64"	"50"	"4"	"202"	"4"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"331"	"0"	"0"	"331"	"0"
"21"	"9"	"98"	"37"	"7"	"178"	"6"	"4"	"4"	"4"	"5"	"2"	"10"	"7"	"7"	"369"	"0"	"11"	"380"	"0"
"22"	"10"	"180"	"3"	"3"	"296"	"3"	"1"	"1"	"4"	"1"	"0"	"1"	"1"	"1"	"495"	"0"	"8"	"503"	"0"
"23"	"11"	"104"	"207"	"4"	"104"	"3"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"7"	"432"	"0"	"6"	"438"	"0"
