"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 1-Valmiki Nagar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  224843"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Narkatiaganj(3)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Purnmasi Ram"	"Baidya Nath Prasad Mahato"	"Shailesh Kumar Diwakar"	"Satish Chandra Dubey"	"Amar Sahani"	"Prof. Amaresh Prasad"	"Dactar Mahto"	"Dharmesh Prasad Varma"	"Virendra Prasad Gupta"	"Om Shanti Baba"	"Dilip Varma"	"Dravyan Uraon"	"Nand Lal Ram"	"Manohar Manoj"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"13"	"1"	"691"	"11"	"5"	"136"	"13"	"4"	"3"	"6"	"9"	"6"	"62"	"4"	"9"	"6"	"965"	"0"	"20"	"985"	"0"
"14"	"2"	"207"	"7"	"27"	"126"	"13"	"5"	"3"	"4"	"8"	"6"	"91"	"5"	"11"	"12"	"525"	"0"	"17"	"542"	"0"
"15"	"3"	"306"	"4"	"9"	"106"	"6"	"5"	"2"	"2"	"1"	"0"	"4"	"1"	"2"	"1"	"449"	"0"	"1"	"450"	"0"
"16"	"4"	"336"	"17"	"1"	"8"	"2"	"3"	"2"	"0"	"2"	"0"	"4"	"2"	"3"	"2"	"382"	"0"	"6"	"388"	"0"
"17"	"5"	"66"	"22"	"13"	"479"	"51"	"15"	"13"	"6"	"4"	"4"	"67"	"12"	"6"	"5"	"763"	"0"	"9"	"772"	"0"
"18"	"6"	"34"	"51"	"2"	"78"	"8"	"28"	"5"	"3"	"65"	"3"	"17"	"0"	"13"	"9"	"316"	"0"	"11"	"327"	"0"
"19"	"7"	"324"	"56"	"2"	"239"	"23"	"9"	"25"	"3"	"1"	"1"	"20"	"2"	"7"	"11"	"723"	"0"	"14"	"737"	"0"
"20"	"8"	"355"	"160"	"6"	"144"	"14"	"40"	"15"	"5"	"4"	"2"	"11"	"1"	"10"	"6"	"773"	"0"	"10"	"783"	"0"
"21"	"9"	"471"	"67"	"8"	"360"	"35"	"21"	"2"	"2"	"2"	"2"	"13"	"9"	"7"	"7"	"1006"	"0"	"10"	"1016"	"0"
