"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-Saran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  232765"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Amnour(120)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Bal Mukund Chauhan"	"Rajiv Pratap Rudy"	"Rabri Devi"	"Saleem Perwez"	"Chandan Kumar Alias Chandan Gupta"	"Niraj Ram"	"Parmatma Singh"	"Ranjan kumar"	"Rajesh Kumar"	"Lalan Prasad"	"Lalu Rai"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"6"	"273"	"77"	"31"	"6"	"0"	"1"	"0"	"0"	"6"	"4"	"404"	"0"	"3"	"407"	"0"
"14"	"2"	"12"	"351"	"104"	"91"	"8"	"3"	"1"	"1"	"6"	"8"	"9"	"594"	"0"	"13"	"607"	"0"
"15"	"3"	"8"	"659"	"26"	"27"	"2"	"0"	"0"	"0"	"0"	"1"	"6"	"729"	"0"	"6"	"735"	"0"
"16"	"4"	"12"	"217"	"208"	"35"	"9"	"3"	"4"	"3"	"5"	"16"	"9"	"521"	"0"	"19"	"540"	"0"
"17"	"5"	"6"	"117"	"250"	"37"	"3"	"2"	"1"	"1"	"4"	"23"	"7"	"451"	"0"	"15"	"466"	"0"
"18"	"5A"	"9"	"249"	"140"	"37"	"6"	"2"	"1"	"1"	"6"	"6"	"15"	"472"	"0"	"25"	"497"	"0"
"19"	"6"	"8"	"461"	"93"	"44"	"4"	"1"	"2"	"0"	"12"	"11"	"20"	"656"	"0"	"22"	"678"	"0"
"20"	"7"	"4"	"132"	"187"	"78"	"8"	"2"	"2"	"3"	"12"	"21"	"13"	"462"	"0"	"23"	"485"	"0"
"21"	"8"	"1"	"112"	"186"	"33"	"2"	"0"	"0"	"2"	"2"	"11"	"2"	"351"	"0"	"11"	"362"	"0"
"22"	"9"	"12"	"229"	"314"	"92"	"4"	"4"	"3"	"2"	"10"	"20"	"7"	"697"	"0"	"26"	"723"	"0"
"23"	"10"	"8"	"117"	"126"	"194"	"13"	"2"	"5"	"6"	"2"	"5"	"6"	"484"	"0"	"5"	"489"	"0"
"24"	"10A"	"9"	"124"	"123"	"155"	"6"	"5"	"9"	"1"	"10"	"8"	"5"	"455"	"0"	"21"	"476"	"0"
"25"	"11"	"9"	"238"	"327"	"26"	"1"	"2"	"3"	"6"	"4"	"15"	"5"	"636"	"0"	"27"	"663"	"0"
