"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-Bhagalpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  296970"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kahalgaon(155)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Abu Qaiser"	"Naushaba Khanam"	"Shailesh Kumar Urph Bulo Mandal"	"Syed Shahnawaz Hussain"	"Kumkum Singh"	"Gaurav Kumar Ghosh"	"Nishi Kant Mandal"	"Purosottam Choubey"	"Prof. Yogendra Mahto"	"Rinki Kumari"	"Viren Das"	"Anand Kumar Jain"	"Indradeo Kumar Singh"	"Mahadeo Kumar"	"Ranjan Kumar"	"Ramjee Mandal"	"Sikandar Tanti"	"Suman Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"13"	"1"	"208"	"3"	"191"	"153"	"10"	"5"	"2"	"6"	"8"	"10"	"7"	"6"	"12"	"8"	"10"	"44"	"7"	"1"	"691"	"0"	"5"	"696"	"0"
"14"	"2"	"11"	"3"	"86"	"262"	"9"	"8"	"2"	"6"	"3"	"5"	"4"	"6"	"13"	"10"	"5"	"9"	"8"	"2"	"452"	"0"	"2"	"454"	"0"
"15"	"3"	"55"	"4"	"549"	"14"	"3"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"6"	"4"	"2"	"4"	"4"	"2"	"652"	"0"	"5"	"657"	"0"
"16"	"4"	"6"	"5"	"512"	"33"	"4"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"8"	"2"	"1"	"10"	"0"	"0"	"587"	"0"	"0"	"587"	"0"
"17"	"5"	"26"	"3"	"395"	"25"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"8"	"1"	"1"	"3"	"4"	"2"	"474"	"0"	"5"	"479"	"0"
"18"	"6"	"34"	"8"	"105"	"390"	"11"	"6"	"1"	"6"	"3"	"2"	"1"	"5"	"6"	"6"	"1"	"11"	"6"	"4"	"606"	"0"	"5"	"611"	"0"
