"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 5-Sitamarhi PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  270181"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Parihar(25)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Arjun Rai"	"Mahesh Kumar"	"Sitaram Yadav"	"Kishori Das"	"Jay Kumar Chaudhary"	"Bharat Bhushan Sahni"	"Mahendra Prasad"	"Rajeev Ranjan"	"Ram Kumar Sharma"	"Satyendra Bhandari"	"Surendra Kumar"	"Syed Abu Dojana"	"Ajay Kumar"	"Chandrika Prasad"	"Narendra Mishra"	"Mahesh Nandan Singh"	"Mohammad Faiyaz Ahmad"	"Vinod Sah"	"Sone Lal Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"83"	"12"	"173"	"63"	"9"	"4"	"3"	"8"	"199"	"9"	"6"	"6"	"6"	"12"	"13"	"30"	"4"	"1"	"9"	"650"	"0"	"9"	"659"	"0"
"14"	"2"	"31"	"2"	"227"	"119"	"3"	"1"	"3"	"5"	"180"	"2"	"3"	"4"	"1"	"6"	"6"	"17"	"1"	"0"	"7"	"618"	"0"	"3"	"621"	"0"
"15"	"3"	"42"	"13"	"158"	"9"	"6"	"3"	"3"	"8"	"352"	"16"	"6"	"8"	"10"	"11"	"11"	"39"	"5"	"4"	"4"	"708"	"0"	"7"	"715"	"0"
"16"	"4"	"67"	"2"	"171"	"6"	"0"	"3"	"2"	"5"	"324"	"9"	"2"	"1"	"4"	"3"	"2"	"14"	"10"	"1"	"17"	"643"	"0"	"13"	"656"	"0"
"17"	"5"	"37"	"3"	"214"	"18"	"11"	"2"	"3"	"11"	"517"	"10"	"10"	"7"	"15"	"11"	"13"	"43"	"5"	"1"	"4"	"935"	"0"	"15"	"950"	"0"
"18"	"6"	"138"	"3"	"68"	"9"	"2"	"2"	"5"	"10"	"277"	"10"	"6"	"4"	"9"	"6"	"8"	"43"	"13"	"3"	"8"	"624"	"0"	"15"	"639"	"0"
