"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 35-Karakat PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Karakat(213)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kanti Singh"	"Mahabali Singh"	"Sanjay Kewat"	"Upendra Kushwaha"	"Ghulam Kundanam"	"Dinesh Kumar"	"Pradeep Kumar Joshi"	"Rajni Dubey"	"Raja Ram Singh"	"Veena Bharti"	"Imran Ali"	"Md. Diwas Ansari"	"Bhairaw Dayal Singh"	"Ram Dayal Singh"	"Satya Narayan Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"185"	"5"	"1"	"105"	"3"	"2"	"1"	"1"	"7"	"0"	"0"	"1"	"1"	"0"	"2"	"314"	"0"	"3"	"317"	"0"
"14"	"2"	"67"	"14"	"28"	"201"	"3"	"1"	"3"	"4"	"53"	"2"	"2"	"3"	"7"	"2"	"5"	"395"	"0"	"10"	"405"	"0"
"15"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"16"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"17"	"5"	"209"	"21"	"126"	"238"	"8"	"0"	"1"	"2"	"34"	"5"	"2"	"2"	"1"	"2"	"4"	"655"	"0"	"3"	"658"	"0"
"18"	"6"	"80"	"7"	"3"	"203"	"4"	"0"	"3"	"8"	"15"	"2"	"1"	"6"	"8"	"2"	"7"	"349"	"0"	"11"	"360"	"0"
"19"	"7"	"190"	"37"	"19"	"72"	"2"	"0"	"0"	"0"	"3"	"0"	"0"	"2"	"1"	"1"	"6"	"333"	"0"	"5"	"338"	"0"
"20"	"8"	"53"	"106"	"23"	"239"	"1"	"4"	"0"	"4"	"31"	"4"	"4"	"5"	"7"	"5"	"5"	"491"	"0"	"6"	"497"	"0"
"21"	"9"	"107"	"28"	"3"	"169"	"3"	"1"	"1"	"0"	"41"	"1"	"0"	"2"	"0"	"0"	"0"	"356"	"0"	"3"	"359"	"0"
