"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 4-Sheohar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  268160"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Dhaka(21)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Angesh Kumar"	"Md. Anwarul Haque"	"Rama Devi"	"Shahid Ali Khan"	"Jagranath Sahani"	"Jata Shankar Aatrey"	"Md. Nasruddin Ansari"	"Ramashankar Singh"	"Ram Lobhit Paswan"	"Laxman Paswan"	"Lovely Anand"	"Shatrughna Sahu"	"Ramashish Mahato"	"Shivanandan Prasad"	"Sanjay Prasad"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"11"	"252"	"219"	"8"	"1"	"2"	"2"	"0"	"0"	"3"	"189"	"7"	"2"	"10"	"4"	"710"	"0"	"5"	"715"	"0"
"14"	"2"	"8"	"250"	"222"	"69"	"4"	"2"	"1"	"2"	"4"	"11"	"6"	"3"	"7"	"12"	"5"	"606"	"0"	"10"	"616"	"0"
"15"	"3"	"14"	"271"	"73"	"65"	"0"	"3"	"1"	"1"	"1"	"4"	"30"	"6"	"6"	"9"	"4"	"488"	"0"	"7"	"495"	"0"
"16"	"4"	"17"	"133"	"225"	"67"	"2"	"2"	"2"	"0"	"3"	"8"	"9"	"4"	"8"	"11"	"13"	"504"	"0"	"5"	"509"	"0"
"17"	"5"	"7"	"129"	"126"	"63"	"6"	"4"	"1"	"0"	"0"	"18"	"31"	"7"	"4"	"6"	"4"	"406"	"0"	"9"	"415"	"0"
"18"	"6"	"2"	"132"	"150"	"36"	"1"	"0"	"1"	"2"	"2"	"10"	"140"	"11"	"1"	"5"	"11"	"504"	"0"	"15"	"519"	"0"
"19"	"7"	"11"	"71"	"388"	"70"	"1"	"1"	"2"	"2"	"2"	"10"	"10"	"4"	"2"	"10"	"2"	"586"	"0"	"5"	"591"	"0"
"20"	"8"	"3"	"22"	"506"	"40"	"3"	"1"	"0"	"0"	"1"	"6"	"12"	"3"	"5"	"8"	"0"	"610"	"0"	"9"	"619"	"0"
"21"	"9"	"7"	"136"	"644"	"108"	"5"	"4"	"3"	"0"	"0"	"17"	"7"	"12"	"10"	"16"	"4"	"973"	"0"	"7"	"980"	"0"
