"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 40-Jamui PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  281901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Jhajha(242)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Uday Narain Choudhary"	"Chirag Kumar Paswan"	"Brahmdev Anand Paswan"	"Sudhansu Shekhar Bhaskar"	"Upendra Ravidas"	"Jay Prakash Das"	"Vinod Kumar Das"	"Vishun Choudhary"	"Dilip Kumar"	"Manoj Kumar Manjhi"	"Subhash Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"40"	"206"	"8"	"189"	"10"	"1"	"1"	"0"	"1"	"4"	"5"	"465"	"0"	"15"	"480"	"0"
"14"	"2"	"256"	"86"	"11"	"237"	"18"	"5"	"0"	"5"	"7"	"6"	"1"	"632"	"0"	"9"	"641"	"0"
"15"	"3"	"47"	"297"	"11"	"33"	"2"	"1"	"0"	"4"	"3"	"16"	"10"	"424"	"0"	"18"	"442"	"0"
"16"	"4"	"135"	"88"	"8"	"195"	"4"	"2"	"1"	"2"	"8"	"0"	"3"	"446"	"0"	"9"	"455"	"0"
"17"	"5"	"326"	"163"	"13"	"263"	"14"	"3"	"12"	"9"	"8"	"8"	"6"	"825"	"0"	"6"	"831"	"0"
"18"	"6"	"260"	"247"	"9"	"25"	"6"	"1"	"2"	"5"	"7"	"8"	"7"	"577"	"0"	"21"	"598"	"0"
"19"	"7"	"217"	"162"	"16"	"57"	"16"	"6"	"10"	"16"	"11"	"11"	"17"	"539"	"0"	"23"	"562"	"0"
"20"	"8"	"156"	"139"	"7"	"161"	"3"	"5"	"6"	"6"	"7"	"3"	"10"	"503"	"0"	"33"	"536"	"0"
"21"	"9"	"17"	"44"	"3"	"166"	"8"	"2"	"0"	"4"	"6"	"5"	"3"	"258"	"0"	"4"	"262"	"0"
"22"	"10"	"197"	"65"	"10"	"240"	"37"	"1"	"3"	"7"	"12"	"11"	"9"	"592"	"0"	"25"	"617"	"0"
"23"	"11"	"294"	"152"	"92"	"27"	"8"	"4"	"10"	"12"	"6"	"11"	"18"	"634"	"0"	"51"	"685"	"0"
"24"	"12"	"143"	"150"	"17"	"87"	"11"	"5"	"5"	"7"	"3"	"11"	"11"	"450"	"0"	"30"	"480"	"0"
"25"	"13"	"92"	"347"	"17"	"75"	"8"	"7"	"6"	"11"	"5"	"5"	"9"	"582"	"0"	"12"	"594"	"0"
