"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 22-Ujiarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  243146"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sarairanjan(136)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashwamedh Devi"	"Alok Kumar Mehta"	"Dharmendra Sahani"	"Nityanand Rai"	"Ram Deo Verma"	"Amrendra Kumar Yadav"	"Kishor Kumar"	"Jitendra Kumar Rai"	"Md. Tahir Araman"	"Prithivinath Prasad"	"Prem Lata Devi"	"Phool Babu Singh"	"Madhuri"	"Mithilesh Kumar Jha"	"Vindeshwari Sahni"	"Shivani Umani"	"Suresh chaudhari"	"Arjun Kumar Sah"	"Mintu Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"133"	"338"	"17"	"298"	"19"	"5"	"8"	"25"	"1"	"3"	"11"	"25"	"10"	"13"	"2"	"10"	"7"	"6"	"1"	"932"	"0"	"5"	"937"	"0"
"14"	"2"	"116"	"114"	"3"	"313"	"21"	"4"	"7"	"7"	"0"	"0"	"2"	"49"	"2"	"7"	"1"	"4"	"6"	"1"	"0"	"657"	"0"	"4"	"661"	"0"
"15"	"3"	"66"	"128"	"6"	"250"	"9"	"4"	"3"	"4"	"2"	"0"	"2"	"21"	"7"	"7"	"4"	"5"	"0"	"0"	"2"	"520"	"0"	"4"	"524"	"0"
"16"	"4"	"69"	"85"	"3"	"230"	"11"	"4"	"6"	"2"	"2"	"3"	"2"	"43"	"4"	"5"	"4"	"5"	"9"	"3"	"1"	"491"	"0"	"1"	"492"	"0"
"17"	"5"	"293"	"219"	"16"	"242"	"25"	"9"	"2"	"9"	"3"	"1"	"3"	"28"	"3"	"3"	"2"	"5"	"4"	"4"	"3"	"874"	"0"	"2"	"876"	"0"
"18"	"6"	"108"	"132"	"8"	"177"	"24"	"3"	"3"	"9"	"4"	"4"	"5"	"121"	"7"	"7"	"4"	"10"	"3"	"3"	"5"	"637"	"0"	"7"	"644"	"0"
