"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 22-Ujiarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  225101"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Morwa(135)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashwamedh Devi"	"Alok Kumar Mehta"	"Dharmendra Sahani"	"Nityanand Rai"	"Ram Deo Verma"	"Amrendra Kumar Yadav"	"Kishor Kumar"	"Jitendra Kumar Rai"	"Md. Tahir Araman"	"Prithivinath Prasad"	"Prem Lata Devi"	"Phool Babu Singh"	"Madhuri"	"Mithilesh Kumar Jha"	"Vindeshwari Sahni"	"Shivani Umani"	"Suresh chaudhari"	"Arjun Kumar Sah"	"Mintu Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"67"	"176"	"6"	"334"	"10"	"5"	"5"	"4"	"3"	"0"	"4"	"1"	"2"	"5"	"4"	"1"	"3"	"0"	"1"	"631"	"0"	"3"	"634"	"0"
"14"	"2"	"130"	"93"	"15"	"389"	"13"	"2"	"4"	"9"	"0"	"1"	"2"	"1"	"6"	"6"	"0"	"5"	"3"	"3"	"3"	"685"	"0"	"10"	"695"	"0"
"15"	"3"	"66"	"124"	"3"	"309"	"9"	"4"	"4"	"9"	"2"	"5"	"2"	"1"	"8"	"10"	"6"	"14"	"15"	"5"	"11"	"607"	"0"	"11"	"618"	"0"
"16"	"4"	"135"	"83"	"6"	"294"	"11"	"2"	"7"	"6"	"2"	"5"	"3"	"3"	"10"	"2"	"1"	"16"	"14"	"2"	"1"	"603"	"0"	"6"	"609"	"0"
"17"	"5"	"45"	"442"	"9"	"220"	"9"	"2"	"0"	"16"	"3"	"4"	"2"	"4"	"5"	"2"	"5"	"9"	"2"	"4"	"0"	"783"	"0"	"3"	"786"	"0"
"18"	"6"	"108"	"46"	"4"	"455"	"16"	"5"	"2"	"10"	"0"	"0"	"3"	"0"	"6"	"4"	"3"	"0"	"8"	"0"	"1"	"671"	"0"	"4"	"675"	"0"
