"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32-Arrah PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  231296"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Agiaon(195)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"MEENA SINGH"	"RAMESH CHANDRA BADAL"	"RAJ KUMAR SINGH"	"SRIBHAGWAN SINGH KUSHWAHA"	"BAIJNATH YADAV"	"BHARAT BHUSHAN PANDEY"	"RAJU YADAV"	"SHAMBHU PRASAD SHARMA"	"DR. SURENDRA KUMAR PRASAD"	"ASHOK RAM"	"GOPAL SINGH"	"SHANKAR DAYAL PASWAN"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"13"	"1"	"15"	"290"	"2"	"3"	"169"	"2"	"3"	"4"	"1"	"0"	"503"	"0"	"1"	"504"	"0"
"14"	"2"	"15"	"0"	"18"	"220"	"0"	"14"	"55"	"2"	"0"	"1"	"0"	"0"	"325"	"0"	"1"	"326"	"0"
"15"	"3"	"58"	"2"	"390"	"23"	"2"	"6"	"20"	"1"	"3"	"1"	"4"	"2"	"512"	"0"	"10"	"522"	"0"
"16"	"4"	"39"	"8"	"258"	"24"	"3"	"21"	"256"	"6"	"4"	"1"	"5"	"2"	"627"	"0"	"9"	"636"	"0"
"17"	"5"	"34"	"4"	"269"	"99"	"4"	"7"	"91"	"7"	"6"	"3"	"2"	"2"	"528"	"0"	"4"	"532"	"0"
"18"	"6"	"91"	"5"	"362"	"72"	"4"	"9"	"110"	"8"	"7"	"5"	"2"	"3"	"678"	"0"	"0"	"678"	"0"
"19"	"7"	"54"	"1"	"187"	"330"	"8"	"7"	"50"	"4"	"12"	"4"	"1"	"2"	"660"	"0"	"10"	"670"	"0"
"20"	"8"	"144"	"25"	"70"	"267"	"1"	"8"	"25"	"3"	"5"	"0"	"1"	"1"	"550"	"0"	"4"	"554"	"0"
"21"	"9"	"8"	"5"	"20"	"163"	"6"	"16"	"142"	"9"	"4"	"4"	"3"	"6"	"386"	"0"	"12"	"398"	"0"
"22"	"10"	"25"	"3"	"167"	"127"	"6"	"14"	"199"	"8"	"8"	"8"	"2"	"1"	"568"	"0"	"13"	"581"	"0"
"23"	"11"	"19"	"1"	"67"	"268"	"7"	"3"	"42"	"4"	"3"	"4"	"3"	"3"	"424"	"0"	"9"	"433"	"0"
