"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 34-Sasaram PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  236573"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bhabua(205)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Karra Parasu Ramaiah"	"Chhedi Paswan"	"Baleshwar Bharti"	"Meira Kumar"	"Geeta Arya"	"Tetri Devi"	"Saroj Ram"	"Nand Lal Ram"	"Ravikant Chaudhary"	"Rajnarain Rao"	"Surendra Ram"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"159"	"158"	"16"	"112"	"12"	"5"	"0"	"2"	"1"	"2"	"4"	"471"	"0"	"6"	"477"	"0"
"14"	"2"	"113"	"276"	"28"	"12"	"6"	"7"	"3"	"4"	"1"	"4"	"2"	"456"	"0"	"4"	"460"	"0"
"15"	"3"	"41"	"540"	"24"	"78"	"11"	"75"	"4"	"1"	"2"	"4"	"7"	"787"	"0"	"11"	"798"	"0"
"16"	"4"	"115"	"226"	"38"	"66"	"5"	"6"	"0"	"0"	"0"	"0"	"1"	"457"	"0"	"4"	"461"	"0"
"17"	"5"	"204"	"152"	"5"	"51"	"2"	"7"	"2"	"2"	"4"	"1"	"1"	"431"	"0"	"11"	"442"	"0"
"18"	"6"	"15"	"395"	"6"	"16"	"0"	"2"	"3"	"1"	"1"	"3"	"15"	"457"	"0"	"13"	"470"	"0"
"19"	"7"	"224"	"374"	"21"	"25"	"3"	"0"	"2"	"2"	"0"	"1"	"7"	"659"	"0"	"6"	"665"	"0"
"20"	"8"	"17"	"596"	"5"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"624"	"0"	"0"	"624"	"0"
"21"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"22"	"9A"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"23"	"10"	"123"	"222"	"25"	"154"	"3"	"36"	"3"	"3"	"4"	"1"	"2"	"576"	"0"	"15"	"591"	"0"
"24"	"11"	"16"	"241"	"8"	"178"	"13"	"1"	"1"	"0"	"0"	"2"	"5"	"465"	"0"	"13"	"478"	"0"
"25"	"12"	"119"	"290"	"32"	"42"	"3"	"1"	"1"	"1"	"0"	"3"	"4"	"496"	"0"	"7"	"503"	"0"
