"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32-Arrah PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  265185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Shahpur(198)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"MEENA SINGH"	"RAMESH CHANDRA BADAL"	"RAJ KUMAR SINGH"	"SRIBHAGWAN SINGH KUSHWAHA"	"BAIJNATH YADAV"	"BHARAT BHUSHAN PANDEY"	"RAJU YADAV"	"SHAMBHU PRASAD SHARMA"	"DR. SURENDRA KUMAR PRASAD"	"ASHOK RAM"	"GOPAL SINGH"	"SHANKAR DAYAL PASWAN"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"10"	"4"	"51"	"282"	"9"	"3"	"6"	"5"	"4"	"7"	"1"	"1"	"383"	"0"	"1"	"384"	"0"
"14"	"1A"	"8"	"0"	"96"	"271"	"4"	"1"	"13"	"5"	"1"	"3"	"1"	"3"	"406"	"0"	"2"	"408"	"0"
"15"	"2"	"27"	"5"	"20"	"389"	"7"	"3"	"17"	"2"	"5"	"6"	"1"	"3"	"485"	"0"	"16"	"501"	"0"
"16"	"3"	"26"	"0"	"37"	"425"	"7"	"1"	"23"	"0"	"1"	"4"	"1"	"2"	"527"	"0"	"3"	"530"	"0"
"17"	"4"	"22"	"2"	"59"	"400"	"10"	"6"	"0"	"1"	"3"	"5"	"3"	"6"	"517"	"0"	"28"	"545"	"0"
"18"	"4A"	"22"	"4"	"43"	"349"	"8"	"4"	"3"	"4"	"3"	"5"	"4"	"1"	"450"	"0"	"7"	"457"	"0"
"19"	"5"	"2"	"5"	"122"	"202"	"6"	"1"	"1"	"3"	"0"	"4"	"3"	"1"	"350"	"0"	"6"	"356"	"0"
"20"	"6"	"51"	"13"	"134"	"319"	"7"	"3"	"6"	"3"	"8"	"11"	"9"	"10"	"574"	"0"	"29"	"603"	"0"
"21"	"7"	"78"	"8"	"165"	"118"	"3"	"2"	"2"	"0"	"2"	"4"	"3"	"0"	"385"	"0"	"4"	"389"	"0"
"22"	"8"	"86"	"0"	"141"	"52"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"3"	"288"	"0"	"4"	"292"	"0"
"23"	"9"	"64"	"45"	"210"	"50"	"2"	"5"	"7"	"0"	"5"	"8"	"7"	"9"	"412"	"0"	"18"	"430"	"0"
