"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 12-Purnea PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  276600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Purniya(62)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Amarnath Tiwari"	"Uday Singh alias Pappu Singh"	"Raj Kumar Oraon"	"Santosh Kumar"	"Anil Kumar Mahto"	"Pankaj Kumar Singh"	"Pramod Narayan Poddar"	"Fagu Marandi"	"Mansur Alam"	"Md.
Shamsher Aalam"	"MD Shahid Akthar"	"Syed Shah Ekbal Alam"	"Sudeep Roy"	"Md Akthar Ali"	"Kunj Bihari Paswan"	"Nawlesh Pathak"	"Sanjay Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"129"	"397"	"8"	"160"	"4"	"2"	"4"	"0"	"0"	"32"	"5"	"1"	"9"	"6"	"4"	"12"	"12"	"785"	"0"	"46"	"831"	"0"
"14"	"2"	"95"	"503"	"1"	"80"	"4"	"2"	"2"	"2"	"1"	"16"	"1"	"1"	"5"	"2"	"2"	"9"	"4"	"730"	"0"	"11"	"741"	"0"
"15"	"3"	"36"	"347"	"6"	"139"	"1"	"2"	"1"	"3"	"3"	"20"	"0"	"4"	"12"	"5"	"2"	"6"	"2"	"589"	"0"	"2"	"591"	"0"
"16"	"4"	"34"	"185"	"6"	"222"	"7"	"4"	"6"	"1"	"3"	"48"	"2"	"5"	"6"	"2"	"7"	"5"	"12"	"555"	"0"	"13"	"568"	"0"
"17"	"5"	"80"	"436"	"3"	"185"	"3"	"1"	"3"	"0"	"3"	"28"	"3"	"4"	"8"	"3"	"1"	"1"	"2"	"764"	"0"	"5"	"769"	"0"
"18"	"6"	"35"	"537"	"6"	"128"	"0"	"0"	"1"	"0"	"0"	"16"	"2"	"0"	"6"	"1"	"1"	"3"	"0"	"736"	"0"	"1"	"737"	"0"
"19"	"7"	"25"	"220"	"1"	"107"	"2"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"370"	"0"	"0"	"370"	"0"
