"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 39-Nawada PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  325086"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Hisua(236)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kaushal Yadav"	"Giriraj Singh"	"Raj Ballabh Prasad"	"Sohail Anwer"	"Ashok Kumar"	"Umakant Rahi"	"Pramendra Kumar Yadav"	"Mohammad Jahid Husain"	"Rajendra Singh"	"Vijay Ram"	"Surendra Rajbanshi"	"Azad Geeta Prasad Sharma"	"Aditya Narayan"	"Manish Kumar"	"Satish Kumar"	"Safdar Ismail"	"Shulochana Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"85"	"368"	"18"	"0"	"0"	"0"	"1"	"4"	"1"	"1"	"1"	"3"	"1"	"1"	"4"	"12"	"4"	"504"	"0"	"2"	"506"	"0"
"14"	"2"	"57"	"457"	"69"	"3"	"1"	"2"	"0"	"3"	"4"	"2"	"1"	"5"	"5"	"9"	"14"	"8"	"1"	"641"	"0"	"0"	"641"	"0"
"15"	"3"	"75"	"112"	"201"	"13"	"3"	"6"	"0"	"7"	"2"	"4"	"3"	"5"	"1"	"15"	"7"	"14"	"5"	"473"	"0"	"2"	"475"	"0"
"16"	"4"	"26"	"515"	"23"	"2"	"0"	"1"	"1"	"2"	"2"	"1"	"0"	"4"	"1"	"3"	"11"	"10"	"1"	"603"	"0"	"11"	"614"	"0"
"17"	"5"	"129"	"293"	"43"	"3"	"2"	"0"	"0"	"2"	"2"	"3"	"0"	"4"	"3"	"6"	"4"	"6"	"3"	"503"	"0"	"3"	"506"	"0"
"18"	"6"	"55"	"44"	"224"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"1"	"0"	"334"	"0"	"0"	"334"	"0"
"19"	"7"	"143"	"97"	"161"	"4"	"1"	"1"	"0"	"1"	"4"	"1"	"1"	"1"	"8"	"9"	"5"	"16"	"9"	"462"	"0"	"4"	"466"	"0"
