"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 39-Nawada PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  306506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Nawada(237)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kaushal Yadav"	"Giriraj Singh"	"Raj Ballabh Prasad"	"Sohail Anwer"	"Ashok Kumar"	"Umakant Rahi"	"Pramendra Kumar Yadav"	"Mohammad Jahid Husain"	"Rajendra Singh"	"Vijay Ram"	"Surendra Rajbanshi"	"Azad Geeta Prasad Sharma"	"Aditya Narayan"	"Manish Kumar"	"Satish Kumar"	"Safdar Ismail"	"Shulochana Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"96"	"95"	"356"	"6"	"1"	"1"	"2"	"2"	"1"	"0"	"40"	"1"	"1"	"5"	"4"	"6"	"5"	"622"	"0"	"3"	"625"	"0"
"14"	"2"	"57"	"602"	"5"	"3"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"3"	"3"	"3"	"7"	"4"	"0"	"694"	"0"	"7"	"701"	"0"
"15"	"3"	"41"	"480"	"10"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"8"	"1"	"4"	"4"	"5"	"0"	"557"	"0"	"4"	"561"	"0"
"16"	"4"	"113"	"758"	"11"	"2"	"0"	"0"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"895"	"0"	"6"	"901"	"0"
"17"	"5"	"60"	"11"	"270"	"5"	"0"	"0"	"0"	"0"	"4"	"0"	"1"	"1"	"1"	"3"	"1"	"0"	"1"	"358"	"0"	"0"	"358"	"0"
"18"	"6"	"90"	"49"	"219"	"6"	"1"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"4"	"4"	"2"	"5"	"2"	"387"	"0"	"2"	"389"	"0"
"19"	"7"	"84"	"130"	"22"	"3"	"1"	"3"	"0"	"2"	"0"	"3"	"1"	"0"	"2"	"1"	"5"	"16"	"11"	"284"	"0"	"15"	"299"	"0"
