"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 14-Darbhanga PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  257360"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Benipur(80)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Durganand Mahavir Nayak"	"Sanjay Kumar Jha"	"Haday Na. Yadav"	"Kedar Ku. Keshav"	"Jainath"	"Dr. Prabhat Ranjan Das"	"Faisal Ahmad"	"Brahmadeo Prasad Karyee"	"Colonel Lakshmeshwar Mishra"	"Sadre Alam Khan"	"Krishna Kumar Paswan"	"Pradeep Paswan"	"Pravin Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"43"	"244"	"16"	"27"	"4"	"26"	"1"	"5"	"1"	"2"	"4"	"2"	"4"	"8"	"11"	"398"	"0"	"10"	"408"	"0"
"14"	"2"	"91"	"192"	"3"	"83"	"7"	"20"	"4"	"9"	"4"	"5"	"62"	"1"	"14"	"4"	"7"	"506"	"0"	"5"	"511"	"0"
"15"	"3"	"43"	"297"	"3"	"122"	"16"	"38"	"0"	"1"	"1"	"2"	"4"	"6"	"9"	"8"	"6"	"556"	"0"	"10"	"566"	"0"
"16"	"4"	"190"	"412"	"11"	"53"	"5"	"19"	"1"	"3"	"1"	"4"	"3"	"9"	"16"	"15"	"40"	"782"	"0"	"30"	"812"	"0"
"17"	"5"	"572"	"32"	"2"	"18"	"1"	"15"	"0"	"0"	"0"	"0"	"1"	"4"	"6"	"1"	"6"	"658"	"0"	"44"	"702"	"0"
"18"	"6"	"435"	"84"	"3"	"42"	"4"	"19"	"1"	"5"	"5"	"2"	"5"	"5"	"6"	"10"	"45"	"671"	"0"	"65"	"736"	"0"
"19"	"7"	"302"	"67"	"1"	"61"	"3"	"34"	"2"	"6"	"3"	"6"	"3"	"3"	"7"	"11"	"25"	"534"	"0"	"75"	"609"	"0"
"20"	"8"	"120"	"268"	"5"	"125"	"4"	"32"	"3"	"4"	"1"	"1"	"2"	"2"	"5"	"7"	"3"	"582"	"0"	"5"	"587"	"0"
