"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27-Banka PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  219120"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Katoria(162)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jai Prakash Narayan Yadav"	"Putul Kumari"	"Sanjay Kumar
- I"	"Sanjay Kumar
- II"	"Umakant Yadav"	"Deepak Kumar"	"Niraj Kumar"	"Mahboob Alam Ansari"	"Mithlesh Kumar Singh"	"Mukesh Kumar Sinha"	"Vijay Bharti"	"Subodh Narayan Jha"	"Akhil Bhartiya Sharma"	"Alimuddin Ansari"	"Indraraj Singh Saini"	"Naresh Kumar Priyadarshi"	"Sargun Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"314"	"199"	"75"	"8"	"7"	"5"	"5"	"4"	"3"	"7"	"5"	"7"	"6"	"16"	"19"	"27"	"8"	"715"	"0"	"5"	"720"	"0"
"14"	"2"	"137"	"86"	"192"	"4"	"2"	"0"	"4"	"3"	"1"	"1"	"5"	"10"	"4"	"15"	"12"	"39"	"6"	"521"	"0"	"6"	"527"	"0"
"15"	"3"	"539"	"84"	"112"	"2"	"1"	"1"	"1"	"2"	"1"	"1"	"6"	"3"	"4"	"29"	"10"	"26"	"42"	"864"	"0"	"14"	"878"	"0"
"16"	"4"	"635"	"46"	"39"	"5"	"2"	"3"	"2"	"2"	"5"	"2"	"3"	"5"	"5"	"16"	"24"	"98"	"25"	"917"	"0"	"8"	"925"	"0"
"17"	"5"	"430"	"41"	"160"	"6"	"3"	"2"	"3"	"3"	"4"	"2"	"8"	"6"	"9"	"20"	"11"	"48"	"46"	"802"	"0"	"16"	"818"	"0"
"18"	"6"	"559"	"23"	"11"	"2"	"1"	"1"	"3"	"1"	"1"	"1"	"0"	"1"	"0"	"5"	"6"	"34"	"16"	"665"	"0"	"4"	"669"	"0"
"19"	"7"	"298"	"23"	"51"	"1"	"0"	"0"	"2"	"6"	"1"	"1"	"1"	"4"	"1"	"12"	"6"	"27"	"11"	"445"	"0"	"4"	"449"	"0"
