"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 9-Araria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  245474"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sikti(51)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"ABDUL RAHMAN"	"TASLEEM UDDIN"	"PRADEEP KUMAR SINGH"	"VIJAY KUMAR MANDAL"	"MD. ASLAM BEG"	"CHANDRA BHUSHAN"	"RAJESH KUMAR"	"RAMANAND RISHIDEO"	"BIDAYANAND PASWAN"	"SANJAY KUMAR RISHIDEV"	"SAR WAT JAHRE ANSARI"	"ALAMDAR HUSSAIN"	"PANKAJ KISHOR MANDAL"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"13"	"689"	"178"	"93"	"2"	"3"	"3"	"4"	"5"	"1"	"2"	"1"	"6"	"1000"	"0"	"4"	"1004"	"0"
"14"	"2"	"14"	"911"	"7"	"14"	"1"	"0"	"1"	"2"	"1"	"3"	"0"	"3"	"12"	"969"	"0"	"3"	"972"	"0"
"15"	"3"	"19"	"491"	"25"	"95"	"2"	"5"	"1"	"1"	"1"	"2"	"2"	"2"	"11"	"657"	"0"	"7"	"664"	"0"
"16"	"4"	"16"	"682"	"17"	"80"	"2"	"1"	"0"	"2"	"2"	"4"	"5"	"6"	"22"	"839"	"0"	"16"	"855"	"0"
"17"	"5"	"6"	"73"	"577"	"242"	"7"	"7"	"8"	"3"	"4"	"5"	"7"	"14"	"9"	"962"	"0"	"27"	"989"	"0"
"18"	"6"	"20"	"383"	"500"	"209"	"5"	"6"	"7"	"2"	"3"	"2"	"6"	"9"	"15"	"1167"	"0"	"9"	"1176"	"0"
"19"	"7"	"7"	"135"	"159"	"243"	"4"	"9"	"8"	"2"	"6"	"3"	"6"	"4"	"3"	"589"	"0"	"11"	"600"	"0"
"20"	"7A"	"2"	"73"	"197"	"205"	"6"	"6"	"0"	"1"	"1"	"3"	"1"	"1"	"3"	"499"	"0"	"3"	"502"	"0"
"21"	"8"	"8"	"16"	"444"	"142"	"3"	"7"	"5"	"4"	"2"	"0"	"8"	"6"	"9"	"654"	"0"	"20"	"674"	"0"
"22"	"9"	"14"	"245"	"145"	"65"	"1"	"1"	"2"	"3"	"4"	"4"	"3"	"7"	"10"	"504"	"0"	"33"	"537"	"0"
