"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 10-Kishanganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  267156"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Amour(56)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"AKHTARUL IMAN"	"DR. DILIP KUMAR JAISWAL"	"MD. NAUSHAD"	"MOHAMMAD ASRARUL HAQUE"	"ALIMUDDIN ANSARI"	"MD. GULAB SIDDIKI"	"MANUWER ALAM"	"MOHAMMAD WASIQUR RAHMAN"	"CHITRANJAN SINGH"	"CHHOTE LAL MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"27"	"76"	"20"	"503"	"19"	"7"	"4"	"8"	"3"	"9"	"676"	"0"	"32"	"708"	"0"
"14"	"2"	"38"	"215"	"15"	"379"	"20"	"6"	"5"	"1"	"4"	"8"	"691"	"0"	"39"	"730"	"0"
"15"	"3"	"27"	"626"	"12"	"48"	"5"	"3"	"3"	"1"	"1"	"2"	"728"	"0"	"14"	"742"	"0"
"16"	"4"	"4"	"12"	"2"	"303"	"9"	"0"	"6"	"2"	"1"	"3"	"342"	"0"	"4"	"346"	"0"
"17"	"5"	"16"	"21"	"9"	"563"	"24"	"8"	"2"	"6"	"10"	"9"	"668"	"0"	"39"	"707"	"0"
"18"	"6"	"9"	"42"	"8"	"473"	"16"	"11"	"2"	"5"	"2"	"10"	"578"	"0"	"19"	"597"	"0"
"19"	"7"	"19"	"629"	"14"	"219"	"7"	"1"	"0"	"1"	"1"	"4"	"895"	"0"	"9"	"904"	"0"
"20"	"8"	"21"	"907"	"13"	"42"	"2"	"2"	"2"	"1"	"5"	"10"	"1005"	"0"	"12"	"1017"	"0"
"21"	"9"	"13"	"163"	"11"	"318"	"11"	"4"	"1"	"3"	"2"	"3"	"529"	"0"	"17"	"546"	"0"
"22"	"9A"	"21"	"307"	"13"	"184"	"7"	"3"	"1"	"1"	"4"	"7"	"548"	"0"	"16"	"564"	"0"
"23"	"10"	"20"	"349"	"11"	"175"	"6"	"3"	"4"	"0"	"2"	"4"	"574"	"0"	"20"	"594"	"0"
"24"	"10A"	"10"	"195"	"10"	"248"	"11"	"5"	"2"	"4"	"0"	"7"	"492"	"0"	"48"	"540"	"0"
"25"	"11"	"7"	"22"	"17"	"552"	"9"	"6"	"2"	"4"	"7"	"6"	"632"	"0"	"10"	"642"	"0"
"26"	"12"	"8"	"147"	"4"	"414"	"20"	"2"	"6"	"1"	"5"	"5"	"612"	"0"	"13"	"625"	"0"
