"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 2-Pashchim Champaran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  233432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Chanpatia(7)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Prakash Jha"	"Prabhu Raj Narain Rao"	"Raghunath Jha"	"Dr. Sanjay Jaiswal"	"Syed Shamim Akhtar"	"Anand Kaushal Singh"	"Sunil kumar Rao"	"Anand Prasad"	"Nafish Ahamad"	"Mohan Kumar"	"Ratan Kumar Sarkar"	"Syed Irshad Akhtar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"485"	"56"	"35"	"399"	"17"	"5"	"5"	"3"	"16"	"8"	"1"	"7"	"1037"	"0"	"16"	"1053"	"0"
"14"	"2"	"349"	"16"	"23"	"414"	"9"	"2"	"9"	"1"	"10"	"16"	"6"	"11"	"866"	"0"	"34"	"900"	"0"
"15"	"3"	"89"	"11"	"157"	"166"	"6"	"3"	"1"	"5"	"5"	"12"	"10"	"8"	"473"	"0"	"17"	"490"	"0"
"16"	"4"	"220"	"4"	"71"	"74"	"33"	"2"	"3"	"4"	"4"	"11"	"7"	"6"	"439"	"0"	"12"	"451"	"0"
"17"	"5"	"49"	"8"	"87"	"306"	"8"	"2"	"0"	"3"	"6"	"8"	"7"	"9"	"493"	"0"	"13"	"506"	"0"
"18"	"6"	"121"	"19"	"114"	"228"	"7"	"1"	"4"	"4"	"11"	"15"	"6"	"9"	"539"	"0"	"36"	"575"	"0"
"19"	"7"	"183"	"29"	"180"	"245"	"11"	"2"	"3"	"7"	"11"	"13"	"3"	"15"	"702"	"0"	"24"	"726"	"0"
"20"	"8"	"122"	"15"	"42"	"309"	"30"	"4"	"3"	"4"	"14"	"15"	"9"	"11"	"578"	"0"	"15"	"593"	"0"
"21"	"9"	"115"	"8"	"31"	"271"	"6"	"1"	"2"	"3"	"3"	"3"	"1"	"5"	"449"	"0"	"5"	"454"	"0"
"22"	"10"	"184"	"53"	"18"	"246"	"14"	"10"	"8"	"6"	"33"	"21"	"7"	"19"	"619"	"0"	"26"	"645"	"0"
"23"	"11"	"170"	"10"	"17"	"592"	"8"	"2"	"4"	"6"	"5"	"15"	"6"	"8"	"843"	"0"	"10"	"853"	"0"
"24"	"12"	"122"	"14"	"55"	"259"	"6"	"1"	"4"	"4"	"1"	"5"	"2"	"6"	"479"	"0"	"1"	"480"	"0"
