"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 33-Buxar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  280421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Dumraon(201)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashwini Kumar Choubey"	"Jagadanand Singh"	"Dadan Yadav"	"Shyam Lal Singh Kushwaha"	"Indu Singh"	"Tafir Hussian"	"Parshuram Prasad"	"Pradeep Kumar Prasad"	"Mokarram Hussain"	"Monibur Rahman"	"Rajendra Kumar Singh Chouhan"	"Shio Kumar Sharma"	"Sweta Pathak"	"Narendra Pratap Singh"	"Lallan Rupnarain Pathak"	"Sheo Gopal Choudhary"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
"13"	"1"	"254"	"63"	"24"	"79"	"2"	"2"	"12"	"4"	"1"	"3"	"1"	"0"	"4"	"0"	"1"	"6"	"456"	"0"	"4"	"460"	"0"
"14"	"2"	"279"	"26"	"11"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"327"	"0"	"2"	"329"	"0"
"15"	"3"	"526"	"140"	"23"	"7"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"15"	"718"	"0"	"3"	"721"	"0"
"16"	"4"	"441"	"76"	"193"	"56"	"4"	"0"	"1"	"0"	"1"	"2"	"0"	"4"	"3"	"8"	"0"	"8"	"797"	"0"	"4"	"801"	"0"
"17"	"5"	"132"	"263"	"256"	"177"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"15"	"9"	"4"	"3"	"862"	"0"	"6"	"868"	"0"
"18"	"6"	"54"	"85"	"22"	"28"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"4"	"3"	"0"	"5"	"205"	"0"	"0"	"205"	"0"
"19"	"7"	"93"	"4"	"18"	"418"	"10"	"3"	"2"	"0"	"1"	"0"	"4"	"1"	"12"	"0"	"2"	"10"	"578"	"0"	"14"	"592"	"0"
"20"	"8"	"554"	"42"	"20"	"153"	"3"	"1"	"0"	"3"	"0"	"1"	"2"	"2"	"3"	"1"	"1"	"6"	"792"	"0"	"8"	"800"	"0"
