"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 36-Jehanabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Atri(233)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Anil Kumar Sharma"	"Ravindra Singh"	"Surendra Prasad Yadav"	"Dr. Arun Kumar"	"Md. Istiyak"	"Chandra Bhushan Sharma"	"Narendra Kumar"	"Parshuram Vind"	"Manju Devi"	"Ramadhar Singh"	"Rahul Ranjan"	"Arjun Thakur"	"Nityanand Singh"	"Manjay Kumar"	"Suday Yadav"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"56"	"0"	"67"	"320"	"6"	"1"	"1"	"4"	"0"	"2"	"3"	"1"	"4"	"5"	"0"	"470"	"0"	"4"	"474"	"0"
"14"	"2"	"3"	"0"	"282"	"29"	"1"	"1"	"2"	"5"	"0"	"6"	"1"	"0"	"1"	"6"	"2"	"339"	"0"	"3"	"342"	"0"
"15"	"3"	"43"	"4"	"287"	"186"	"3"	"1"	"3"	"5"	"4"	"20"	"6"	"9"	"19"	"16"	"9"	"615"	"0"	"4"	"619"	"0"
"16"	"4"	"424"	"2"	"8"	"78"	"3"	"0"	"1"	"2"	"2"	"86"	"2"	"11"	"4"	"1"	"4"	"628"	"0"	"8"	"636"	"0"
"17"	"5"	"42"	"1"	"168"	"103"	"3"	"1"	"2"	"0"	"2"	"23"	"3"	"9"	"7"	"3"	"5"	"372"	"0"	"25"	"397"	"0"
"18"	"6"	"15"	"0"	"5"	"462"	"1"	"0"	"2"	"0"	"3"	"4"	"3"	"2"	"1"	"0"	"0"	"498"	"0"	"3"	"501"	"0"
"19"	"7"	"149"	"8"	"53"	"121"	"1"	"2"	"2"	"0"	"2"	"5"	"5"	"8"	"7"	"3"	"8"	"374"	"0"	"18"	"392"	"0"
"20"	"8"	"305"	"3"	"70"	"46"	"4"	"1"	"2"	"1"	"0"	"13"	"2"	"11"	"5"	"8"	"11"	"482"	"0"	"22"	"504"	"0"
"21"	"9"	"189"	"0"	"9"	"57"	"3"	"2"	"0"	"2"	"2"	"35"	"0"	"5"	"1"	"1"	"0"	"306"	"0"	"4"	"310"	"0"
