"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 22-Ujiarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  252509"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Patepur(130)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashwamedh Devi"	"Alok Kumar Mehta"	"Dharmendra Sahani"	"Nityanand Rai"	"Ram Deo Verma"	"Amrendra Kumar Yadav"	"Kishor Kumar"	"Jitendra Kumar Rai"	"Md. Tahir Araman"	"Prithivinath Prasad"	"Prem Lata Devi"	"Phool Babu Singh"	"Madhuri"	"Mithilesh Kumar Jha"	"Vindeshwari Sahni"	"Shivani Umani"	"Suresh chaudhari"	"Arjun Kumar Sah"	"Mintu Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"19"	"205"	"10"	"259"	"5"	"0"	"3"	"17"	"7"	"3"	"3"	"1"	"5"	"7"	"6"	"19"	"4"	"13"	"2"	"588"	"0"	"22"	"610"	"0"
"14"	"2"	"22"	"83"	"12"	"352"	"12"	"6"	"5"	"22"	"3"	"2"	"1"	"1"	"4"	"8"	"4"	"7"	"0"	"1"	"3"	"548"	"0"	"3"	"551"	"0"
"15"	"3"	"24"	"272"	"14"	"230"	"9"	"3"	"3"	"16"	"5"	"3"	"4"	"3"	"8"	"10"	"12"	"21"	"17"	"34"	"4"	"692"	"0"	"40"	"732"	"0"
"16"	"4"	"20"	"217"	"15"	"265"	"18"	"2"	"3"	"12"	"4"	"2"	"2"	"1"	"3"	"9"	"6"	"7"	"16"	"15"	"6"	"623"	"0"	"14"	"637"	"0"
"17"	"5"	"18"	"241"	"4"	"198"	"35"	"2"	"2"	"10"	"1"	"3"	"2"	"4"	"5"	"4"	"8"	"15"	"2"	"5"	"4"	"563"	"0"	"4"	"567"	"0"
"18"	"6"	"18"	"115"	"18"	"278"	"21"	"6"	"2"	"6"	"1"	"1"	"4"	"6"	"9"	"7"	"6"	"12"	"1"	"2"	"1"	"514"	"0"	"1"	"515"	"0"
