"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 10-Kishanganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  232697"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Baisi(57)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"AKHTARUL IMAN"	"DR. DILIP KUMAR JAISWAL"	"MD. NAUSHAD"	"MOHAMMAD ASRARUL HAQUE"	"ALIMUDDIN ANSARI"	"MD. GULAB SIDDIKI"	"MANUWER ALAM"	"MOHAMMAD WASIQUR RAHMAN"	"CHITRANJAN SINGH"	"CHHOTE LAL MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"59"	"144"	"14"	"488"	"17"	"5"	"4"	"5"	"5"	"21"	"762"	"0"	"21"	"783"	"0"
"14"	"2"	"102"	"195"	"13"	"529"	"9"	"8"	"11"	"4"	"8"	"11"	"890"	"0"	"12"	"902"	"0"
"15"	"3"	"34"	"112"	"10"	"228"	"6"	"1"	"7"	"1"	"6"	"5"	"410"	"0"	"16"	"426"	"0"
"16"	"4"	"49"	"124"	"10"	"357"	"17"	"4"	"6"	"5"	"4"	"13"	"589"	"0"	"22"	"611"	"0"
"17"	"5"	"9"	"34"	"3"	"225"	"1"	"1"	"1"	"2"	"1"	"8"	"285"	"0"	"4"	"289"	"0"
"18"	"6"	"40"	"121"	"8"	"606"	"15"	"1"	"2"	"1"	"4"	"3"	"801"	"0"	"17"	"818"	"0"
"19"	"7"	"86"	"199"	"9"	"401"	"18"	"5"	"8"	"7"	"7"	"19"	"759"	"0"	"15"	"774"	"0"
"20"	"8"	"52"	"79"	"10"	"482"	"7"	"2"	"5"	"4"	"2"	"18"	"661"	"0"	"14"	"675"	"0"
"21"	"9"	"32"	"105"	"8"	"224"	"5"	"2"	"7"	"2"	"3"	"12"	"400"	"0"	"15"	"415"	"0"
"22"	"10"	"97"	"28"	"15"	"263"	"9"	"1"	"3"	"1"	"2"	"9"	"428"	"0"	"10"	"438"	"0"
"23"	"11"	"48"	"42"	"8"	"148"	"13"	"2"	"9"	"2"	"2"	"11"	"285"	"0"	"11"	"296"	"0"
"24"	"12"	"116"	"443"	"18"	"40"	"19"	"4"	"4"	"5"	"7"	"17"	"673"	"0"	"24"	"697"	"0"
"25"	"13"	"136"	"47"	"7"	"470"	"18"	"1"	"5"	"2"	"3"	"7"	"696"	"0"	"27"	"723"	"0"
"26"	"14"	"127"	"607"	"16"	"175"	"21"	"3"	"8"	"7"	"5"	"17"	"986"	"0"	"23"	"1009"	"0"
