"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-Saran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  242639"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Parsa(121)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Bal Mukund Chauhan"	"Rajiv Pratap Rudy"	"Rabri Devi"	"Saleem Perwez"	"Chandan Kumar Alias Chandan Gupta"	"Niraj Ram"	"Parmatma Singh"	"Ranjan kumar"	"Rajesh Kumar"	"Lalan Prasad"	"Lalu Rai"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"20"	"99"	"401"	"54"	"15"	"5"	"4"	"2"	"4"	"24"	"15"	"643"	"0"	"34"	"677"	"0"
"14"	"2"	"8"	"208"	"256"	"153"	"6"	"3"	"13"	"4"	"10"	"14"	"10"	"685"	"0"	"16"	"701"	"0"
"15"	"3"	"44"	"123"	"42"	"185"	"2"	"3"	"5"	"3"	"2"	"6"	"8"	"423"	"0"	"10"	"433"	"0"
"16"	"4"	"15"	"163"	"131"	"253"	"8"	"1"	"8"	"5"	"20"	"18"	"10"	"632"	"0"	"30"	"662"	"0"
"17"	"5"	"21"	"146"	"594"	"103"	"4"	"1"	"2"	"1"	"13"	"10"	"7"	"902"	"0"	"13"	"915"	"0"
"18"	"6"	"7"	"204"	"174"	"212"	"6"	"0"	"2"	"2"	"6"	"10"	"1"	"624"	"0"	"8"	"632"	"0"
"19"	"7"	"88"	"380"	"82"	"44"	"6"	"4"	"3"	"2"	"20"	"8"	"11"	"648"	"0"	"27"	"675"	"0"
"20"	"8"	"76"	"199"	"196"	"293"	"8"	"4"	"4"	"4"	"14"	"9"	"7"	"814"	"0"	"11"	"825"	"0"
"21"	"9"	"12"	"417"	"102"	"123"	"2"	"0"	"3"	"1"	"9"	"3"	"4"	"676"	"0"	"6"	"682"	"0"
"22"	"10"	"10"	"178"	"118"	"63"	"5"	"2"	"3"	"4"	"3"	"4"	"6"	"396"	"0"	"11"	"407"	"0"
"23"	"11"	"26"	"230"	"271"	"116"	"4"	"2"	"2"	"3"	"10"	"11"	"3"	"678"	"0"	"30"	"708"	"0"
"24"	"12"	"15"	"194"	"164"	"56"	"2"	"2"	"4"	"0"	"9"	"10"	"10"	"466"	"0"	"5"	"471"	"0"
"25"	"12A"	"8"	"105"	"140"	"140"	"8"	"2"	"3"	"3"	"3"	"9"	"6"	"427"	"0"	"27"	"454"	"0"
