"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 38-Gaya PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  233910"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sherghati(226)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jitan Ram Manjhi"	"Ramji Manjhi"	"Shiv Kumar Kant"	"Hari Manjhi"	"Ashok Kumar"	"Indradeo Choudhary"	"Kapil Choudhary"	"Dhananjay Kishor"	"Niranjan Kumar"	"Bhuneshwar Das"	"Mamta Kumari"	"Shiv Shankar Kumar"	"Dr. Dev Kumar Choudhary"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"14"	"42"	"1"	"160"	"12"	"0"	"5"	"0"	"0"	"0"	"1"	"1"	"3"	"239"	"0"	"5"	"244"	"0"
"14"	"2"	"160"	"40"	"25"	"99"	"23"	"0"	"3"	"6"	"2"	"2"	"3"	"2"	"3"	"368"	"0"	"4"	"372"	"0"
"15"	"3"	"189"	"9"	"14"	"43"	"16"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"273"	"0"	"0"	"273"	"0"
"16"	"4"	"147"	"94"	"8"	"155"	"47"	"9"	"7"	"10"	"8"	"14"	"7"	"11"	"11"	"528"	"0"	"21"	"549"	"0"
"17"	"5"	"106"	"25"	"1"	"111"	"18"	"4"	"3"	"0"	"1"	"0"	"4"	"2"	"4"	"279"	"0"	"15"	"294"	"0"
"18"	"6"	"58"	"61"	"4"	"419"	"43"	"7"	"11"	"3"	"3"	"14"	"3"	"3"	"9"	"638"	"0"	"10"	"648"	"0"
"19"	"7"	"33"	"104"	"39"	"187"	"23"	"4"	"6"	"8"	"3"	"4"	"9"	"10"	"12"	"442"	"0"	"16"	"458"	"0"
"20"	"8"	"62"	"45"	"9"	"296"	"13"	"1"	"6"	"1"	"1"	"2"	"1"	"2"	"6"	"445"	"0"	"7"	"452"	"0"
"21"	"9"	"146"	"31"	"42"	"83"	"25"	"5"	"5"	"1"	"2"	"3"	"6"	"4"	"3"	"356"	"0"	"17"	"373"	"0"
"22"	"10"	"83"	"132"	"7"	"129"	"82"	"6"	"1"	"4"	"2"	"9"	"5"	"7"	"10"	"477"	"0"	"11"	"488"	"0"
"23"	"11"	"112"	"104"	"12"	"150"	"36"	"7"	"14"	"10"	"2"	"5"	"4"	"6"	"8"	"470"	"0"	"20"	"490"	"0"
