District	Assembly_Id	Assembly_Name	Parliamentary_Name	Development_Parameter	Development_Parameter_Score
GOPALGANJ 	100	BARAULI	GOPALGANJ	ELECTRICITY	7
GOPALGANJ 	100	BARAULI	GOPALGANJ	WATER	2
GOPALGANJ 	100	BARAULI	GOPALGANJ	ROAD	7
GOPALGANJ 	100	BARAULI	GOPALGANJ	HEALTH SERVICES	6
GOPALGANJ 	100	BARAULI	GOPALGANJ	EDUCATION	6
GOPALGANJ 	100	BARAULI	GOPALGANJ	EMPLOYMENT GROWTH	6
GOPALGANJ 	100	BARAULI	GOPALGANJ	PUBLIC TRANSPORT	7
GOPALGANJ 	100	BARAULI	GOPALGANJ	LAW & ORDER	6
GOPALGANJ 	100	BARAULI	GOPALGANJ	CASTE POLARISTION	8
GOPALGANJ 	100	BARAULI	GOPALGANJ	COMMUNAL POLARISATION	8
GOPALGANJ 	100	BARAULI	GOPALGANJ	COMMUNAL POLARISATION	5
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	ELECTRICITY	6
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	WATER	3
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	ROAD	6
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	HEALTH SERVICES	6
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	EDUCATION	6
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	EMPLOYMENT GROWTH	7
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	PUBLIC TRANSPORT	5
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	LAW & ORDER	7
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	CASTE POLARISTION	8
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	COMMUNAL POLARISATION	4
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	COMMUNAL POLARISATION	6
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	ELECTRICITY	7
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	WATER	7
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	ROAD	7
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	HEALTH SERVICES	5
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	EDUCATION	6
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	EMPLOYMENT GROWTH	4
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	PUBLIC TRANSPORT	5
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	LAW & ORDER	5
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	CASTE POLARISTION	6
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	COMMUNAL POLARISATION	8
GOPALGANJ 	101	GOPALGANJ	GOPALGANJ	COMMUNAL POLARISATION	6
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	ELECTRICITY	5
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	WATER	6
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	ROAD	7
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	HEALTH SERVICES	6
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	EDUCATION	5
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	EMPLOYMENT GROWTH	6
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	PUBLIC TRANSPORT	6
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	LAW & ORDER	6
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	CASTE POLARISTION	4
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	COMMUNAL POLARISATION	2
GOPALGANJ 	102	KUCHAIKOTE	GOPALGANJ	COMMUNAL POLARISATION	6
GOPALGANJ 	103	BHOREY	GOPALGANJ	ELECTRICITY	4
GOPALGANJ 	103	BHOREY	GOPALGANJ	WATER	6
GOPALGANJ 	103	BHOREY	GOPALGANJ	ROAD	5
GOPALGANJ 	103	BHOREY	GOPALGANJ	HEALTH SERVICES	5
GOPALGANJ 	103	BHOREY	GOPALGANJ	EDUCATION	5
GOPALGANJ 	103	BHOREY	GOPALGANJ	EMPLOYMENT GROWTH	4
GOPALGANJ 	103	BHOREY	GOPALGANJ	PUBLIC TRANSPORT	5
GOPALGANJ 	103	BHOREY	GOPALGANJ	LAW & ORDER	6
GOPALGANJ 	103	BHOREY	GOPALGANJ	CASTE POLARISTION	5
GOPALGANJ 	103	BHOREY	GOPALGANJ	COMMUNAL POLARISATION	2
GOPALGANJ 	103	BHOREY	GOPALGANJ	COMMUNAL POLARISATION	5
GOPALGANJ 	104	HATHUA	GOPALGANJ	ELECTRICITY	6
GOPALGANJ 	104	HATHUA	GOPALGANJ	WATER	5
GOPALGANJ 	104	HATHUA	GOPALGANJ	ROAD	7
GOPALGANJ 	104	HATHUA	GOPALGANJ	HEALTH SERVICES	6
GOPALGANJ 	104	HATHUA	GOPALGANJ	EDUCATION	5
