District	Assembly_Id	Assembly_Name	Parliamentary_Name	Caste_Name	Caste_Population	Caste_Party_Support_Percent	Party	Caste_Percent
GOPALGANJ 	100	BARAULI	GOPALGANJ	MUSLIMS		10	BJP	40
GOPALGANJ 	100	BARAULI	GOPALGANJ	THAKUR		80	BJP	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	YADAV		10	BJP	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	BRAHMIN 		50	BJP	10
GOPALGANJ 	100	BARAULI	GOPALGANJ	DALIT		10	BJP	12
GOPALGANJ 	100	BARAULI	GOPALGANJ	OTHER			BJP	8
GOPALGANJ 	100	BARAULI	GOPALGANJ	MUSLIMS		60	RJD	40
GOPALGANJ 	100	BARAULI	GOPALGANJ	THAKUR		20	RJD	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	YADAV		80	RJD	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	BRAHMIN 		10	RJD	10
GOPALGANJ 	100	BARAULI	GOPALGANJ	DALIT		50	RJD	12
GOPALGANJ 	100	BARAULI	GOPALGANJ	OTHER			RJD	8
GOPALGANJ 	100	BARAULI	GOPALGANJ	MUSLIMS		25	INC	40
GOPALGANJ 	100	BARAULI	GOPALGANJ	THAKUR		0	INC	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	YADAV		10	INC	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	BRAHMIN 		40	INC	10
GOPALGANJ 	100	BARAULI	GOPALGANJ	DALIT		20	INC	12
GOPALGANJ 	100	BARAULI	GOPALGANJ	OTHER			INC	8
GOPALGANJ 	100	BARAULI	GOPALGANJ	MUSLIMS		5	BSP	40
GOPALGANJ 	100	BARAULI	GOPALGANJ	THAKUR			BSP	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	YADAV			BSP	15
GOPALGANJ 	100	BARAULI	GOPALGANJ	BRAHMIN 			BSP	10
GOPALGANJ 	100	BARAULI	GOPALGANJ	DALIT		20	BSP	12
GOPALGANJ 	100	BARAULI	GOPALGANJ	OTHER			BSP	8
GOPALGANJ 	99	BAIKUNTHPUR	GOPALGANJ	YADAV		80	RJD	30
