Assembly_Id	District	Assembly_Name	Parliamentary_Name	Party	PARTY_PARAMETER	PARTY_PARAMETER_SCORE
100	#REF!	BARAULI	GOPALGANJ	BJP	PARTY ORGANISATION	7
100	#REF!	BARAULI	GOPALGANJ	BJP	LOCAL LEADERS UNITY/COORDINATION	5
100	#REF!	BARAULI	GOPALGANJ	BJP	BOOTH MANAGEMENT OF PARTY	5
100	#REF!	BARAULI	GOPALGANJ	RJD	PARTY ORGANISATION	8
100	#REF!	BARAULI	GOPALGANJ	RJD	LOCAL LEADERS UNITY/COORDINATION	6
100	#REF!	BARAULI	GOPALGANJ	RJD	BOOTH MANAGEMENT OF PARTY	6
100	#REF!	BARAULI	GOPALGANJ	INC	PARTY ORGANISATION	4
100	#REF!	BARAULI	GOPALGANJ	INC	LOCAL LEADERS UNITY/COORDINATION	4
100	#REF!	BARAULI	GOPALGANJ	INC	BOOTH MANAGEMENT OF PARTY	3
100	#REF!	BARAULI	GOPALGANJ	BSP	PARTY ORGANISATION	3
100	#REF!	BARAULI	GOPALGANJ	BSP	LOCAL LEADERS UNITY/COORDINATION	3
100	#REF!	BARAULI	GOPALGANJ	BSP	BOOTH MANAGEMENT OF PARTY	2
99	#REF!	BAIKUNTHPUR	GOPALGANJ	RJD	PARTY ORGANISATION	8
99	#REF!	BAIKUNTHPUR	GOPALGANJ	RJD	LOCAL LEADERS UNITY/COORDINATION	7
99	#REF!	BAIKUNTHPUR	GOPALGANJ	RJD	BOOTH MANAGEMENT OF PARTY	7
99	#REF!	BAIKUNTHPUR	GOPALGANJ	JD(U)	PARTY ORGANISATION	8
99	#REF!	BAIKUNTHPUR	GOPALGANJ	JD(U)	LOCAL LEADERS UNITY/COORDINATION	7
99	#REF!	BAIKUNTHPUR	GOPALGANJ	JD(U)	BOOTH MANAGEMENT OF PARTY	7
99	#REF!	BAIKUNTHPUR	GOPALGANJ	INC	PARTY ORGANISATION	4
99	#REF!	BAIKUNTHPUR	GOPALGANJ	INC	LOCAL LEADERS UNITY/COORDINATION	4
99	#REF!	BAIKUNTHPUR	GOPALGANJ	INC	BOOTH MANAGEMENT OF PARTY	3
99	#REF!	BAIKUNTHPUR	GOPALGANJ	BSP	PARTY ORGANISATION	3
99	#REF!	BAIKUNTHPUR	GOPALGANJ	BSP	LOCAL LEADERS UNITY/COORDINATION	2
99	#REF!	BAIKUNTHPUR	GOPALGANJ	BSP	BOOTH MANAGEMENT OF PARTY	2
101	#REF!	GOPALGANJ	GOPALGANJ	BJP	PARTY ORGANISATION	6
101	#REF!	GOPALGANJ	GOPALGANJ	BJP	LOCAL LEADERS UNITY/COORDINATION	6
101	#REF!	GOPALGANJ	GOPALGANJ	BJP	BOOTH MANAGEMENT OF PARTY	6
101	#REF!	GOPALGANJ	GOPALGANJ	RJD	PARTY ORGANISATION	6
101	#REF!	GOPALGANJ	GOPALGANJ	RJD	LOCAL LEADERS UNITY/COORDINATION	6
101	#REF!	GOPALGANJ	GOPALGANJ	RJD	BOOTH MANAGEMENT OF PARTY	6
101	#REF!	GOPALGANJ	GOPALGANJ	INC	PARTY ORGANISATION	5
101	#REF!	GOPALGANJ	GOPALGANJ	INC	LOCAL LEADERS UNITY/COORDINATION	4
101	#REF!	GOPALGANJ	GOPALGANJ	INC	BOOTH MANAGEMENT OF PARTY	5
101	#REF!	GOPALGANJ	GOPALGANJ	BSP	PARTY ORGANISATION	3
101	#REF!	GOPALGANJ	GOPALGANJ	BSP	LOCAL LEADERS UNITY/COORDINATION	2
101	#REF!	GOPALGANJ	GOPALGANJ	BSP	BOOTH MANAGEMENT OF PARTY	3
102	#REF!	KUCHAIKOTE	GOPALGANJ	BSP	PARTY ORGANISATION	5
102	#REF!	KUCHAIKOTE	GOPALGANJ	BSP	LOCAL LEADERS UNITY/COORDINATION	5
102	#REF!	KUCHAIKOTE	GOPALGANJ	BSP	BOOTH MANAGEMENT OF PARTY	7
102	#REF!	KUCHAIKOTE	GOPALGANJ	RJD	PARTY ORGANISATION	6
102	#REF!	KUCHAIKOTE	GOPALGANJ	RJD	LOCAL LEADERS UNITY/COORDINATION	5
102	#REF!	KUCHAIKOTE	GOPALGANJ	RJD	BOOTH MANAGEMENT OF PARTY	6
102	#REF!	KUCHAIKOTE	GOPALGANJ	BJP	PARTY ORGANISATION	5
102	#REF!	KUCHAIKOTE	GOPALGANJ	BJP	LOCAL LEADERS UNITY/COORDINATION	6
102	#REF!	KUCHAIKOTE	GOPALGANJ	BJP	BOOTH MANAGEMENT OF PARTY	5
102	#REF!	KUCHAIKOTE	GOPALGANJ	BSP	PARTY ORGANISATION	2
102	#REF!	KUCHAIKOTE	GOPALGANJ	BSP	LOCAL LEADERS UNITY/COORDINATION	2
102	#REF!	KUCHAIKOTE	GOPALGANJ	BSP	BOOTH MANAGEMENT OF PARTY	2
103	#REF!	BHOREY	GOPALGANJ	RJD	PARTY ORGANISATION	8
103	#REF!	BHOREY	GOPALGANJ	RJD	LOCAL LEADERS UNITY/COORDINATION	6
103	#REF!	BHOREY	GOPALGANJ	RJD	BOOTH MANAGEMENT OF PARTY	8
103	#REF!	BHOREY	GOPALGANJ	BJP	PARTY ORGANISATION	6
103	#REF!	BHOREY	GOPALGANJ	BJP	LOCAL LEADERS UNITY/COORDINATION	6
103	#REF!	BHOREY	GOPALGANJ	BJP	BOOTH MANAGEMENT OF PARTY	6
103	#REF!	BHOREY	GOPALGANJ	CPI(ML)	PARTY ORGANISATION	4
103	#REF!	BHOREY	GOPALGANJ	CPI(ML)	LOCAL LEADERS UNITY/COORDINATION	5
103	#REF!	BHOREY	GOPALGANJ	CPI(ML)	BOOTH MANAGEMENT OF PARTY	4
103	#REF!	BHOREY	GOPALGANJ	INC	PARTY ORGANISATION	4
103	#REF!	BHOREY	GOPALGANJ	INC	LOCAL LEADERS UNITY/COORDINATION	4
103	#REF!	BHOREY	GOPALGANJ	INC	BOOTH MANAGEMENT OF PARTY	4
103	#REF!	BHOREY	GOPALGANJ	BSP	PARTY ORGANISATION	2
103	#REF!	BHOREY	GOPALGANJ	BSP	LOCAL LEADERS UNITY/COORDINATION	2
103	#REF!	BHOREY	GOPALGANJ	BSP	BOOTH MANAGEMENT OF PARTY	2
104	#REF!	HATHUA	GOPALGANJ	JD(U)	PARTY ORGANISATION	7
104	#REF!	HATHUA	GOPALGANJ	JD(U)	LOCAL LEADERS UNITY/COORDINATION	6
104	#REF!	HATHUA	GOPALGANJ	JD(U)	BOOTH MANAGEMENT OF PARTY	7
104	#REF!	HATHUA	GOPALGANJ	INC	PARTY ORGANISATION	6
104	#REF!	HATHUA	GOPALGANJ	INC	LOCAL LEADERS UNITY/COORDINATION	7
104	#REF!	HATHUA	GOPALGANJ	INC	BOOTH MANAGEMENT OF PARTY	7
104	#REF!	HATHUA	GOPALGANJ	RJD	PARTY ORGANISATION	6
104	#REF!	HATHUA	GOPALGANJ	RJD	LOCAL LEADERS UNITY/COORDINATION	6
104	#REF!	HATHUA	GOPALGANJ	RJD	BOOTH MANAGEMENT OF PARTY	6
