"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Final Result Sheet [SEE RULE 56C(2)( C )]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency / Segment     :-   215180"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly Segment               :-  206 SAHAR (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(In the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"No. of Polling Station"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"10"	""	""	"NAGENDRA KUMAR VIKAL"	"RAMBABU PASWAN"	"SHAKUNTA LA DEVI"	"SHAILENDR A KUAMR"	"CHINTA DEVI"	"RAM NARESH RAM"	"RAM BRIJH RAM"	"VIJAY KUMAR"	"UPENDRA KUMAR"	"RAM LAGAN LAL"	"LAL BABU"	""	""	""	""
"11"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"12"	"1"	"PRIMARY SCHOOL RAJMALDIH"	"36"	"180"	"62"	"13"	"2"	"46"	"1"	"0"	"1"	"1"	"14"	"356"	"0"	"356"	"0"
"13"	"2"	"PRIMARY SCHOOL NAUWAN"	"15"	"38"	"10"	"0"	"4"	"202"	"5"	"1"	"4"	"4"	"259"	"542"	"0"	"542"	"0"
"14"	"3"	"PRIMARY SCHOOL CHAKIYA"	"7"	"24"	"28"	"1"	"2"	"117"	"2"	"1"	"0"	"4"	"11"	"197"	"0"	"197"	"0"
"15"	"4"	"PRIMARY SCHOOL BALUA"	"8"	"7"	"89"	"3"	"5"	"154"	"0"	"3"	"1"	"3"	"4"	"277"	"0"	"277"	"0"
