"FORM...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"1"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Legislative assembly from the 141-BARARI constituency.                                     Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used both for Parliamentary and Assembly elections                                                Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Serial No. of Polling Station"	""	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	""	"TOTAL"	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	""	""	""	"ABDUL HAMID"	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	"DINA YADAV"	""	""	""	""	"PABHAT KUMAR"	""	""	"PRAKASH GUPTA"	""	""	""	"PREMNATH JAISWAL"	""	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	"ARVIND KUMAR SINGH"	""	""	""	"KALYAN MITRA"	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	"YAMUNA PRASAD YADAV"	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	""	"SHIV PUJAN PASWAN"	""	""	"SANJAY SINGH"	""	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"1"	""	""	"23"	""	"141"	""	""	"57"	""	""	""	"89"	""	""	"6"	""	""	""	"5"	""	""	""	""	"12"	""	""	"4"	""	""	""	"6"	""	""	""	""	"2"	""	""	"0"	""	""	"15"	""	""	"159"	""	""	"7"	""	""	"6"	""	""	""	"16"	""	""	"13"	""	""	""	"4"	""	""	""	"5"	""	""	"1"	""	""	""	"3"	""	""	""	"5"	""	""	"2"	""	""	"1"	""	""	""	"32"	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"620"	""	""	"0"	""	"620"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"2"	""	""	"6"	""	"80"	""	""	"8"	""	""	""	"137"	""	""	"7"	""	""	""	"17"	""	""	""	""	"3"	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	"7"	""	""	"7"	""	""	"150"	""	""	"12"	""	""	"8"	""	""	""	"33"	""	""	"4"	""	""	""	"2"	""	""	""	"7"	""	""	"1"	""	""	""	"3"	""	""	""	"5"	""	""	"0"	""	""	"3"	""	""	""	"23"	""	""	"3"	""	""	""	"0"	""	""	""	"17"	""	""	""	""	"550"	""	""	"0"	""	"550"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"3"	""	""	"2"	""	"28"	""	""	"3"	""	""	""	"274"	""	""	"7"	""	""	""	"25"	""	""	""	""	"3"	""	""	"5"	""	""	""	"5"	""	""	""	""	"2"	""	""	"8"	""	""	"14"	""	""	"223"	""	""	"22"	""	""	"4"	""	""	""	"12"	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"2"	""	""	""	"14"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"665"	""	""	"0"	""	"665"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
