"fuokZpuksa..dk..lapkyu..fu.e...1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"ºdkuwuh  fu;e  vkSj  vkns'kΩ  øiz:i  20¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"øfu;e  56  º7Ω  nsf[k,¿"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"vafre ifj.kke&i="	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ºvf/klwfpr ernku dsUnzksa ls fHkÈ ernku dsUnzksa ij ernku dk ifj.kke vfHkfyf[kr djus ds fy, mi;ksx esa yk;k tk,Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"150  &  Hkkxyiqj  fo/kku  LkHkk  {kss=  ds  fy,  fuokZpu"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Hkkx   1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"º lalnh; vkSj fo/kku lHkk nkssuksa fuokZpuksa ds fy, mi;ksx esa yk;k tk,Ω"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k ------------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"fo/kku lHkk [kaM dk uke ºlalnh; fuokZpu {ks= ls fuokZpu dh n'kk esa --------------------------------------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"ernku dsUnz dh
ÿe la0"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/kekU; er"	"izfr{ksfir erksa dh la[;k ;ksx"	"fuosfnŸk erksa dh la[;k"
"11"	""	"vthr 'kekZ"	"vf'ouh dqekj pkScs"	"izrki lkg"	"'kaHkqn;ky [ksrku"	",l vln bdcky"	"ukxjey cktksfj;k /kMr+  hidM+"	"'kSysUnz dqekj 'kekZ"	"müke dqekj jk;"	"izHkkdj 'kekZ"	"jkds'k dqekj nqcs"	"kkjnk uUnu iksnkj"	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"13"	"1"	"109"	"238"	"3"	"96"	"4"	"1"	"5"	"3"	"3"	"7"	"6"	"475"	""	""
"14"	"2"	"145"	"304"	"15"	"100"	"6"	"2"	"6"	"6"	"16"	"8"	"27"	"635"	""	""
"15"	"3"	"104"	"591"	"10"	"102"	"5"	"2"	"1"	"1"	"1"	"1"	"10"	"828"	""	""
"16"	"4"	"279"	"101"	"7"	"351"	"7"	"6"	"3"	"2"	"3"	"0"	"7"	"766"	""	""
"17"	"5"	"36"	"548"	"11"	"60"	"4"	"3"	"2"	"2"	"8"	"9"	"7"	"690"	""	""
"18"	"6"	"248"	"59"	"2"	"157"	"2"	"0"	"1"	"0"	"1"	"3"	"7"	"480"	""	""
"19"	"7"	"210"	"104"	"10"	"192"	"1"	"3"	"7"	"3"	"0"	"5"	"8"	"543"	""	""
"20"	"8"	"97"	"207"	"3"	"169"	"2"	"1"	"3"	"1"	"0"	"1"	"2"	"486"	""	""
"21"	"9"	"223"	"73"	"4"	"103"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"408"	""	""
"22"	"10"	"255"	"4"	"1"	"89"	"3"	"1"	"1"	"0"	"1"	"1"	"5"	"361"	""	""
"23"	"11"	"290"	"43"	"3"	"296"	"2"	"6"	"1"	"1"	"0"	"1"	"4"	"647"	""	""
