"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"Name of the Assembly Constituency : - 89 Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"7"	""	""	"Madhuri Ranjeeta Mahabir Devi"	"Md. Mumtaz Alam"	"Sanjay Sarawagi"	"Kamod Prasad"	"Vijay Kumar Mahto"	"Shivan Yadav"	"Satya Narayan Gami"	"Abdul Allam"	"Kapildev Mahaset h"	"Bharat Yadav"	"Baidhnath khandelbal Patwa"	"Sanjay Kumar Roy"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"9"	"1"	"1"	"6"	"179"	"30"	"1"	"0"	"0"	"71"	"3"	"3"	"1"	"1"	"2"	"297"	"-"	"297"	""
"10"	"2"	"2"	"16"	"91"	"93"	"8"	"7"	"25"	"364"	"27"	"7"	"11"	"27"	"41"	"717"	"-"	"717"	""
"11"	"3"	"3"	"10"	"143"	"284"	"4"	"2"	"8"	"85"	"12"	"4"	"8"	"6"	"26"	"592"	"-"	"592"	""
"12"	"4"	"4"	"21"	"46"	"203"	"4"	"6"	"7"	"395"	"15"	"4"	"7"	"3"	"13"	"724"	"-"	"724"	""
"13"	"5"	"5"	"6"	"89"	"46"	"4"	"3"	"12"	"131"	"11"	"2"	"6"	"3"	"4"	"317"	"-"	"317"	""
"14"	"6"	"6"	"6"	"164"	"209"	"4"	"0"	"3"	"9"	"2"	"6"	"4"	"2"	"3"	"412"	"-"	"412"	""
"15"	"7"	"7"	"3"	"3"	"301"	"2"	"0"	"0"	"67"	"3"	"2"	"11"	"0"	"2"	"394"	"-"	"394"	""
"16"	"8"	"8"	"9"	"55"	"577"	"12"	"2"	"13"	"69"	"7"	"4"	"6"	"4"	"25"	"783"	"-"	"783"	""
"17"	"9"	"9"	"25"	"245"	"258"	"9"	"2"	"25"	"39"	"8"	"1"	"7"	"4"	"10"	"633"	"-"	"633"	""
"18"	"10"	"10"	"2"	"196"	"274"	"6"	"1"	"5"	"54"	"0"	"1"	"2"	"0"	"5"	"546"	"-"	"546"	""
"19"	"11"	"11"	"13"	"105"	"116"	"2"	"2"	"5"	"129"	"11"	"8"	"4"	"7"	"16"	"418"	"-"	"418"	""
"20"	"12"	"12"	"16"	"24"	"242"	"11"	"3"	"20"	"105"	"9"	"5"	"4"	"8"	"19"	"466"	"-"	"466"	""
"21"	"13"	"13"	"21"	"67"	"295"	"5"	"5"	"96"	"89"	"9"	"4"	"10"	"7"	"13"	"621"	"-"	"621"	""
"22"	"14"	"14"	"9"	"33"	"294"	"11"	"7"	"8"	"87"	"14"	"4"	"3"	"3"	"8"	"481"	"-"	"481"	""
"23"	"15"	"15"	"8"	"85"	"332"	"15"	"2"	"8"	"18"	"2"	"5"	"6"	"14"	"17"	"512"	"-"	"512"	""
"24"	"16"	"16"	"8"	"271"	"6"	"0"	"1"	"1"	"89"	"2"	"0"	"0"	"2"	"3"	"383"	"-"	"383"	""
"25"	"17"	"17"	"8"	"325"	"59"	"3"	"1"	"3"	"31"	"5"	"3"	"6"	"13"	"8"	"465"	"-"	"465"	""
"26"	"18"	"18"	"3"	"506"	"22"	"1"	"0"	"0"	"35"	"2"	"0"	"0"	"1"	"1"	"571"	"-"	"571"	""
"27"	"19"	"19"	"10"	"260"	"38"	"5"	"0"	"4"	"146"	"9"	"3"	"1"	"9"	"17"	"502"	"-"	"502"	""
"28"	"20"	"20"	"14"	"66"	"114"	"4"	"3"	"99"	"168"	"14"	"7"	"3"	"28"	"10"	"530"	"-"	"530"	""
"29"	"21"	"21"	"17"	"124"	"217"	"4"	"2"	"72"	"98"	"10"	"6"	"6"	"19"	"18"	"593"	"-"	"593"	""
"30"	"22"	"22"	"15"	"713"	"89"	"2"	"1"	"1"	"60"	"7"	"2"	"2"	"6"	"8"	"906"	"-"	"906"	""
"31"	"23"	"23"	"18"	"157"	"316"	"9"	"1"	"3"	"178"	"7"	"5"	"1"	"5"	"14"	"714"	"-"	"714"	""
"32"	"24"	"24"	"13"	"265"	"234"	"5"	"2"	"2"	"106"	"8"	"4"	"6"	"10"	"17"	"672"	"-"	"672"	""
"33"	"25"	"25"	"16"	"50"	"273"	"9"	"6"	"11"	"256"	"36"	"5"	"6"	"3"	"19"	"690"	"-"	"690"	""
"34"	"26"	"26"	"7"	"105"	"383"	"8"	"2"	"6"	"117"	"6"	"8"	"5"	"3"	"16"	"666"	"-"	"666"	""
"35"	"27"	"27"	"3"	"226"	"258"	"25"	"4"	"4"	"152"	"16"	"6"	"15"	"7"	"12"	"728"	"-"	"728"	""
"36"	"28"	"28"	"15"	"90"	"408"	"3"	"2"	"6"	"57"	"13"	"8"	"33"	"2"	"8"	"645"	"-"	"645"	""
"37"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"38"	""	""	"Madhuri Ranjeeta Mahabir Devi"	"Md. Mumtaz Alam"	"Sanjay Sarawagi"	"Kamod Prasad"	"Vijay Kumar Mahto"	"Shivan Yadav"	"Satya Narayan Gami"	"Abdul Allam"	"Kapildev Mahaset h"	"Bharat Yadav"	"Baidhnath khandelbal Patwa"	"Sanjay Kumar Roy"	""	""	""	""
"39"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"40"	"29"	"29"	"15"	"130"	"258"	"1"	"6"	"5"	"220"	"29"	"1"	"4"	"5"	"10"	"684"	"-"	"684"	""
"41"	"30"	"30"	"20"	"90"	"233"	"9"	"5"	"5"	"225"	"33"	"3"	"8"	"5"	"17"	"653"	"-"	"653"	""
"42"	"31"	"31"	"10"	"134"	"237"	"1"	"3"	"2"	"134"	"14"	"3"	"1"	"2"	"10"	"551"	"-"	"551"	""
"43"	"32"	"32"	"12"	"37"	"501"	"12"	"3"	"10"	"147"	"3"	"6"	"14"	"7"	"8"	"760"	"-"	"760"	""
"44"	"33"	"33"	"15"	"174"	"322"	"5"	"1"	"4"	"145"	"6"	"3"	"4"	"10"	"14"	"703"	"-"	"703"	""
"45"	"34"	"34"	"14"	"76"	"222"	"4"	"0"	"3"	"138"	"4"	"3"	"3"	"5"	"13"	"485"	"-"	"485"	""
"46"	"35"	"35"	"9"	"59"	"501"	"3"	"1"	"6"	"265"	"10"	"10"	"22"	"6"	"30"	"922"	"-"	"922"	""
"47"	"36"	"36"	"18"	"54"	"489"	"10"	"4"	"2"	"181"	"11"	"4"	"18"	"8"	"35"	"834"	"-"	"834"	""
"48"	"37"	"37"	"12"	"220"	"302"	"3"	"0"	"2"	"129"	"3"	"1"	"6"	"3"	"4"	"685"	"-"	"685"	""
"49"	"38"	"38"	"17"	"254"	"234"	"7"	"4"	"1"	"137"	"9"	"5"	"5"	"4"	"27"	"704"	"-"	"704"	""
"50"	"39"	"39"	"5"	"152"	"336"	"3"	"1"	"2"	"85"	"0"	"0"	"1"	"5"	"5"	"595"	"-"	"595"	""
"51"	"40"	"40"	"0"	"35"	"470"	"1"	"0"	"0"	"100"	"3"	"2"	"2"	"1"	"4"	"618"	"-"	"618"	""
"52"	"41"	"41"	"4"	"18"	"412"	"1"	"0"	"7"	"108"	"0"	"4"	"4"	"0"	"3"	"561"	"-"	"561"	""
"53"	"42"	"42"	"9"	"210"	"210"	"5"	"1"	"4"	"143"	"3"	"1"	"3"	"1"	"14"	"604"	"-"	"604"	""
"54"	"43"	"43"	"3"	"43"	"237"	"3"	"2"	"3"	"113"	"3"	"0"	"2"	"0"	"4"	"413"	"-"	"413"	""
"55"	"44"	"44"	"8"	"85"	"222"	"1"	"1"	"1"	"140"	"11"	"2"	"2"	"4"	"6"	"483"	"-"	"483"	""
"56"	"45"	"45"	"4"	"106"	"177"	"3"	"2"	"2"	"208"	"14"	"3"	"1"	"2"	"11"	"533"	"-"	"533"	""
"57"	"46"	"46"	"9"	"56"	"311"	"6"	"3"	"10"	"362"	"24"	"10"	"3"	"7"	"22"	"823"	"-"	"823"	""
"58"	"47"	"47"	"6"	"59"	"236"	"9"	"1"	"10"	"367"	"25"	"11"	"8"	"10"	"38"	"780"	"-"	"780"	""
"59"	"48"	"48"	"3"	"121"	"272"	"5"	"3"	"2"	"249"	"13"	"4"	"2"	"5"	"11"	"690"	"-"	"690"	""
"60"	"49"	"49"	"37"	"61"	"279"	"7"	"6"	"10"	"234"	"16"	"2"	"4"	"6"	"1"	"663"	"-"	"663"	""
"61"	"50"	"50"	"10"	"142"	"209"	"6"	"2"	"5"	"279"	"15"	"5"	"4"	"8"	"15"	"700"	"-"	"700"	""
"62"	"51"	"51"	"3"	"56"	"338"	"3"	"1"	"3"	"148"	"5"	"8"	"2"	"6"	"19"	"592"	"-"	"592"	""
"63"	"52"	"52"	"2"	"83"	"372"	"6"	"1"	"4"	"171"	"10"	"5"	"4"	"5"	"9"	"672"	"-"	"672"	""
"64"	"53"	"53"	"9"	"339"	"251"	"3"	"0"	"9"	"128"	"9"	"1"	"3"	"8"	"10"	"770"	"-"	"770"	""
"65"	"54"	"54"	"5"	"43"	"538"	"9"	"0"	"3"	"81"	"4"	"2"	"6"	"3"	"2"	"696"	"-"	"696"	""
"66"	"55"	"55"	"10"	"75"	"407"	"2"	"1"	"1"	"202"	"9"	"1"	"2"	"10"	"11"	"731"	"-"	"731"	""
"67"	"56"	"56"	"2"	"24"	"403"	"3"	"0"	"3"	"206"	"7"	"4"	"1"	"8"	"10"	"671"	"-"	"671"	""
