"PS.NO"	"ARJUN.RAY"	"ASHOK.KUMAR.JHA"	"GANESH.PRASAD.YADAV"	"PREM.CHANDRA.MISHRA"	"HARISHCHAND.RA.PRASAD.YADAV"	"NAGENDRA.SAHANI"	"PANKAJ.BANDHU"	"BHUSHAN.KUMAR.JHA"	"MAHENDRA.PASWAN"	"MUKESH.PRASAD"	"RAMDAYAL.BAITHA"	"TOTAL.OF.VALID.VOTES"	"NO.OF.REJECTED.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"
"1"	1	266	1	27	48	1	1	0	3	2	5	4	-358	""	""
"2"	2	287	11	39	27	5	2	7	3	5	18	11	-415	""	""
"3"	3	258	5	52	5	2	2	1	1	2	6	8	-342	""	""
"4"	4	202	6	125	16	3	2	2	5	1	15	13	-390	""	""
"5"	5	187	22	266	26	9	6	5	6	8	7	1	-543	""	""
"6"	6	463	9	47	2	1	1	3	4	4	8	9	-551	""	""
"7"	7	215	12	197	47	3	2	3	5	5	8	8	-505	""	""
"8"	8	340	7	77	4	1	1	1	4	2	3	5	-445	""	""
"9"	9	175	4	133	4	0	1	2	1	3	13	14	-350	""	""
"10"	10	239	10	132	5	1	1	0	1	1	8	3	-401	""	""
"11"	11	117	1	117	12	4	3	2	6	4	7	15	-288	""	""
"12"	12	209	8	70	5	9	5	2	4	4	18	15	-349	""	""
"13"	13	181	14	38	8	2	1	1	1	3	11	38	-298	""	""
"14"	14	186	4	25	67	2	4	3	15	5	18	18	-347	""	""
"15"	15	136	7	115	32	9	6	6	11	9	20	14	-365	""	""
"16"	16	206	7	63	56	4	4	4	6	5	20	19	-394	""	""
"17"	17	233	9	52	27	1	1	0	4	3	6	7	-343	""	""
"18"	18	212	5	90	2	0	4	2	2	1	0	8	-326	""	""
"19"	19	423	8	23	13	1	1	1	4	4	10	13	-501	""	""
"20"	20	476	6	66	3	0	0	1	1	0	1	4	-558	""	""
"21"	21	279	3	24	2	2	0	0	0	0	4	1	-315	""	""
"22"	22	252	2	12	8	0	1	0	1	0	1	3	-280	""	""
"23"	23	57	3	109	21	4	0	3	0	0	1	3	-201	""	""
"24"	24	139	3	116	23	4	0	1	2	2	8	4	-302	""	""
"25"	25	361	12	196	36	4	7	4	16	9	21	23	-689	""	""
"26"	26	109	6	338	24	4	3	3	6	5	17	42	-557	""	""
"27"	27	114	4	272	11	7	1	2	8	9	7	13	-448	""	""
"28"	28	264	8	72	11	1	1	1	2	4	19	15	-398	""	""
"29"	29	144	1	79	6	0	1	3	2	2	0	9	-247	""	""
"30"	30	315	6	64	5	3	1	3	4	3	6	7	-417	""	""
"31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"32"	31	72	24	455	16	3	6	5	12	8	13	28	-642	""	""
"33"	32	50	7	485	28	10	5	3	6	13	9	33	-649	""	""
"34"	33	148	9	395	10	9	3	2	5	11	8	10	-610	""	""
"35"	34	202	20	317	15	15	13	7	12	5	24	20	-650	""	""
"36"	35	67	3	165	16	2	0	1	0	3	3	6	-266	""	""
"37"	36	200	9	247	105	11	7	6	11	18	10	17	-641	""	""
"38"	37	208	12	240	59	6	2	4	7	5	7	14	-564	""	""
"39"	38	303	5	142	53	5	3	0	5	3	16	14	-549	""	""
"40"	39	144	7	65	6	0	0	0	0	0	1	2	-225	""	""
"41"	40	209	6	122	4	2	5	3	1	3	2	6	-363	""	""
"42"	41	192	1	20	25	2	0	0	0	0	2	6	-248	""	""
"43"	42	124	11	138	13	2	5	4	10	6	14	15	-342	""	""
"44"	43	304	10	182	34	7	2	7	33	6	3	8	-596	""	""
"45"	44	230	9	235	13	2	4	4	21	12	12	14	-556	""	""
"46"	45	56	3	215	6	2	0	0	0	0	3	4	-289	""	""
"47"	46	356	13	62	4	5	2	2	9	7	6	9	-475	""	""
"48"	47	336	4	161	12	0	1	0	6	1	9	6	-536	""	""
"49"	48	258	6	39	17	3	2	3	3	5	6	3	-345	""	""
"50"	49	133	10	44	29	4	4	5	9	4	8	16	-266	""	""
"51"	50	386	6	40	12	0	2	1	1	2	3	4	-457	""	""
"52"	51	284	28	80	11	1	1	1	8	5	3	5	-427	""	""
"53"	52	228	3	65	10	2	1	1	6	5	10	18	-349	""	""
"54"	53	138	8	251	4	3	0	1	2	2	1	7	-417	""	""
"55"	54	93	9	201	15	7	1	4	3	4	8	10	-355	""	""
"56"	55	754	6	8	3	3	4	1	1	3	3	16	-802	""	""
"57"	56	350	6	19	5	3	0	0	8	3	3	12	-409	""	""
"58"	57	356	7	86	1	0	1	2	3	0	4	8	-468	""	""
"59"	58	354	6	98	11	4	1	1	3	2	9	8	-497	""	""
"60"	59	127	3	142	6	1	2	1	0	0	5	2	-289	""	""
"61"	60	238	2	135	2	0	0	0	1	0	0	0	-378	""	""
"62"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"63"	61	253	3	74	4	0	0	1	6	3	10	61	-415	""	""
"64"	62	419	7	82	41	2	0	2	2	6	2	1	-564	""	""
"65"	63	398	11	176	24	9	5	3	3	2	6	13	-650	""	""
"66"	64	346	8	50	9	2	0	4	4	3	10	10	-446	""	""
"67"	65	268	5	45	6	3	3	2	4	3	13	15	-367	""	""
"68"	66	407	11	161	13	0	4	3	4	7	9	11	-630	""	""
"69"	67	188	9	110	16	2	0	1	8	3	10	10	-357	""	""
"70"	68	273	4	68	31	2	0	0	1	1	4	6	-390	""	""
"71"	69	419	11	103	42	1	2	0	0	1	2	1	-582	""	""
"72"	70	239	7	41	5	0	1	0	0	2	1	4	-300	""	""
"73"	71	184	7	166	23	6	1	0	4	5	3	22	-421	""	""
"74"	72	236	18	285	16	4	0	1	5	2	6	9	-582	""	""
"75"	73	263	13	182	13	8	3	3	1	2	4	13	-505	""	""
"76"	74	274	5	129	10	78	4	0	6	4	8	7	-525	""	""
"77"	75	164	11	110	8	2	0	1	2	0	4	12	-314	""	""
"78"	76	337	13	54	5	1	1	0	1	2	2	9	-425	""	""
"79"	77	413	4	23	2	1	1	0	3	1	4	7	-459	""	""
"80"	78	445	1	78	14	1	0	0	11	1	5	0	-556	""	""
"81"	79	409	4	127	2	0	1	0	4	2	3	13	-565	""	""
"82"	80	320	14	33	10	5	4	4	8	6	24	40	-468	""	""
"83"	81	391	8	94	14	2	0	1	26	3	20	4	-563	""	""
"84"	82	299	10	131	19	6	2	1	4	4	13	38	-527	""	""
"85"	83	257	3	64	5	3	2	2	4	4	4	5	-353	""	""
"86"	84	165	4	128	26	0	0	1	1	0	0	4	-329	""	""
"87"	85	367	10	68	13	2	2	0	7	6	9	29	-513	""	""
"88"	86	337	12	132	14	5	4	6	8	9	28	8	-563	""	""
"89"	87	192	11	211	12	2	2	2	4	1	4	4	-445	""	""
"90"	88	304	4	38	22	1	1	0	2	3	5	6	-386	""	""
"91"	89	293	1	19	5	0	0	0	2	0	1	4	-325	""	""
"92"	90	404	2	18	1	0	1	0	2	0	0	1	-429	""	""
"93"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"94"	91	492	3	22	0	0	2	1	0	1	2	1	-524	""	""
"95"	92	409	15	232	12	1	3	1	2	5	9	9	-698	""	""
"96"	93	322	4	74	8	1	2	1	1	3	3	2	-421	""	""
"97"	94	191	2	207	4	0	0	1	1	1	2	0	-409	""	""
"98"	95	201	12	129	5	3	3	2	13	8	15	25	-416	""	""
"99"	96	243	7	31	13	2	0	1	3	4	11	16	-331	""	""
"100"	97	69	5	127	6	4	2	1	3	2	0	5	-224	""	""
"101"	98	369	3	114	2	0	1	0	1	0	2	3	-495	""	""
"102"	99	715	9	66	6	1	0	1	39	1	7	5	-850	""	""
"103"	100	263	46	114	3	0	1	0	0	0	1	2	-430	""	""
"104"	101	264	6	91	10	0	1	2	8	3	6	8	-399	""	""
"105"	102	347	8	99	5	1	4	0	3	6	10	3	-486	""	""
"106"	103	219	6	168	18	3	4	8	12	6	13	9	-466	""	""
"107"	104	154	9	128	20	0	3	2	4	8	8	4	-340	""	""
"108"	105	20	5	202	10	3	3	2	2	0	3	4	-254	""	""
"109"	106	291	20	226	3	3	1	0	2	0	5	8	-559	""	""
"110"	107	396	3	41	5	0	0	0	2	1	1	1	-450	""	""
"111"	108	221	10	101	10	3	3	1	2	6	13	34	-404	""	""
