"Serial.No.of.Polling.Station."	"Dilip.Kumar.Raj.Kushwaha"	"Ramnath.Thakur"	"Shahid.Ahmed"	"Arun.Kumar.Singh"	"Asha.Devi"	"Umesh.Kumar"	"Asho.k.Singh"	"Umes.h.Mahto"	"Naresh.Paswan"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"1"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"2"	"1"	"8"	"250"	"24"	"5"	"1"	"3"	"0"	"0"	"1"	"292"	""	"292"	""
"3"	"2"	"36"	"48"	"229"	"16"	"4"	"9"	"6"	"2"	"10"	"360"	""	"360"	""
"4"	"3"	"23"	"284"	"179"	"114"	"11"	"59"	"10"	"7"	"12"	"699"	""	"699"	""
"5"	"4"	"12"	"219"	"86"	"52"	"5"	"9"	"12"	"5"	"13"	"413"	""	"413"	""
"6"	"5"	"26"	"156"	"67"	"30"	"4"	"8"	"4"	"5"	"5"	"305"	""	"305"	""
"7"	"6"	"27"	"180"	"28"	"190"	"9"	"14"	"8"	"11"	"12"	"479"	""	"479"	""
"8"	"7"	"25"	"213"	"34"	"83"	"4"	"5"	"8"	"12"	"8"	"392"	""	"392"	""
"9"	"8"	"14"	"100"	"115"	"17"	"6"	"8"	"5"	"3"	"8"	"276"	""	"276"	""
"10"	"9"	"11"	"241"	"9"	"47"	"2"	"20"	"3"	"1"	"2"	"336"	""	"336"	""
"11"	"10"	"5"	"425"	"71"	"10"	"3"	"5"	"5"	"10"	"9"	"543"	""	"543"	""
"12"	"11"	"17"	"133"	"143"	"17"	"2"	"17"	"5"	"5"	"6"	"345"	""	"345"	""
"13"	"12"	"0"	"153"	"6"	"10"	"0"	"0"	"0"	"0"	"1"	"170"	""	"170"	""
"14"	"13"	"19"	"179"	"117"	"49"	"4"	"7"	"4"	"6"	"6"	"391"	""	"391"	""
"15"	"14"	"83"	"343"	"106"	"21"	"13"	"8"	"4"	"7"	"17"	"602"	""	"602"	""
"16"	"Page Total"	"306"	"2924"	"1214"	"661"	"68"	"172"	"74"	"74"	"110"	"5603"	"0"	"5603"	"0"
"17"	"B.F."	"306"	"2924"	"1214"	"661"	"68"	"172"	"74"	"74"	"110"	"5603"	"0"	"5603"	"0"
"18"	"15"	"6"	"283"	"63"	"17"	"4"	"8"	"6"	"3"	"2"	"392"	""	"392"	""
"19"	"16"	"17"	"359"	"23"	"60"	"5"	"4"	"12"	"13"	"12"	"505"	""	"505"	""
"20"	"17"	"26"	"430"	"97"	"135"	"8"	"17"	"15"	"8"	"11"	"747"	""	"747"	""
"21"	"18"	"13"	"176"	"184"	"19"	"8"	"3"	"2"	"3"	"3"	"411"	""	"411"	""
"22"	"19"	"4"	"444"	"23"	"11"	"0"	"4"	"2"	"0"	"3"	"491"	""	"491"	""
"23"	"20"	"12"	"207"	"39"	"70"	"2"	"5"	"5"	"3"	"1"	"344"	""	"344"	""
"24"	"21"	"4"	"340"	"48"	"26"	"1"	"3"	"4"	"3"	"9"	"438"	""	"438"	""
"25"	"22"	"29"	"341"	"133"	"77"	"5"	"7"	"14"	"10"	"9"	"625"	""	"625"	""
"26"	"23"	"34"	"300"	"153"	"52"	"4"	"6"	"15"	"9"	"17"	"590"	""	"590"	""
"27"	"24"	"11"	"632"	"52"	"15"	"3"	"6"	"4"	"7"	"10"	"740"	""	"740"	""
"28"	"25"	"23"	"469"	"101"	"59"	"5"	"4"	"7"	"7"	"6"	"681"	""	"681"	""
"29"	"26"	"6"	"48"	"289"	"130"	"12"	"10"	"10"	"14"	"12"	"531"	""	"531"	""
"30"	"Serial No.of Polling Station*"	"Dilip Kumar Raj Kushwaha"	"Ramnath Thakur"	"Shahid Ahmed"	"Arun Kumar Singh"	"Asha Devi"	"Umesh Kumar"	"Asho k Singh"	"Umes h Mahto"	"Naresh Paswan"	"Total of valid Votes"	"No.of rejected votes"	"Total"	"No.of Tendered Votes"
"31"	""	"A"	"B"	"C"	"D"	"E"	"F"	"G"	"H"	"I"	""	""	""	""
"32"	"27"	"7"	"22"	"292"	"16"	"1"	"3"	"1"	"2"	"3"	"347"	""	"347"	""
"33"	"28"	"9"	"42"	"426"	"49"	"4"	"3"	"5"	"2"	"7"	"547"	""	"547"	""
"34"	"Page Total"	"507"	"7017"	"3137"	"1397"	"130"	"255"	"176"	"158"	"215"	"12992"	"0"	"12992"	"0"
"35"	"B.F."	"507"	"7017"	"3137"	"1397"	"130"	"255"	"176"	"158"	"215"	"12992"	"0"	"12992"	"0"
"36"	"29"	"15"	"29"	"278"	"59"	"4"	"6"	"5"	"10"	"19"	"425"	""	"425"	""
