"ROUND...1...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"1"	"ANNEXURE - XL"	""	""	""	""	""	""	""
"2"	"[Para 22 ® Chapter - XIV-A]"	""	""	""	""	""	""	""
"3"	"FORM - 20"	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""
"5"	"[See Rule 56 A (7)]"	""	""	""	""	""	""	""
"6"	"Election to the Legislative Assembly from the 124 - RUPOULI Assembly Constituency"	""	""	""	""	""	""	""
"7"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""
"8"	"Candidate Details                                                 Votes Polled in AC"	""	""	""	""	""	""	""
"9"	"Sl."	""	""	""	""	""	""	""
"10"	"No                 Name                                             Party Abbre."	""	""	""	""	""	""	""
"11"	"Tot Gen"	""	""	""	""	""	""	""
"12"	"Votes."	""	""	""	""	""	""	""
"13"	"Postal"	""	""	""	""	""	""	""
"14"	"Votes"	""	""	""	""	""	""	""
"15"	"Total"	""	""	""	""	""	""	""
"16"	"Votes"	""	""	""	""	""	""	""
"17"	"1"	"JAINENDRA KUMAR"	"Bahujan Samaj Party"	""	""	"92"	"0"	"92"
"18"	"2"	"PARMANAND SINGH"	"Janata Dal (United)"	""	""	"29"	"0"	"29"
"19"	"3"	"BAL KISHOR MANDAL"	"Communist Party Of India"	""	""	"424"	"0"	"424"
"20"	"4"	"BEEMA BHARTI"	"Rashtriya Janata Dal"	""	""	"866"	"0"	"866"
"21"	"5"	"DEO NARAYAN ROY"	"Communist Party Of India (Marxist-Leninist) (Libration)"	""	""	"34"	"0"	"34"
"22"	"6"	"ROSHAN RAVI"	"Proutist Sarva Samaj Party"	""	""	"67"	"0"	"67"
"23"	"7"	"SHANKAR SINGH"	"Lok Jan Shakti Party"	""	""	"2199"	"0"	"2199"
"24"	"8"	"SHAHAB UDIN"	"Samajwadi Party"	""	""	"724"	"0"	"724"
"25"	"9"	"AJAI PRAKASH SAH"	"Independent"	""	""	"51"	"0"	"51"
"26"	"10"	"ABDHESH KUMAR GUPTA"	"Independent"	""	""	"179"	"0"	"179"
"27"	"11"	"ASHOK KUMAR"	"Independent"	""	""	"45"	"0"	"45"
"28"	"12"	"KUMAR NARENDRA SINGH"	"Independent"	""	""	"109"	"0"	"109"
"29"	"13"	"CHATURI RISHI"	"Independent"	""	""	"71"	"0"	"71"
"30"	"14"	"CHHABIYA DEVI"	"Independent"	""	""	"84"	"0"	"84"
"31"	"15"	"JAY KRISHNA MANDAL"	"Independent"	""	""	"252"	"0"	"252"
"32"	"16"	"DEEP NARAYAN SINGH"	"Independent"	""	""	"157"	"0"	"157"
"33"	"17"	"BHUDEV MANDAL"	"Independent"	""	""	"66"	"0"	"66"
"34"	"18"	"MAST RAJ JAISWAL"	"Independent"	""	""	"33"	"0"	"33"
"35"	"19"	"SHIV NAND THAKUR"	"Independent"	""	""	"49"	"0"	"49"
"36"	"Place -"	""	""	""	""	""	""	""
"37"	"Date  -"	""	""	""	""	""	""	""
"38"	"Returning Officer"	""	""	""	""	""	""	""
"39"	"124 - Rupouli Assembly Constituency"	""	""	""	""	""	""	""
"40"	"ERROR: typecheck OFFENDING COMMAND: if"	""	""	""	""	""	""	""
"41"	"STACK:"	""	""	""	""	""	""	""
"42"	"/colspABC"	""	""	""	""	""	""	""
"43"	"/DeviceGray"	""	""	""	""	""	""	""
