"Sl.No.of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"Total.of.valid.votes"	"No.of.Rejected.votes"	"Total"	"No.of.Tendered.votes"
"1"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"3"	"1"	"196"	"164"	"30"	"6"	"95"	"5"	"2"	"3"	"2"	"3"	"13"	"519"	"0"	"519"	"0"
"4"	"2"	"9"	"185"	"111"	"2"	"12"	"0"	"2"	"0"	"0"	"4"	"3"	"328"	"0"	"328"	"0"
"5"	"3"	"71"	"337"	"89"	"9"	"198"	"5"	"8"	"6"	"5"	"17"	"17"	"762"	"0"	"762"	"0"
"6"	"4"	"44"	"306"	"62"	"5"	"82"	"7"	"7"	"2"	"6"	"14"	"15"	"550"	"0"	"550"	"0"
"7"	"5"	"29"	"204"	"67"	"7"	"235"	"15"	"11"	"8"	"8"	"8"	"12"	"604"	"0"	"604"	"0"
"8"	"6"	"35"	"130"	"208"	"14"	"83"	"6"	"2"	"4"	"1"	"9"	"5"	"497"	"0"	"497"	"0"
"9"	"7"	"10"	"132"	"259"	"14"	"95"	"7"	"9"	"4"	"5"	"5"	"2"	"542"	"0"	"542"	"0"
"10"	"8"	"91"	"457"	"187"	"11"	"40"	"5"	"4"	"3"	"7"	"9"	"19"	"833"	"0"	"833"	"0"
"11"	"9"	"128"	"124"	"153"	"6"	"32"	"1"	"5"	"2"	"2"	"2"	"10"	"465"	"0"	"465"	"0"
"12"	"10"	"117"	"368"	"110"	"5"	"80"	"5"	"5"	"3"	"12"	"11"	"15"	"731"	"0"	"731"	"0"
"13"	"11"	"46"	"132"	"154"	"13"	"104"	"3"	"10"	"10"	"5"	"8"	"18"	"503"	"0"	"503"	"0"
"14"	"12"	"13"	"111"	"148"	"10"	"138"	"8"	"6"	"1"	"7"	"13"	"19"	"474"	"0"	"474"	"0"
"15"	"13"	"41"	"101"	"122"	"10"	"271"	"12"	"7"	"13"	"4"	"8"	"12"	"601"	"0"	"601"	"0"
"16"	"14"	"15"	"81"	"49"	"10"	"211"	"6"	"5"	"5"	"1"	"0"	"1"	"384"	"0"	"384"	"0"
"17"	"Total"	"845"	"2832"	"1749"	"122"	"1676"	"85"	"83"	"64"	"65"	"111"	"161"	"7793"	"0"	"7793"	"0"
"18"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"19"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"20"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"21"	"15"	"44"	"78"	"202"	"16"	"159"	"16"	"4"	"3"	"10"	"7"	"15"	"554"	"0"	"554"	"0"
"22"	"16"	"87"	"79"	"127"	"10"	"200"	"11"	"17"	"12"	"7"	"7"	"6"	"563"	"0"	"563"	"0"
"23"	"17"	"51"	"121"	"110"	"21"	"185"	"16"	"7"	"16"	"6"	"11"	"38"	"582"	"0"	"582"	"0"
"24"	"18"	"109"	"123"	"194"	"8"	"73"	"5"	"8"	"18"	"7"	"9"	"17"	"571"	"0"	"571"	"0"
"25"	"19"	"101"	"72"	"91"	"10"	"271"	"17"	"24"	"13"	"12"	"17"	"38"	"666"	"0"	"666"	"0"
"26"	"20"	"64"	"96"	"34"	"5"	"115"	"18"	"3"	"6"	"3"	"47"	"18"	"409"	"0"	"409"	"0"
"27"	"21"	"47"	"177"	"97"	"8"	"114"	"4"	"7"	"6"	"10"	"19"	"22"	"511"	"0"	"511"	"0"
"28"	"22"	"19"	"143"	"186"	"9"	"25"	"8"	"5"	"5"	"8"	"5"	"16"	"429"	"0"	"429"	"0"
"29"	"23"	"72"	"331"	"101"	"11"	"59"	"8"	"5"	"4"	"3"	"7"	"17"	"618"	"0"	"618"	"0"
"30"	"24"	"6"	"154"	"235"	"15"	"14"	"1"	"4"	"6"	"11"	"7"	"18"	"471"	"0"	"471"	"0"
"31"	"25"	"12"	"151"	"232"	"5"	"14"	"1"	"0"	"0"	"6"	"1"	"5"	"427"	"0"	"427"	"0"
"32"	"26"	"31"	"395"	"13"	"6"	"87"	"6"	"5"	"34"	"0"	"10"	"9"	"596"	"0"	"596"	"0"
"33"	"27"	"108"	"202"	"131"	"13"	"149"	"3"	"4"	"14"	"10"	"25"	"15"	"674"	"0"	"674"	"0"
"34"	"28"	"115"	"273"	"84"	"13"	"66"	"4"	"4"	"9"	"5"	"18"	"33"	"624"	"0"	"624"	"0"
"35"	"Total"	"866"	"2395"	"1837"	"150"	"1531"	"118"	"97"	"146"	"98"	"190"	"267"	"7695"	"0"	"7695"	"0"
"36"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"37"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"38"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"39"	"29"	"119"	"348"	"49"	"17"	"105"	"5"	"7"	"8"	"16"	"15"	"20"	"709"	"0"	"709"	"0"
"40"	"30"	"33"	"316"	"49"	"5"	"126"	"3"	"3"	"3"	"0"	"6"	"10"	"554"	"0"	"554"	"0"
"41"	"31"	"11"	"129"	"91"	"8"	"131"	"9"	"5"	"7"	"4"	"10"	"8"	"413"	"0"	"413"	"0"
"42"	"32"	"34"	"60"	"187"	"10"	"39"	"6"	"3"	"0"	"1"	"2"	"1"	"343"	"0"	"343"	"0"
"43"	"33"	"18"	"202"	"172"	"4"	"45"	"5"	"9"	"3"	"37"	"4"	"13"	"512"	"0"	"512"	"0"
"44"	"34"	"24"	"179"	"79"	"10"	"148"	"17"	"38"	"8"	"37"	"16"	"12"	"568"	"0"	"568"	"0"
"45"	"35"	"30"	"237"	"203"	"14"	"76"	"15"	"8"	"4"	"4"	"4"	"13"	"608"	"0"	"608"	"0"
"46"	"36"	"14"	"65"	"65"	"14"	"198"	"25"	"14"	"1"	"3"	"3"	"8"	"410"	"0"	"410"	"0"
"47"	"37"	"35"	"81"	"89"	"7"	"184"	"22"	"11"	"2"	"1"	"4"	"6"	"442"	"0"	"442"	"0"
"48"	"38"	"20"	"285"	"77"	"11"	"123"	"8"	"11"	"10"	"12"	"8"	"25"	"590"	"0"	"590"	"0"
"49"	"39"	"51"	"396"	"115"	"12"	"62"	"5"	"7"	"13"	"6"	"6"	"5"	"678"	"0"	"678"	"0"
"50"	"40"	"79"	"157"	"297"	"24"	"41"	"6"	"2"	"19"	"10"	"7"	"20"	"662"	"0"	"662"	"0"
"51"	"41"	"85"	"140"	"98"	"3"	"28"	"0"	"1"	"7"	"2"	"3"	"5"	"372"	"0"	"372"	"0"
"52"	"42"	"48"	"331"	"114"	"11"	"170"	"6"	"3"	"21"	"5"	"3"	"14"	"726"	"0"	"726"	"0"
"53"	"Total"	"601"	"2926"	"1685"	"150"	"1476"	"132"	"122"	"106"	"138"	"91"	"160"	"7587"	"0"	"7587"	"0"
"54"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"55"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"56"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"57"	"43"	"73"	"168"	"88"	"9"	"82"	"6"	"1"	"3"	"4"	"6"	"10"	"450"	"0"	"450"	"0"
"58"	"44"	"67"	"131"	"80"	"10"	"110"	"66"	"7"	"6"	"3"	"1"	"10"	"491"	"0"	"491"	"0"
"59"	"45"	"60"	"205"	"184"	"15"	"49"	"4"	"3"	"19"	"7"	"9"	"19"	"574"	"0"	"574"	"0"
"60"	"46"	"41"	"63"	"42"	"276"	"114"	"8"	"15"	"10"	"10"	"11"	"25"	"615"	"0"	"615"	"0"
"61"	"47"	"9"	"25"	"43"	"206"	"89"	"9"	"9"	"10"	"6"	"11"	"16"	"433"	"0"	"433"	"0"
"62"	"48"	"13"	"33"	"77"	"84"	"143"	"7"	"3"	"2"	"1"	"5"	"6"	"374"	"0"	"374"	"0"
"63"	"49"	"24"	"60"	"98"	"44"	"283"	"46"	"13"	"7"	"9"	"0"	"0"	"584"	"0"	"584"	"0"
"64"	"50"	"7"	"104"	"82"	"14"	"52"	"4"	"1"	"4"	"0"	"3"	"4"	"275"	"0"	"275"	"0"
"65"	"51"	"33"	"297"	"239"	"4"	"39"	"70"	"8"	"7"	"6"	"10"	"9"	"722"	"0"	"722"	"0"
"66"	"52"	"15"	"209"	"153"	"11"	"92"	"23"	"10"	"4"	"5"	"8"	"14"	"544"	"0"	"544"	"0"
"67"	"53"	"30"	"201"	"240"	"20"	"68"	"14"	"5"	"7"	"11"	"14"	"11"	"621"	"0"	"621"	"0"
"68"	"54"	"29"	"254"	"311"	"16"	"75"	"13"	"7"	"10"	"11"	"5"	"9"	"740"	"0"	"740"	"0"
"69"	"55"	"8"	"105"	"366"	"9"	"93"	"4"	"4"	"3"	"1"	"3"	"2"	"598"	"0"	"598"	"0"
"70"	"56"	"7"	"140"	"400"	"4"	"7"	"1"	"4"	"8"	"8"	"6"	"7"	"592"	"0"	"592"	"0"
"71"	"Total"	"416"	"1995"	"2403"	"722"	"1296"	"275"	"90"	"100"	"82"	"92"	"142"	"7613"	"0"	"7613"	"0"
"72"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"73"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"74"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"75"	"57"	"19"	"111"	"354"	"10"	"10"	"0"	"2"	"2"	"3"	"1"	"4"	"516"	"0"	"516"	"0"
"76"	"58"	"22"	"150"	"232"	"14"	"64"	"4"	"7"	"9"	"3"	"7"	"3"	"515"	"0"	"515"	"0"
"77"	"59"	"22"	"55"	"379"	"21"	"55"	"5"	"11"	"3"	"6"	"13"	"14"	"584"	"0"	"584"	"0"
"78"	"60"	"23"	"78"	"95"	"12"	"154"	"18"	"11"	"6"	"9"	"7"	"9"	"422"	"0"	"422"	"0"
"79"	"61"	"9"	"18"	"62"	"2"	"437"	"8"	"8"	"6"	"3"	"1"	"9"	"563"	"0"	"563"	"0"
"80"	"62"	"11"	"47"	"305"	"13"	"85"	"6"	"8"	"2"	"7"	"5"	"8"	"497"	"0"	"497"	"0"
"81"	"63"	"28"	"266"	"175"	"7"	"19"	"3"	"2"	"4"	"7"	"9"	"8"	"528"	"0"	"528"	"0"
"82"	"64"	"17"	"122"	"250"	"9"	"9"	"5"	"2"	"3"	"5"	"12"	"10"	"444"	"0"	"444"	"0"
"83"	"65"	"26"	"426"	"70"	"18"	"52"	"2"	"4"	"3"	"1"	"5"	"5"	"612"	"0"	"612"	"0"
"84"	"66"	"35"	"221"	"162"	"14"	"77"	"6"	"9"	"6"	"3"	"7"	"2"	"542"	"0"	"542"	"0"
"85"	"67"	"29"	"99"	"32"	"11"	"170"	"33"	"19"	"11"	"7"	"14"	"21"	"446"	"0"	"446"	"0"
"86"	"68"	"58"	"184"	"17"	"5"	"240"	"13"	"14"	"10"	"9"	"11"	"16"	"577"	"0"	"577"	"0"
"87"	"69"	"15"	"235"	"43"	"12"	"193"	"41"	"10"	"16"	"6"	"14"	"19"	"604"	"0"	"604"	"0"
"88"	"70"	"27"	"161"	"104"	"5"	"151"	"56"	"4"	"5"	"5"	"7"	"10"	"535"	"0"	"535"	"0"
"89"	"Total"	"341"	"2173"	"2280"	"153"	"1716"	"200"	"111"	"86"	"74"	"113"	"138"	"7385"	"0"	"7385"	"0"
"90"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No of Rejected votes"	"Total"	"No.of
Tendered votes"
"91"	""	"Rajendra Paswan"	"Ram Binod Paswan"	"Ramanan d Ram"	"Shiv Narayan Ram"	"Dhirendra Kumar"	"Nand Kishor Sada"	"Paltan Sada"	"Raja Ram Arya"	"Arun Paswan"	"Upendra Paswan"	"Ram Shankar Paswan"	""	""	""	""
"92"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"93"	"71"	"30"	"390"	"45"	"10"	"215"	"44"	"12"	"3"	"11"	"3"	"7"	"770"	"0"	"770"	"0"
"94"	"72"	"267"	"70"	"163"	"8"	"25"	"2"	"1"	"2"	"2"	"3"	"9"	"552"	"0"	"552"	"0"
"95"	"73"	"19"	"51"	"269"	"19"	"80"	"32"	"7"	"11"	"5"	"3"	"13"	"509"	"0"	"509"	"0"
"96"	"74"	"38"	"196"	"72"	"16"	"95"	"311"	"7"	"11"	"6"	"6"	"1"	"759"	"0"	"759"	"0"
"97"	"75"	"31"	"324"	"222"	"14"	"78"	"3"	"7"	"8"	"2"	"4"	"12"	"705"	"0"	"705"	"0"
"98"	"76"	"34"	"304"	"15"	"4"	"44"	"50"	"3"	"3"	"0"	"0"	"6"	"463"	"0"	"463"	"0"
"99"	"77"	"65"	"388"	"20"	"10"	"44"	"97"	"8"	"8"	"7"	"19"	"14"	"680"	"0"	"680"	"0"
"100"	"78"	"177"	"383"	"63"	"8"	"33"	"43"	"4"	"6"	"6"	"8"	"5"	"736"	"0"	"736"	"0"
"101"	"79"	"40"	"283"	"57"	"8"	"41"	"6"	"4"	"6"	"4"	"0"	"8"	"457"	"0"	"457"	"0"
