"ANNEURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"(CHAPTER XIV, PARA 26.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Final Result Sheet [SEE RULE 56C(2)( C )]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of Electors in Assembly Constituency / Segment     :-  235482"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Name of the Assembly Segment               :-   197  BARAHARA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(In the case of election from a Assembly Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial"	"Name of Polling Stations"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total"	"No. of"	"Total"	"No. of"
"10"	"No. of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	"rejecte d votes"	""	"tendered votes"
"11"	""	""	"ASHA DEVI"	"KAMESH WAR SINGH"	"RAGHVEN DRA PRATAP"	"RANA RANJIT SINGH"	"RAMADH AR SINGH"	"LETAPHAT HUSEN"	"SARYAU YADAV"	"KAMLES H KUMAR SINGH"	"NIRMAL SINGH"	"PASUPATI SINGH"	"RAJ NARAYA N SINGH"	"RAM SAKAL SINGH"	"VIJAY KUMAR SINGH"	"VIJAY NAND KUMAR"	"DR. SIYAMA TI ROY"	"HAKIM PRASAD"	""	""	""	""
"12"	""	""	""	""	"SINGH"	""	""	""	""	""	""	""	""	"YADAV"	""	"RAM"	""	""	""	""	""	""
"13"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"
