"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"1"	""	"Mk0  vCnqy  xQqj"	"xqats'oj  lkg"	""	"iz.ko  dqekj  nkl"	"vdhy  vgen"	"y{eh ukjk;.k >k"	"dkS'kY;k nsoh"	"xaxk jke  lknk"	"nsosUnz  esgrk"	"eks0  eghmnhu"	"'kf'k Hkw\"k.k"	"lq[knso  eqf[k;k"	"lqjsUnz  ;kno"	"dqy  fof/kekU;  er"	""	""	""
"2"	"ROUND- I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"52"	"125"	""	"3"	"21"	"1"	"1"	"70"	"4"	"4"	"4"	"7"	"26"	"318"	""	""	"318"
"4"	"2"	"60"	"174"	""	"9"	"6"	"2"	"7"	"5"	"11"	"13"	"6"	"15"	"160"	"468"	""	""	"468"
"5"	"3"	"31"	"218"	""	"0"	"4"	"0"	"6"	"0"	"1"	"5"	"1"	"0"	"48"	"314"	""	""	"314"
"6"	"4"	"11"	"53"	""	"0"	"12"	"0"	"0"	"1"	"0"	"1"	"6"	"4"	"227"	"315"	""	""	"315"
"7"	"5"	"101"	"44"	""	"4"	"11"	"3"	"6"	"38"	"1"	"6"	"2"	"7"	"217"	"440"	""	""	"440"
"8"	"6"	"273"	"236"	""	"7"	"24"	"6"	"7"	"4"	"7"	"16"	"9"	"12"	"74"	"675"	""	""	"675"
"9"	"7"	"87"	"11"	""	"1"	"1"	"0"	"0"	"1"	"2"	"1"	"1"	"3"	"190"	"298"	""	""	"298"
"10"	"8"	"74"	"21"	""	"0"	"5"	"1"	"2"	"3"	"1"	"5"	"0"	"8"	"354"	"474"	""	""	"474"
"11"	"9"	"141"	"158"	""	"3"	"8"	"1"	"3"	"19"	"5"	"19"	"4"	"17"	"247"	"625"	""	""	"625"
"12"	"10"	"101"	"76"	""	"1"	"3"	"2"	"6"	"5"	"4"	"6"	"4"	"8"	"224"	"440"	""	""	"440"
"13"	"11"	"129"	"5"	""	"2"	"1"	"1"	"0"	"36"	"4"	"1"	"2"	"11"	"272"	"464"	""	""	"464"
