"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"FINAL RESULT SHEET [SEE RULE 56(2) ( C ) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 29 PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"To be used both for Parliamentary and Assembly Election"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of Electors in Assembly Constituency/Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"161-TARAPUR (VOTERS)"	""	""	"GENERAL VOTERS"	""	""	""	""	"SERVICE VOTERS"	""	""	""	""	"TOTAL"	""	"ROUND 1"	""	""	"DATE-27/02/2005"	""	""	""	""	""
"6"	""	""	""	"MEN    WOMEN 103710         88503"	""	""	"TOTAL 192213"	""	"MEN           WOMEN
36                      13"	""	""	"TOTAL
49"	""	"192262"	""	""	""	""	""	""	""	""	""	""
"7"	"Name of Assembly Segment:- 161-TARAPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"(in the case of Election form a Parlementary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"SL NO
OF POLLIN G ST."	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NO.OF REJ. VOTES"	"TOTAL"	"NO. OF TEDR VOTES"	""
"10"	""	"RAJEEV
KUMAR SINGH"	"SHAKUNI CHOUDHARY"	"SANJAY
KUMAR SINGH"	"PRIYAM DEVI"	"RITA DEVI"	""	"MD. RUSTAM"	""	"ANIL KUMAR SINGH"	"BADRINATH PANJIYARA"	""	"BHARAT MANDAL"	""	"MAHENDRA PD. CHOUDHARY"	""	"SHASHIKANT YADAV"	"SANJAY KUMAR"	""	"TOTAL OF VALID VOTES"	""	""	""	""
"11"	"1"	"2"	"3"	"4"	"5"	"6"	""	"7"	""	"8"	"9"	""	"10"	""	"11"	""	"12"	"13"	""	"14"	"15"	"16"	"17"	""
"12"	"1"	"111"	"74"	"5"	"3"	"1"	""	"158"	""	"6"	"6"	""	"2"	""	"5"	""	"2"	"45"	""	"418"	""	"418"	""	""
"13"	"2"	"90"	"74"	"9"	"0"	"1"	""	"2"	""	"2"	"0"	""	"1"	""	"1"	""	"2"	"12"	""	"194"	""	"194"	""	""
"14"	"3"	"216"	"137"	"6"	"1"	"2"	""	"0"	""	"3"	"3"	""	"1"	""	"2"	""	"3"	"25"	""	"399"	""	"399"	""	""
"15"	"4"	"28"	"26"	"1"	"1"	"1"	""	"6"	""	"12"	"0"	""	"2"	""	"2"	""	"7"	"530"	""	"616"	""	"616"	""	""
