"izi..20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"1"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"5"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"6"	"1"	"176"	"29"	"5"	"59"	"42"	"4"	"5"	"3"	"6"	"23"	"352"	""
"7"	"2"	"78"	"65"	"8"	"2"	"23"	"5"	"8"	"6"	"13"	"71"	"279"	""
"8"	"3"	"248"	"114"	"8"	"12"	"23"	"3"	"2"	"2"	"3"	"12"	"427"	""
"9"	"4"	"163"	"43"	"4"	"3"	"5"	"3"	"1"	"2"	"4"	"54"	"282"	""
"10"	"5"	"252"	"111"	"21"	"21"	"98"	"6"	"3"	"2"	"14"	"32"	"560"	""
"11"	"6"	"109"	"162"	"13"	"3"	"51"	"11"	"11"	"15"	"25"	"133"	"533"	""
"12"	"7"	"85"	"57"	"27"	"26"	"454"	"31"	"6"	"8"	"22"	"25"	"741"	""
"13"	"8"	"86"	"76"	"28"	"4"	"111"	"8"	"3"	"4"	"8"	"17"	"345"	""
"14"	"9"	"61"	"93"	"209"	"80"	"126"	"65"	"16"	"28"	"27"	"39"	"744"	""
"15"	"10"	"47"	"108"	"25"	"12"	"98"	"10"	"7"	"6"	"25"	"34"	"372"	""
"16"	"11"	"97"	"156"	"52"	"77"	"141"	"6"	"4"	"4"	"15"	"15"	"567"	""
"17"	"12"	"73"	"61"	"14"	"59"	"58"	"13"	"5"	"8"	"12"	"47"	"350"	""
"18"	"13"	"122"	"97"	"10"	"30"	"53"	"7"	"1"	"7"	"15"	"28"	"370"	""
"19"	"14"	"140"	"109"	"14"	"7"	"19"	"6"	"2"	"3"	"11"	"40"	"351"	""
"20"	";ksx"	"1737"	"1281"	"438"	"395"	"1302"	"178"	"74"	"98"	"200"	"570"	"6273"	""
"21"	"LFkku &"	""	""	""	""	""	""	""	""	""	""	""	""
"22"	""	""	""	""	""	""	""	""	""	""	""	""	""
"23"	"fnukad &"	""	"lax.kd dk gLrk{kj"	""	""	"i;Zos{kd dk gLrk{kj"	""	"lgk;d fuokZph inkf/kdkjh"	""	""	"fuokZph inkf/kdkjh dk gLrk{kj"	""	""
"24"	""	""	""	""	""	""	""	"dk gLrk{Kj"	""	""	"158 dVksfj;k fo/kku lHkk {ks="	""	""
"25"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"izi=&20"	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"x.kuk dk ifj.kke"	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"fo/kku lHkk fuokZpu & 2005"	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"158 dVksfj;k fo/kku lHkk dk fuokZpku"	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"ernku dsUnz
la[;k"	"tuknZu ;kno"	"eukst ;kno"	"lR;ukjk;.k
;kno"	"ghjkyky
eaMy"	"jktfd'kksj
izlkn mQZ iIiq
;kno"	"yqdkl lksjsu"	"misUnz izekf.kd"	"mekdkUr ;kno"	"ujs'k nkl"	"iyVu izlkn
;kno"	"erks dk ;ksx"	""
"31"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""
"32"	"15"	"217"	"67"	"3"	"3"	"5"	"1"	"2"	"0"	"1"	"12"	"311"	""
"33"	"16"	"333"	"58"	"5"	"91"	"18"	"2"	"1"	"4"	"4"	"25"	"541"	""
"34"	"17"	"108"	"174"	"7"	"25"	"20"	"1"	"3"	"1"	"9"	"17"	"365"	""
"35"	"18"	"149"	"136"	"58"	"12"	"49"	"12"	"11"	"14"	"17"	"97"	"555"	""
