"ANNEXURE.XLI"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"1"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(c)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency - 220844"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Name of the Assembly :- 101 - SINGHIA (SC)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"7"	""	""	"Dr. Ashok Kumar"	"Dasai Choudhary"	"Bhageshwar Paswan"	"Laliteshwar Paswan"	"Pratibha kumari"	"Raghunath Sada"	"Ratnesh Sada"	"Sunil Kumar Rajak"	"Ramotar Paswan"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"9"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"10"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"11"	"3"	"3"	"220"	"98"	"6"	"249"	"17"	"12"	"7"	"8"	"25"	"642"	"0"	"642"	""
"12"	"4"	"4"	"187"	"117"	"13"	"142"	"29"	"13"	"12"	"9"	"12"	"534"	"0"	"534"	""
"13"	"5"	"5"	"400"	"28"	"4"	"47"	"5"	"2"	"2"	"2"	"26"	"516"	"0"	"516"	""
"14"	"6"	"6"	"219"	"27"	"6"	"38"	"7"	"6"	"8"	"4"	"51"	"366"	"0"	"366"	""
"15"	"7"	"7"	"135"	"253"	"9"	"46"	"18"	"9"	"20"	"8"	"17"	"515"	"0"	"515"	""
"16"	"8"	"8"	"166"	"33"	"7"	"46"	"13"	"11"	"10"	"4"	"44"	"334"	"0"	"334"	""
"17"	"9"	"9"	"148"	"111"	"9"	"100"	"19"	"18"	"26"	"4"	"48"	"483"	"0"	"483"	""
"18"	"10"	"10"	"214"	"47"	"11"	"116"	"13"	"7"	"11"	"5"	"22"	"446"	"0"	"446"	""
"19"	"11"	"11"	"205"	"55"	"13"	"129"	"16"	"9"	"9"	"10"	"24"	"470"	"0"	"470"	""
"20"	"12"	"12"	"69"	"27"	"7"	"358"	"22"	"11"	"2"	"3"	"17"	"516"	"0"	"516"	""
"21"	"13"	"13"	"176"	"187"	"9"	"55"	"25"	"5"	"6"	"6"	"39"	"508"	"0"	"508"	""
"22"	"14"	"14"	"131"	"62"	"7"	"54"	"14"	"5"	"10"	"24"	"180"	"487"	"0"	"487"	""
"23"	"15"	"15"	"153"	"52"	"7"	"148"	"29"	"11"	"27"	"8"	"30"	"465"	"0"	"465"	""
"24"	"16"	"16"	"122"	"207"	"6"	"21"	"17"	"8"	"4"	"7"	"30"	"422"	"0"	"422"	""
"25"	"17"	"17"	"108"	"185"	"13"	"23"	"22"	"7"	"9"	"18"	"57"	"442"	"0"	"442"	""
"26"	"18"	"18"	"91"	"60"	"8"	"130"	"17"	"8"	"18"	"7"	"23"	"362"	"0"	"362"	""
"27"	"19"	"19"	"231"	"176"	"7"	"316"	"27"	"9"	"3"	"7"	"37"	"813"	"0"	"813"	""
"28"	"20"	"20"	"213"	"216"	"8"	"106"	"34"	"10"	"7"	"10"	"43"	"647"	"0"	"647"	""
"29"	"21"	"21"	"124"	"46"	"11"	"56"	"8"	"5"	"3"	"4"	"9"	"266"	"0"	"266"	""
"30"	"22"	"22"	"181"	"16"	"10"	"250"	"20"	"4"	"35"	"6"	"7"	"529"	"0"	"529"	""
"31"	"23"	"23"	"357"	"124"	"9"	"17"	"11"	"5"	"32"	"5"	"20"	"580"	"0"	"580"	""
"32"	"24"	"24"	"202"	"56"	"8"	"16"	"18"	"16"	"11"	"28"	"68"	"423"	"0"	"423"	""
"33"	"25"	"25"	"210"	"121"	"4"	"14"	"14"	"12"	"4"	"18"	"81"	"478"	"0"	"478"	""
"34"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"35"	""	""	"Dr. Ashok Kumar"	"Dasai Choudhary"	"Bhageshwar Paswan"	"Laliteshwar Paswan"	"Pratibha kumari"	"Raghunath Sada"	"Ratnesh Sada"	"Sunil Kumar Rajak"	"Ramotar Paswan"	""	""	""	""
"36"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"37"	"26"	"26"	"161"	"25"	"2"	"8"	"5"	"6"	"21"	"6"	"28"	"262"	"0"	"262"	""
"38"	"27"	"27"	"198"	"38"	"11"	"29"	"14"	"13"	"73"	"19"	"146"	"541"	"0"	"541"	""
"39"	"28"	"28"	"298"	"39"	"11"	"15"	"11"	"14"	"14"	"32"	"201"	"635"	"0"	"635"	""
"40"	"29"	"29"	"211"	"278"	"3"	"10"	"8"	"2"	"3"	"5"	"20"	"540"	"0"	"540"	""
"41"	"30"	"30"	"286"	"87"	"10"	"15"	"16"	"6"	"5"	"20"	"95"	"540"	"0"	"540"	""
"42"	"31"	"31"	"297"	"23"	"4"	"53"	"4"	"3"	"3"	"10"	"45"	"442"	"0"	"442"	""
"43"	"32"	"32"	"201"	"78"	"1"	"4"	"10"	"2"	"0"	"2"	"14"	"312"	"0"	"312"	""
"44"	"33"	"33"	"287"	"26"	"7"	"8"	"2"	"7"	"59"	"13"	"30"	"439"	"0"	"439"	""
"45"	"34"	"34"	"271"	"57"	"3"	"14"	"1"	"1"	"1"	"1"	"29"	"378"	"0"	"378"	""
"46"	"35"	"35"	"141"	"41"	"4"	"6"	"9"	"1"	"11"	"7"	"126"	"346"	"0"	"346"	""
"47"	"36"	"36"	"147"	"18"	"6"	"10"	"9"	"2"	"1"	"11"	"68"	"272"	"0"	"272"	""
"48"	"37"	"37"	"179"	"128"	"8"	"14"	"14"	"6"	"26"	"6"	"56"	"437"	"0"	"437"	""
"49"	"38"	"38"	"186"	"56"	"7"	"15"	"4"	"6"	"6"	"5"	"22"	"307"	"0"	"307"	""
"50"	"39"	"39"	"80"	"374"	"7"	"23"	"9"	"0"	"0"	"2"	"11"	"506"	"0"	"506"	""
"51"	"40"	"40"	"152"	"276"	"5"	"45"	"17"	"6"	"3"	"4"	"34"	"542"	"0"	"542"	""
"52"	"41"	"41"	"116"	"235"	"8"	"96"	"8"	"4"	"1"	"7"	"15"	"490"	"0"	"490"	""
"53"	"42"	"42"	"186"	"111"	"8"	"29"	"17"	"11"	"13"	"20"	"119"	"514"	"0"	"514"	""
