"Sl..Of.Polling.Station"	"Ajit.Kumar.Jha"	"Jai.Mangal.Chaudhary"	"Thakur.Ratnakar"	"Manish.Kumar.Gupta"	"Sarfuddin"	"Abdus.Salam"	"Amrendra.Kumar.Singh"	"Kishori.Paswan"	"Nabal.Kishor.Prasad.Yadav"	"Ravi.Shankar.Singh"	"Ram.Babu.Singh"	"Vinod.Kumar"	"Shambhu.Prasad.Yadav"	"Sanjay.Kumar.Gupta"	"Sanjay.Kumar.Verma"	"M..Husnain"	"Total.of.valid.votes"	"No.of.rejected.votes"	"Total"	"No..of.tendered.votes"
"1"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"2"	"1"	166	19	48	5	15	6	3	5	3	2	6	3	0	12	6	22	321	0	321	0
"3"	"2"	90	8	110	3	18	5	8	3	2	4	33	7	9	44	19	17	380	0	380	0
"4"	"3"	221	3	95	2	19	4	1	4	0	2	3	1	0	20	6	25	406	0	406	0
"5"	"4"	41	30	52	2	17	1	2	2	1	2	13	4	4	25	7	10	213	0	213	0
"6"	"5"	56	8	410	14	16	2	9	5	2	2	2	1	4	99	14	16	660	0	660	0
"7"	"6"	6	8	30	1	47	1	1	1	0	1	9	1	0	3	1	4	114	0	114	0
"8"	"7"	75	6	168	1	12	2	5	3	6	3	5	8	19	121	17	20	471	0	471	0
"9"	"8"	49	4	207	3	5	1	0	1	1	0	1	0	3	8	0	3	286	0	286	0
"10"	"9"	381	51	60	3	29	8	11	7	5	2	17	7	3	31	7	19	641	0	641	0
"11"	"10"	39	6	40	2	4	0	5	4	1	5	1	0	8	89	15	7	226	0	226	0
"12"	"11"	98	22	75	5	27	2	10	5	9	2	25	10	9	89	19	33	440	0	440	0
"13"	"12"	261	20	151	13	71	7	14	8	9	5	30	10	10	23	13	33	678	0	678	0
"14"	"13"	226	25	34	5	16	4	8	7	7	7	9	5	4	50	4	23	434	0	434	0
"15"	"14"	156	2	16	2	2	0	1	0	3	1	2	3	0	0	2	6	196	0	196	0
"16"	"15"	70	5	124	0	19	2	5	3	5	2	18	5	4	9	3	11	285	0	285	0
"17"	"16"	30	7	4	3	151	5	9	3	3	0	50	7	9	6	2	6	295	0	295	0
"18"	"17"	68	7	125	6	163	9	8	6	4	9	55	23	9	20	9	11	532	0	532	0
"19"	"18"	116	2	170	2	6	3	3	0	0	0	1	1	2	45	8	13	372	0	372	0
"20"	"19"	53	10	67	1	86	4	5	3	4	2	19	6	0	10	5	3	278	0	278	0
"21"	"20"	314	9	73	5	18	4	3	0	5	3	2	7	11	198	5	24	681	0	681	0
"22"	"21"	112	9	99	8	21	5	3	6	4	2	7	3	13	192	9	17	510	0	510	0
"23"	"22"	247	11	73	3	97	2	6	2	3	1	18	13	2	16	3	17	514	0	514	0
"24"	"23"	110	13	155	9	125	9	12	9	8	7	53	21	9	84	15	15	654	0	654	0
"25"	"24"	38	7	8	0	13	0	1	3	1	1	4	0	1	13	1	4	95	0	95	0
"26"	"25"	283	11	63	10	31	4	9	3	6	8	15	4	8	162	13	23	653	0	653	0
"27"	"26"	203	5	223	8	37	8	4	1	3	2	14	3	7	94	28	22	662	0	662	0
"28"	"27"	122	9	114	3	28	3	3	3	6	3	13	2	3	48	9	9	378	0	378	0
"29"	"Sl. Of Polling Station"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"30"	""	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"31"	"28"	73	3	534	2	13	1	0	2	0	0	9	2	0	0	3	4	646	0	646	0
"32"	"29"	158	8	54	6	35	5	7	6	1	9	21	5	11	112	8	20	466	0	466	0
"33"	"30"	77	5	155	5	13	3	2	1	3	3	2	5	2	102	9	19	406	0	406	0
"34"	"31"	79	8	60	4	12	3	8	2	0	4	3	2	10	176	13	13	397	0	397	0
"35"	"32"	138	46	101	4	13	2	4	2	2	2	2	0	1	65	7	3	392	0	392	0
"36"	"33"	65	17	57	2	22	5	4	2	6	1	11	4	9	164	17	18	404	0	404	0
"37"	"34"	142	15	15	0	10	5	5	0	1	1	3	2	1	85	8	22	315	0	315	0
"38"	"35"	15	3	20	2	65	3	3	2	1	0	18	5	5	30	0	2	174	0	174	0
"39"	"36"	85	13	19	2	20	1	1	3	1	1	4	1	2	40	6	10	209	0	209	0
"40"	"37"	124	1	298	1	6	0	0	2	0	0	2	0	0	5	3	3	445	0	445	0
"41"	"38"	138	22	23	8	212	12	17	2	5	6	56	6	5	8	0	16	536	0	536	0
"42"	"39"	330	7	9	4	29	3	6	3	2	4	12	8	13	81	10	57	578	0	578	0
"43"	"40"	77	19	66	4	74	6	8	10	6	6	29	25	15	49	18	30	442	0	442	0
"44"	"41"	155	5	28	2	23	3	7	1	0	4	14	3	3	121	4	17	390	0	390	0
"45"	"42"	233	10	2	4	9	0	2	3	4	3	8	3	7	23	8	29	348	0	348	0
"46"	"43"	127	3	12	3	80	8	4	2	0	3	11	8	3	51	6	20	341	0	341	0
"47"	"44"	164	10	109	7	109	1	6	8	0	4	46	8	4	36	6	11	529	0	529	0
"48"	"45"	181	10	24	3	26	7	12	5	1	0	8	2	3	60	8	7	357	0	357	0
"49"	"46"	93	8	256	3	12	1	1	1	0	3	2	6	6	23	12	7	434	0	434	0
