"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"1"	""	"v'kksd  dqekj  flag
¼fojkViqj½"	"johUnz  jke"	"jktsUnz  izlkn  ;kno"	"f'kf'kj  dqekj  >k"	"v[kykadqj  jgeku"	"v'kksd  dqekj  flag
¼jkSrkoa'kh½"	"fd'kksj  dqekj"	"feJh yky  ;kno"	"ehjk nsoh"	"dqy  fof/kekU;  er"	""	""	""
"2"	"ROUND- I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"285"	"15"	"10"	"10"	"5"	"8"	"138"	"2"	"12"	"485"	""	""	"485"
"4"	"2"	"117"	"7"	"6"	"1"	"1"	"6"	"132"	"5"	"8"	"283"	""	""	"283"
"5"	"3"	"92"	"9"	"21"	"20"	"5"	"17"	"274"	"4"	"17"	"459"	""	""	"459"
"6"	"4"	"78"	"14"	"8"	"9"	"4"	"22"	"401"	"16"	"10"	"562"	""	""	"562"
"7"	"5"	"243"	"12"	"26"	"12"	"6"	"15"	"282"	"9"	"12"	"617"	""	""	"617"
"8"	"6"	"150"	"8"	"17"	"13"	"3"	"25"	"351"	"12"	"21"	"600"	""	""	"600"
"9"	"7"	"145"	"12"	"9"	"2"	"5"	"8"	"225"	"10"	"14"	"430"	""	""	"430"
"10"	"8"	"160"	"8"	"24"	"7"	"1"	"14"	"222"	"9"	"1"	"446"	""	""	"446"
"11"	"9"	"275"	"14"	"34"	"5"	"1"	"16"	"170"	"9"	"9"	"533"	""	""	"533"
"12"	"10"	"212"	"17"	"23"	"16"	"12"	"19"	"240"	"16"	"38"	"593"	""	""	"593"
"13"	"11"	"230"	"17"	"33"	"19"	"7"	"17"	"174"	"9"	"17"	"523"	""	""	"523"
"14"	"12"	"158"	"11"	"16"	"3"	"1"	"15"	"229"	"7"	"16"	"456"	""	""	"456"
