"Total.number.of.valid.votes"	"Akhtarul.Iman"	"Madhav.Pd..Modi"	"Sanjeev.Kumar.Yadav"	"Isril"	"Md..Kalimuddin"	"Noushad.Haidar"	"Md..Mushtaque.Munna"	"Abul.Kalam"	"Indradev.Paswan"	"Kamrujjma"	"Gowardhan.Prasad.Yadav"	"Noorul.Alam"	"Praveen.Kumar.Paswan"	"Masroor.Alam"	"Md..Izhar.Asfi"	"Total.of.Valid.votes"	"Number.of.rejected.votes"	"TOTAL"	"No..of.tendered.votes"
"1"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"2"	1	236	4	161	6	22	83	29	5	11	5	2	1	3	5	28	601	0	601	0
"3"	2	192	8	56	4	28	34	25	2	6	2	4	2	6	5	69	443	0	443	0
"4"	3	339	9	200	5	36	6	10	0	5	3	2	1	3	2	15	636	0	636	0
"5"	4	520	6	5	3	20	7	10	1	8	7	1	0	0	0	27	615	0	615	0
"6"	5	290	9	27	3	51	33	39	1	10	5	2	5	8	10	24	517	0	517	0
"7"	6	65	4	241	5	27	54	93	3	10	2	2	1	3	2	62	574	0	574	0
"8"	7	56	8	38	3	36	284	50	13	10	11	10	2	5	5	17	548	0	548	0
"9"	8	56	7	154	5	36	210	82	5	6	6	3	4	0	8	12	594	0	594	0
"10"	9	353	2	18	4	24	32	19	1	4	2	0	0	2	6	16	483	0	483	0
"11"	10	248	7	2	1	23	13	12	0	3	2	0	1	1	11	2	326	0	326	0
"12"	11	270	6	85	3	7	8	118	4	4	7	2	2	10	7	60	593	0	593	0
"13"	12	259	6	119	5	18	8	100	9	5	4	3	3	7	4	24	574	0	574	0
"14"	13	155	1	0	2	8	6	153	4	5	30	1	2	1	1	17	386	0	386	0
"15"	14	522	5	10	1	4	8	26	1	15	8	2	2	1	2	24	631	0	631	0
"16"	NA	3561	82	1116	50	340	786	766	49	102	94	766	49	102	94	397	7521	0	7521	0
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"19"	NA	3561	82	1116	50	340	786	766	49	102	94	766	49	102	NA	397	7521	0	7521	0
"20"	15	191	17	186	9	9	3	10	1	2	3	10	1	2	NA	18	466	0	466	0
"21"	16	219	10	154	3	37	8	90	8	13	6	90	8	13	NA	49	610	0	610	0
"22"	17	65	22	143	12	19	13	194	19	9	5	194	19	9	NA	30	544	0	544	0
"23"	18	214	7	309	3	5	5	12	8	7	10	12	8	7	NA	24	629	0	629	0
"24"	19	445	10	90	1	2	10	33	1	4	4	33	1	4	NA	36	646	0	646	0
"25"	20	399	10	12	2	2	4	25	2	1	5	25	2	1	NA	69	538	0	538	0
"26"	21	326	8	16	0	22	2	11	2	5	2	11	2	5	NA	43	449	0	449	0
"27"	22	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0
"28"	23	385	12	44	3	14	3	13	1	3	5	13	1	3	NA	139	635	0	635	0
"29"	24	319	13	54	5	5	4	4	0	1	4	4	0	1	NA	57	472	0	472	0
"30"	25	206	11	270	5	0	2	12	2	3	0	12	2	3	NA	82	616	0	616	0
"31"	26	211	13	27	7	28	10	41	4	28	103	41	4	28	NA	216	708	0	708	0
"32"	27	97	5	5	0	2	1	7	0	2	3	7	0	2	NA	426	562	0	562	0
"33"	28	208	5	20	0	3	1	2	1	1	6	2	1	1	NA	146	445	0	445	0
"34"	NA	6846	225	2446	100	488	852	1220	98	181	250	1220	98	181	NA	1732	14841	0	14841	0
"35"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"36"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"37"	NA	6846	225	2446	100	488	852	1220	98	181	250	1220	98	181	NA	1732	14841	0	14841	0
"38"	29	413	6	17	5	7	9	47	1	0	5	47	1	0	NA	89	606	0	606	0
"39"	30	205	8	202	8	6	4	32	6	5	9	32	6	5	NA	187	693	0	693	0
"40"	31	498	11	58	4	17	4	9	1	2	2	9	1	2	NA	90	706	0	706	0
"41"	32	559	9	46	0	2	2	1	1	2	2	1	1	2	NA	72	707	0	707	0
"42"	33	497	5	20	1	11	3	14	0	4	10	14	0	4	NA	31	598	0	598	0
"43"	34	510	9	47	3	10	8	44	8	4	2	44	8	4	NA	53	714	0	714	0
"44"	35	474	10	21	2	7	7	51	5	2	18	51	5	2	NA	93	701	0	701	0
"45"	36	192	4	51	1	1	2	47	6	2	4	47	6	2	NA	67	387	0	387	0
"46"	37	381	10	16	2	20	5	76	4	15	7	76	4	15	NA	159	710	0	710	0
"47"	38	71	12	332	12	5	6	4	7	10	36	4	7	10	NA	28	552	0	552	0
"48"	39	19	6	73	5	6	7	8	3	5	86	8	3	5	NA	43	405	0	405	0
"49"	40	77	21	424	12	3	7	6	4	3	6	6	4	3	NA	30	631	0	631	0
"50"	41	90	13	207	10	7	14	13	6	35	231	13	6	35	NA	46	696	0	696	0
"51"	42	14	6	138	4	2	1	3	1	4	2	3	1	4	NA	99	314	0	314	0
"52"	NA	10846	355	4098	169	592	931	1575	151	274	670	1575	151	274	NA	2819	23261	0	23261	0
"53"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"55"	NA	10846	355	4098	169	592	931	1575	151	274	670	1575	151	274	NA	2819	23261	0	23261	0
"56"	43	77	3	72	0	7	0	37	1	10	3	37	1	10	NA	453	713	0	713	0
"57"	44	49	6	13	2	2	1	16	4	14	58	16	4	14	NA	613	809	0	809	0
"58"	45	64	2	3	1	1	1	14	1	2	39	14	1	2	NA	455	618	0	618	0
"59"	46	16	1	3	1	0	0	18	2	0	3	18	2	0	NA	447	501	0	501	0
"60"	47	219	6	142	12	9	6	13	1	8	27	13	1	8	NA	125	616	0	616	0
"61"	48	264	8	10	2	2	0	4	2	2	14	4	2	2	NA	205	528	0	528	0
"62"	49	263	12	28	3	8	8	21	5	10	37	21	5	10	NA	114	556	0	556	0
"63"	50	132	6	121	7	10	9	21	1	9	12	21	1	9	NA	80	496	0	496	0
"64"	51	298	10	125	6	5	3	51	3	2	6	51	3	2	NA	40	566	0	566	0
"65"	52	394	8	66	4	4	8	19	1	4	21	19	1	4	NA	114	661	0	661	0
"66"	53	660	21	15	1	2	0	19	0	1	0	19	0	1	NA	28	754	0	754	0
"67"	54	393	11	73	2	8	1	31	5	3	1	31	5	3	NA	27	575	0	575	0
"68"	55	473	14	16	4	2	4	24	3	4	14	24	3	4	NA	67	642	0	642	0
"69"	56	265	15	90	4	8	6	69	7	0	7	69	7	0	NA	71	558	0	558	0
"70"	NA	14413	478	4875	218	660	978	1932	187	343	912	1932	187	343	NA	5658	31854	0	31854	0
"71"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"72"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"73"	NA	14413	478	4875	218	660	978	1932	187	343	912	1932	187	343	NA	5658	31854	0	31854	0
"74"	57	234	12	37	4	4	9	102	8	5	5	102	8	5	NA	62	519	0	519	0
"75"	58	269	30	81	7	4	7	109	6	6	6	109	6	6	NA	56	600	0	600	0
"76"	59	202	8	4	4	17	3	68	1	3	5	68	1	3	NA	49	377	0	377	0
"77"	60	397	7	122	3	21	6	40	4	9	2	40	4	9	NA	54	693	0	693	0
"78"	61	247	16	146	6	5	2	6	1	0	0	6	1	0	NA	37	481	0	481	0
"79"	62	127	10	212	9	58	57	46	10	17	7	46	10	17	NA	71	642	0	642	0
"80"	63	165	8	87	3	6	4	19	6	3	2	19	6	3	NA	167	530	0	530	0
"81"	64	203	5	252	3	7	30	81	3	3	3	81	3	3	NA	104	714	0	714	0
"82"	65	231	9	14	5	12	17	124	12	8	10	124	12	8	NA	128	642	0	642	0
"83"	66	130	22	49	4	29	2	47	3	9	5	47	3	9	NA	39	393	0	393	0
"84"	67	244	3	1	1	31	6	16	1	2	2	16	1	2	NA	66	402	0	402	0
"85"	68	386	10	50	2	9	20	19	1	5	4	19	1	5	NA	33	556	0	556	0
"86"	69	127	5	53	2	12	3	66	6	6	1	66	6	6	NA	49	338	0	338	0
"87"	70	190	7	19	1	8	8	35	3	4	4	35	3	4	NA	117	406	0	406	0
"88"	NA	17565	630	6002	272	883	1152	2710	252	423	968	2710	252	423	NA	6690	39147	0	39147	0
"89"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"90"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"91"	NA	17565	630	6002	272	883	1152	2710	252	423	968	2710	252	423	NA	6690	39147	0	39147	0
"92"	71	202	2	38	5	57	7	55	3	13	4	55	3	13	NA	187	595	0	595	0
"93"	72	253	7	13	1	62	10	14	4	12	27	14	4	12	NA	74	495	0	495	0
"94"	73	154	7	30	6	20	7	23	3	4	0	23	3	4	NA	74	418	0	418	0
"95"	74	102	12	168	86	11	8	117	7	6	2	117	7	6	NA	43	585	0	585	0
"96"	75	121	3	360	11	10	5	53	2	4	1	53	2	4	NA	12	622	0	622	0
"97"	76	161	6	44	30	11	11	110	6	5	5	110	6	5	NA	119	547	0	547	0
"98"	77	127	7	13	101	13	1	59	4	6	6	59	4	6	NA	37	394	0	394	0
"99"	78	131	9	21	0	21	11	172	6	5	9	172	6	5	NA	48	445	0	445	0
"100"	79	169	7	85	4	81	12	161	11	11	8	161	11	11	NA	66	629	0	629	0
"101"	80	108	11	317	8	33	5	51	6	12	4	51	6	12	NA	11	586	0	586	0
"102"	81	77	5	235	19	13	6	188	4	12	6	188	4	12	NA	25	623	0	623	0
"103"	82	82	10	293	9	10	2	131	7	2	3	131	7	2	NA	13	569	0	569	0
"104"	83	155	8	229	6	6	3	7	1	0	1	7	1	0	NA	51	490	0	490	0
"105"	84	406	9	89	1	11	4	79	6	2	3	79	6	2	NA	23	653	0	653	0
"106"	NA	19813	733	7937	559	1242	1244	3930	322	517	1047	3930	322	517	NA	7473	46798	0	46798	0
"107"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"108"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"109"	NA	19813	733	7937	559	1242	1244	3930	322	517	1047	3930	322	517	NA	7473	46798	0	46798	0
