"Conduct.of.Election.Rules.1961"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(Statutory Rules and Order)                                                       ROUND : FIRST"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Election to the Bihar Legislative Assembly 2005 from the 128-NARPATGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"7"	""	"ANIL KUMAR YADAV"	"ALOK KUMAR"	"JANARDAN YADAV"	"JAI RAM MANDAL"	"KAPILDE O RAI"	"DAYANAND YADAV"	"HADIS"	"ANANT KUMAR ROY"	"UMAR FAROOQUE"	"JAHANGHEER KHAN"	"DINANATH YADAV"	"VIKAS KUMAR TANTI"	"SADIQUE"	"SATYA NARAYAN YADAV"	"SEMIDUR RAHMAN"	""	""	""	""
"8"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"9"	"1"	"181"	"60"	"205"	"8"	"10"	"80"	"15"	"110"	"12"	"6"	"27"	"72"	"12"	"24"	"19"	"841"	""	"841"	""
"10"	"2"	"309"	"27"	"179"	"8"	"1"	"28"	"142"	"8"	"9"	"42"	"7"	"5"	"6"	"7"	"9"	"787"	""	"787"	""
"11"	"3"	"20"	"158"	"111"	"8"	"2"	"4"	"156"	"28"	"13"	"17"	"6"	"8"	"10"	"11"	"4"	"556"	""	"556"	""
"12"	"4"	"30"	"92"	"336"	"13"	"4"	"82"	"60"	"15"	"18"	"35"	"5"	"9"	"10"	"9"	"8"	"726"	""	"726"	""
