"Sl.No..of.Polling.Station"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"Total.of.Valid.Votes"	"No..of.Tendered.Votes"
"1"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"2"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"3"	"1"	"e/; fo|ky; rsml mÙkj Hkkx"	"268"	"151"	"4"	"0"	"0"	"2"	"8"	"2"	"7"	"24"	"466"	""
"4"	"2"	"e/; fo|ky; rsml nf{k.k Hkkx"	"168"	"98"	"2"	"4"	"0"	"2"	"4"	"7"	"9"	"22"	"316"	""
"5"	"3"	"izk0 fo0 rsml gfjtu Vksyk"	"177"	"154"	"17"	"6"	"10"	"6"	"14"	"3"	"8"	"12"	"407"	""
"6"	"4"	"izkFkfed fo|ky; ujflagiqj"	"30"	"667"	"1"	"1"	"1"	"0"	"5"	"2"	"4"	"1"	"712"	""
"7"	"5"	"izkFkfed fo|ky; dk'khch?kk"	"86"	"302"	"4"	"3"	"4"	"0"	"3"	"1"	"1"	"11"	"415"	""
"8"	"6"	"izkFkfed fo|ky; lqHkkuiqj"	"206"	"151"	"3"	"5"	"5"	"4"	"3"	"2"	"4"	"8"	"391"	""
"9"	"7"	"izkFkfed fo|ky; dUgkSyh"	"101"	"194"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"7"	"309"	""
"10"	"8"	"izkFkfed fo|ky; txnh'kiqj"	"197"	"317"	"6"	"8"	"7"	"3"	"7"	"3"	"6"	"21"	"575"	""
"11"	"9"	"izkFkfed fo|ky;] m[knh"	"302"	"169"	"4"	"5"	"3"	"1"	"8"	"4"	"3"	"6"	"505"	""
"12"	"10"	"izkFkfed fo|ky; ljS;k"	"151"	"264"	"0"	"4"	"2"	"1"	"2"	"4"	"1"	"2"	"431"	""
"13"	"Total No. of Votes recorded at Polling Stations"	""	"1686"	"2467"	"42"	"37"	"33"	"20"	"55"	"29"	"44"	"114"	"4527"	"0"
"14"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"15"	"Total votes polled"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"16"	"2"	""	""	""	""	""	""	""	""	""	""	""	""	""
"17"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"18"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""
"19"	"ELECTION OF THE ASSEMBLY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"20"	"Total No. of Electors in Assmebly Constituency                     200865"	""	""	""	""	""	""	""	""	""	""	""	""	""
"21"	"Name of the Assembly Constituency - 174 BARBIGHA"	""	""	""	""	""	""	""	""	""	""	""	""	""
"22"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"23"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"24"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"25"	"11"	"izkFkfed fo|ky;] iqusljk"	"226"	"181"	"2"	"2"	"2"	"3"	"2"	"2"	"2"	"8"	"430"	""
"26"	"12"	"e/; fo|ky; rks;"	"191"	"170"	"5"	"1"	"0"	"0"	"3"	"20"	"1"	"3"	"394"	""
"27"	"13"	"lkeq0 Hkou rks; gfjtu Vksyk"	"253"	"54"	"2"	"6"	"2"	"0"	"3"	"22"	"0"	"8"	"350"	""
"28"	"14"	"e/; fo|ky; ik¡d"	"164"	"247"	"9"	"3"	"5"	"4"	"6"	"1"	"2"	"9"	"450"	""
"29"	"15"	"izkFkfed fo|ky; eqlkiqj"	"445"	"37"	"1"	"0"	"0"	"19"	"0"	"1"	"0"	"12"	"515"	""
"30"	"16"	"izkFkfed fo|ky; eduiqj Mhg"	"76"	"145"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"224"	""
"31"	"17"	"izkFkfed fo|ky; dkthQÙkqpd"	"150"	"139"	"3"	"4"	"0"	"26"	"4"	"2"	"0"	"5"	"333"	""
"32"	"18"	"izk0 fo0 feYdh pd ¼m0 Hkkx½"	"95"	"86"	"5"	"5"	"3"	"12"	"4"	"6"	"5"	"14"	"235"	""
"33"	"18 d"	"izk0 fo0 feYdh pd ¼n0 Hkkx½"	"199"	"28"	"3"	"1"	"0"	"14"	"1"	"0"	"0"	"5"	"251"	""
"34"	"19"	"izkFkfed fo|ky; Mhgfutker"	"142"	"637"	"2"	"2"	"1"	"7"	"5"	"4"	"6"	"15"	"821"	""
"35"	"Total No. of Votes recorded at Polling Stations"	""	"1941"	"1724"	"32"	"25"	"13"	"85"	"30"	"58"	"16"	"79"	"4003"	"0"
"36"	"No. of votes recorded on postal ballot papers ( to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"37"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""	""	""
"38"	"Sl No. of Polling Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Tendered Votes"
"39"	""	""	"Ashok Chaudhary"	"Mithalesh Kumar"	"Raghuna ndan Prasad"	"Nandlal Chaudhary"	"Ujjawalka nt Hunkar"	"Babita Bhushan"	"Ravindra Ku Chaudhary"	"Rajendra Prasad"	"Santi Devi"	"Shiv Shankar Paswan"	""	""
"40"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"41"	"20"	"e/; fo|ky; dsoVh"	"199"	"203"	"2"	"3"	"5"	"7"	"10"	"3"	"10"	"18"	"460"	""
