"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"6"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"7"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"8"	"1"	"161"	"476"	"12"	"8"	"8"	"7"	"3"	"7"	"10"	"692"	""	"692"	""
"9"	"2"	"406"	"147"	"3"	"4"	"5"	"2"	"1"	"1"	"1"	"570"	""	"570"	""
"10"	"3"	"388"	"306"	"17"	"4"	"5"	"1"	"3"	"0"	"3"	"727"	""	"727"	""
"11"	"4"	"510"	"158"	"11"	"6"	"7"	"5"	"4"	"5"	"7"	"713"	""	"713"	""
"12"	"5"	"539"	"230"	"13"	"16"	"12"	"3"	"1"	"4"	"3"	"821"	""	"821"	""
"13"	"6"	"172"	"417"	"36"	"2"	"6"	"3"	"3"	"9"	"13"	"661"	""	"661"	""
"14"	"7"	"209"	"507"	"20"	"13"	"6"	"2"	"9"	"1"	"14"	"781"	""	"781"	""
"15"	"8"	"90"	"493"	"16"	"3"	"3"	"1"	"5"	"10"	"23"	"644"	""	"644"	""
"16"	"8A"	"96"	"180"	"6"	"1"	"1"	"0"	"1"	"4"	"1"	"290"	""	"290"	""
"17"	"9"	"276"	"290"	"83"	"12"	"12"	"5"	"10"	"15"	"24"	"727"	""	"727"	""
"18"	"10"	"217"	"364"	"145"	"9"	"10"	"4"	"8"	"11"	"25"	"793"	""	"793"	""
"19"	"11"	"205"	"459"	"70"	"11"	"9"	"7"	"3"	"8"	"19"	"791"	""	"791"	""
"20"	"12"	"434"	"317"	"44"	"14"	"6"	"8"	"10"	"14"	"26"	"873"	""	"873"	""
"21"	"13"	"54"	"548"	"17"	"5"	"2"	"3"	"1"	"7"	"13"	"650"	""	"650"	""
"22"	"Current Round Total"	"3757"	"4892"	"493"	"108"	"92"	"51"	"62"	"96"	"182"	"9733"	"0"	"9733"	"0"
"23"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"24"	"129-FORBESGANJ"	""	""	""	""	""	""	""	""	""	""	""	""	""
"25"	"(Statutory Rules and Order)                                                      ROUND : SECOND"	""	""	""	""	""	""	""	""	""	""	""	""	""
"26"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"27"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"28"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
"29"	"Election to the Bihar Legislative Assembly 2005 from the 129-FORBESGANJ Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
"30"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"31"	""	"ZAKIR HUSSAIN KHAN"	"LAXMI NARAYAN MEHTA"	"SHAMBHU NATH MISHRA"	"SUBHASH PRASAD SAH"	"RAJA RAMAN BHASKAR"	"ISHTEYAQU E ALAM"	"KAPIL DEO SADA"	"SATYA NARAYAN WRITER"	"SURENDRA MANDAL"	""	""	""	""
"32"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"
"33"	"14"	"102"	"532"	"79"	"23"	"4"	"1"	"1"	"4"	"9"	"755"	""	"755"	""
"34"	"15"	"345"	"172"	"17"	"6"	"3"	"1"	"2"	"1"	"3"	"550"	""	"550"	""
"35"	"16"	"295"	"356"	"168"	"24"	"7"	"10"	"7"	"9"	"13"	"889"	""	"889"	""
"36"	"16A"	"40"	"288"	"106"	"6"	"8"	"3"	"2"	"4"	"9"	"466"	""	"466"	""
"37"	"17"	"171"	"534"	"26"	"10"	"5"	"2"	"3"	"9"	"20"	"780"	""	"780"	""
"38"	"18"	"115"	"400"	"20"	"25"	"4"	"6"	"3"	"7"	"26"	"606"	""	"606"	""
"39"	"19"	"148"	"371"	"16"	"12"	"3"	"0"	"3"	"14"	"15"	"582"	""	"582"	""
"40"	"20"	"503"	"170"	"27"	"11"	"15"	"10"	"9"	"5"	"14"	"764"	""	"764"	""
"41"	"21"	"208"	"238"	"9"	"2"	"8"	"7"	"2"	"12"	"26"	"512"	""	"512"	""
"42"	"21A"	"197"	"228"	"8"	"9"	"2"	"5"	"2"	"6"	"14"	"471"	""	"471"	""
"43"	"22"	"366"	"212"	"11"	"2"	"3"	"7"	"4"	"7"	"22"	"634"	""	"634"	""
"44"	"23"	"266"	"144"	"7"	"4"	"1"	"2"	"2"	"2"	"15"	"443"	""	"443"	""
"45"	"24"	"143"	"310"	"16"	"2"	"6"	"3"	"0"	"7"	"7"	"494"	""	"494"	""
"46"	"25"	"496"	"209"	"8"	"6"	"4"	"4"	"3"	"5"	"3"	"738"	""	"738"	""
"47"	"Current Round"	"3395"	"4164"	"518"	"142"	"73"	"61"	"43"	"92"	"196"	"8684"	"0"	"8684"	"0"
"48"	"Previous Round"	"3757"	"4892"	"493"	"108"	"92"	"51"	"62"	"96"	"182"	"9733"	"0"	"9733"	"0"
"49"	"TOTAL"	"7152"	"9056"	"1011"	"250"	"165"	"112"	"105"	"188"	"378"	"18417"	"0"	"18417"	"0"
"50"	"(Statutory Rules and Order)                                                      ROUND : THIRD"	""	""	""	""	""	""	""	""	""	""	""	""	""
"51"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"52"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""
"53"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""	""	""
