"ernku..dsUnz.dh..la..k"	"fuEufyf.kr..vH.fFkZ.ks..ds..Ik.k..esa..fn...x...fof.kekU...erksa..dh..la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"dqy..fof.kekU...er"	"fufonr..erks..dh..la..k"	"izfr.ksfir..eri.ksa..dh..la."	"dqy..fof.kekU....oa..izfr.ksfir.erks..dh..la..k"
"1"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"2"	"ROUND- I"	""	""	""	""	""	""	""	""	""	""
"3"	"1"	"275"	"178"	"9"	"19"	"46"	"34"	"561"	""	""	"561"
"4"	"2"	"91"	"192"	"16"	"8"	"9"	"6"	"322"	""	""	"322"
"5"	"3"	"295"	"117"	"10"	"15"	"53"	"13"	"503"	""	""	"503"
"6"	"4"	"273"	"126"	"17"	"16"	"16"	"13"	"461"	""	""	"461"
"7"	"5"	"490"	"297"	"11"	"18"	"50"	"9"	"875"	""	""	"875"
"8"	"6"	"224"	"89"	"7"	"9"	"39"	"7"	"375"	""	""	"375"
"9"	"7"	"293"	"131"	"8"	"18"	"99"	"22"	"571"	""	""	"571"
"10"	"8"	"184"	"145"	"10"	"5"	"49"	"9"	"402"	""	""	"402"
"11"	"9"	"154"	"223"	"16"	"12"	"124"	"22"	"551"	""	""	"551"
"12"	"10"	"234"	"153"	"17"	"26"	"91"	"23"	"544"	""	""	"544"
"13"	"11"	"158"	"39"	"8"	"11"	"34"	"14"	"264"	""	""	"264"
"14"	"12"	"246"	"286"	"10"	"20"	"29"	"8"	"599"	""	""	"599"
"15"	"13"	"180"	"99"	"6"	"14"	"24"	"2"	"325"	""	""	"325"
"16"	"14"	"136"	"107"	"3"	"16"	"73"	"24"	"359"	""	""	"359"
"17"	"Round Total"	"3233"	"2182"	"148"	"207"	"736"	"206"	"6712"	"0"	"0"	"6712"
"18"	"C.F.->"	"3233"	"2182"	"148"	"207"	"736"	"206"	"6712"	"0"	"0"	"6712"
"19"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"20"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"21"	"ROUND -II"	""	""	""	""	""	""	""	""	""	""
"22"	"B.F.->"	"3233"	"2182"	"148"	"207"	"736"	"206"	"6712"	"0"	"0"	"6712"
"23"	"15"	"150"	"226"	"32"	"22"	"108"	"49"	"587"	""	""	"587"
"24"	"16"	"169"	"92"	"7"	"13"	"29"	"33"	"343"	""	""	"343"
"25"	"17"	"290"	"76"	"3"	"5"	"62"	"28"	"464"	""	""	"464"
"26"	"18"	"117"	"60"	"8"	"5"	"9"	"2"	"201"	""	""	"201"
"27"	"19"	"192"	"241"	"16"	"8"	"25"	"6"	"488"	""	""	"488"
"28"	"20"	"702"	"134"	"2"	"0"	"72"	"1"	"911"	""	""	"911"
"29"	"21"	"195"	"76"	"0"	"5"	"13"	"2"	"291"	""	""	"291"
"30"	"22"	"192"	"214"	"36"	"10"	"20"	"23"	"495"	""	""	"495"
"31"	"23"	"295"	"84"	"7"	"4"	"11"	"11"	"412"	""	""	"412"
"32"	"24"	"463"	"10"	"1"	"3"	"20"	"3"	"500"	""	""	"500"
"33"	"25"	"233"	"61"	"4"	"14"	"70"	"18"	"400"	""	""	"400"
"34"	"26"	"163"	"202"	"19"	"17"	"143"	"24"	"568"	""	""	"568"
"35"	"27"	"250"	"111"	"7"	"11"	"19"	"1"	"399"	""	""	"399"
"36"	"28"	"225"	"105"	"8"	"8"	"38"	"25"	"409"	""	""	"409"
"37"	"Round Total"	"3636"	"1692"	"150"	"125"	"639"	"226"	"6468"	"0"	"0"	"6468"
"38"	"C.F.->"	"6869"	"3874"	"298"	"332"	"1375"	"432"	"13180"	"0"	"0"	"13180"
"39"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"40"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"41"	"ROUND- III"	""	""	""	""	""	""	""	""	""	""
"42"	"B.F.->"	"6869"	"3874"	"298"	"332"	"1375"	"432"	"13180"	"0"	"0"	"13180"
"43"	"29"	"640"	"1"	"0"	"0"	"0"	"0"	"641"	""	""	"641"
"44"	"30"	"211"	"18"	"1"	"12"	"245"	"24"	"511"	""	""	"511"
"45"	"31"	"15"	"115"	"9"	"8"	"147"	"16"	"310"	""	""	"310"
"46"	"32"	"180"	"153"	"18"	"18"	"33"	"19"	"421"	""	""	"421"
"47"	"33"	"26"	"67"	"4"	"7"	"262"	"14"	"380"	""	""	"380"
"48"	"34"	"45"	"179"	"8"	"9"	"186"	"13"	"440"	""	""	"440"
"49"	"35"	"187"	"150"	"8"	"6"	"40"	"16"	"407"	""	""	"407"
"50"	"36"	"233"	"106"	"6"	"10"	"58"	"9"	"422"	""	""	"422"
"51"	"37"	"70"	"169"	"5"	"3"	"98"	"5"	"350"	""	""	"350"
"52"	"38"	"71"	"233"	"4"	"1"	"100"	"3"	"412"	""	""	"412"
"53"	"39"	"45"	"256"	"11"	"4"	"46"	"4"	"366"	""	""	"366"
"54"	"40"	"369"	"91"	"9"	"5"	"57"	"7"	"538"	""	""	"538"
"55"	"41"	"334"	"103"	"16"	"28"	"183"	"65"	"729"	""	""	"729"
"56"	"42"	"451"	"136"	"9"	"21"	"21"	"13"	"651"	""	""	"651"
"57"	"Round Total"	"2877"	"1777"	"108"	"132"	"1476"	"208"	"6578"	"0"	"0"	"6578"
"58"	"C.F.->"	"9746"	"5651"	"406"	"464"	"2851"	"640"	"19758"	"0"	"0"	"19758"
"59"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
"60"	""	"fnus'k pUnz  ;kno"	"pkS/kjh egcwc  vyh dSlj"	"lqHkk\"k pkS/kjh"	"xksiky  d`\".k flag"	"tQj  vkye"	"uteqy  gqnk m|hu"	""	""	""	""
"61"	"ROUND -IV"	""	""	""	""	""	""	""	""	""	""
"62"	"B.F.->"	"9746"	"5651"	"406"	"464"	"2851"	"640"	"19758"	"0"	"0"	"19758"
"63"	"43"	"303"	"176"	"8"	"1"	"9"	"3"	"500"	""	""	"500"
"64"	"44"	"276"	"37"	"0"	"2"	"25"	"4"	"344"	""	""	"344"
"65"	"45"	"339"	"42"	"4"	"7"	"11"	"8"	"411"	""	""	"411"
"66"	"46"	"193"	"156"	"11"	"8"	"45"	"5"	"418"	""	""	"418"
"67"	"47"	"402"	"152"	"11"	"18"	"107"	"23"	"713"	""	""	"713"
"68"	"48"	"333"	"92"	"6"	"13"	"15"	"4"	"463"	""	""	"463"
"69"	"49"	"308"	"104"	"14"	"16"	"110"	"20"	"572"	""	""	"572"
"70"	"50"	"320"	"163"	"11"	"15"	"29"	"4"	"542"	""	""	"542"
"71"	"51"	"616"	"7"	"0"	"2"	"5"	"0"	"630"	""	""	"630"
"72"	"52"	"181"	"131"	"22"	"14"	"78"	"20"	"446"	""	""	"446"
"73"	"53"	"142"	"129"	"2"	"1"	"8"	"2"	"284"	""	""	"284"
"74"	"54"	"123"	"126"	"5"	"2"	"12"	"2"	"270"	""	""	"270"
"75"	"55"	"321"	"130"	"4"	"23"	"19"	"16"	"513"	""	""	"513"
"76"	"56"	"304"	"220"	"14"	"16"	"25"	"27"	"606"	""	""	"606"
"77"	"Round Total"	"4161"	"1665"	"112"	"138"	"498"	"138"	"6712"	"0"	"0"	"6712"
"78"	"C.F.->"	"13907"	"7316"	"518"	"602"	"3349"	"778"	"26470"	"0"	"0"	"26470"
"79"	"ernku  dsUnz dh  la[;k"	"fuEufyf[kr  vH;fFkZ;ks  ds  Ik{k  esa  fn,  x,  fof/kekU;  erksa  dh  la[;k"	""	""	""	""	""	"dqy  fof/kekU;  er"	"fufonr  erks  dh  la[;k"	"izfr{ksfir  eri=ksa  dh  la-"	"dqy  fof/kekU;  ,oa  izfr{ksfir erks  dh  la[;k"
