"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election to the State Legislative Assembly from the 239 - Nawada Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Table No."	"No. & Name of Polling Station"	"BRAJESH KUMAR"	"RAJBALLABH PRASAD"	"SHATRUGHAN PRASAD SINGH"	"SANJAY KUMAR"	"FAKHRUDDIN ALI AHMAD"	"SIDHESHWAR SHARMA"	"ARUN KUMAR"	"MD. ANWAR KHAN"	"ISHTEKHAR AHMAD"	"DILIP KUMAR"	"NIRANJAN KUMAR SINGH"	"PURNIMA YADAV"	"BIRENDRA YADAV"	"MAHENDRA YADAV"	"MUNDRIKA PRASAD"	"MOHAN SAW"	"RAJKUMAR VERMA"	"RAJENDRA SINGH"	"RAMBALAK PRASAD"	"RITESH KUMAR"	"SURESH PRASAD YADAV"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"10"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"
"11"	"1"	"1"	"5"	"51"	"22"	"11"	"19"	"1"	"1"	"1"	"0"	"5"	"6"	"682"	"5"	"5"	"2"	"1"	"8"	"0"	"1"	"2"	"2"	"830"	"0"	"830"	"0"
"12"	"2"	"2"	"0"	"91"	"8"	"16"	"4"	"6"	"0"	"0"	"0"	"0"	"4"	"559"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"690"	"0"	"690"	"0"
"13"	"3"	"3"	"5"	"405"	"2"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"455"	"0"	"455"	"0"
"14"	"4"	"4-R"	"15"	"240"	"8"	"28"	"20"	"2"	"2"	"3"	"5"	"12"	"8"	"132"	"4"	"9"	"11"	"16"	"2"	"5"	"2"	"3"	"2"	"529"	"0"	"529"	"0"
"15"	"5"	"5"	"1"	"77"	"3"	"1"	"2"	"0"	"4"	"0"	"0"	"2"	"2"	"414"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"512"	"0"	"512"	"0"
"16"	"6"	"6-R"	"2"	"237"	"7"	"1"	"12"	"1"	"1"	"1"	"3"	"6"	"8"	"187"	"7"	"7"	"5"	"7"	"0"	"1"	"0"	"0"	"1"	"494"	"0"	"494"	"0"
