"PS.NO"	"GULAM.RASUL"	"DINESH.PRASAD"	"HIND.KESARI.YADAV"	"DWARIKA.NATH.PRASAD"	"RAGHUNATH.PRASAD"	"LALLI.DEVI"	"BINDESHWAR.SAH"	"VINOD.KUMAR.KUSHWAHA"	"UMA.SHANKAR.RAM"	"KULDEEP.RAM"	"GANGA.PRASAD.SINGH"	"JAGAT.NARAYAN.RAM"	"DINESH.RAY"	"PRAKASH.SINGH"	"BHIKHARI.RAM"	"BHONU.RAM"	"RAMPUKAR.BAITHA"	"SINGH"	"LALAN.BAITHA"	"SHANKAR.PASWAN"	"SURESH.RAM"	"HIRA.RAM"	"HIRALAL.RAM"	"TOTAL.OF.VALID.VOTES"	"TOTAL.NO.OF.TENDER.VOTES"	"TOTAL.VOTES"
"1"	1	7	318	76	4	9	3	11	1	2	2	3	4	0	28	5	12	0	0	2	1	0	0	1	-489	0	-489
"2"	2	16	277	57	18	18	5	9	4	2	0	2	2	4	68	3	2	0	4	6	0	3	1	2	-503	0	-503
"3"	3	11	39	63	6	6	6	8	1	6	2	4	7	4	144	6	4	1	3	9	3	0	1	3	-337	0	-337
"4"	4	2	156	47	5	1	0	1	0	0	0	0	1	0	61	0	2	0	4	2	0	1	0	0	-283	0	-283
"5"	5	16	136	141	12	7	3	6	2	4	6	5	6	5	27	13	22	3	6	3	3	1	1	7	-435	0	-435
"6"	6	11	186	163	12	16	6	21	5	3	10	5	7	8	65	15	35	1	1	3	2	1	4	5	-585	0	-585
"7"	7	11	108	133	10	7	2	31	1	4	0	2	2	3	20	6	15	5	2	5	3	1	2	3	-376	0	-376
"8"	8	0	50	180	1	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	-242	0	-242
"9"	9	4	144	172	21	13	5	9	6	7	8	5	7	11	146	9	14	2	2	9	2	1	2	3	-602	0	-602
"10"	10	7	119	175	17	10	5	35	1	9	5	3	7	9	79	7	12	2	1	7	2	1	1	3	-517	0	-517
"11"	11	3	273	3	0	3	0	4	2	2	3	0	1	5	251	8	11	2	2	10	1	0	0	4	-588	0	-588
"12"	12	0	73	11	1	1	2	2	1	0	1	0	1	2	339	6	6	1	2	14	1	0	0	1	-465	0	-465
"13"	13	4	138	35	3	3	0	0	2	3	1	2	1	13	275	6	11	1	6	14	4	2	0	0	-524	0	-524
"14"	14	6	193	4	3	3	2	4	0	4	2	1	2	9	245	5	5	1	2	19	3	3	2	5	-523	0	-523
"15"	15	4	223	6	5	1	1	2	0	2	3	3	1	6	103	9	10	1	6	14	1	0	2	3	-406	0	-406
"16"	16	1	79	18	6	6	3	6	4	6	7	11	10	26	269	14	24	3	0	17	6	2	3	5	-526	0	-526
"17"	17	1	9	8	2	1	0	2	0	2	0	2	1	3	175	6	2	1	0	6	0	0	0	0	-221	0	-221
"18"	18	14	179	66	6	5	2	8	2	1	0	0	1	2	22	3	3	14	10	21	3	7	9	5	-383	0	-383
"19"	19	9	217	112	6	6	8	13	2	2	4	1	3	5	49	10	14	4	3	7	1	0	1	3	-480	0	-480
"20"	20	3	70	348	25	5	11	15	4	3	3	5	5	9	84	7	14	13	5	22	8	2	4	25	-690	0	-690
"21"	21	11	148	142	5	3	1	7	0	0	3	3	2	5	67	8	15	1	7	5	0	1	4	1	-439	0	-439
"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	22	13	391	13	3	5	4	12	1	4	3	2	1	2	39	5	10	4	1	5	0	1	3	4	-526	0	-526
"24"	23	42	237	108	21	8	2	30	4	4	3	5	1	2	95	2	3	11	14	22	6	2	2	3	-627	0	-627
"25"	24	17	169	214	20	3	4	15	3	1	3	4	2	1	41	3	1	3	5	2	2	2	5	0	-520	0	-520
"26"	25	0	5	388	3	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	1	-401	0	-401
"27"	26	6	235	124	13	3	1	4	2	3	3	7	14	7	15	4	12	17	19	24	10	6	4	18	-551	0	-551
"28"	27	11	66	247	19	5	9	5	4	2	4	0	2	2	47	8	29	0	0	1	1	0	1	1	-464	0	-464
"29"	28	2	30	220	18	7	6	43	3	7	0	3	3	3	9	5	21	1	0	2	0	2	2	5	-392	0	-392
"30"	29	4	99	51	4	5	6	45	7	2	1	3	4	1	2	3	5	8	0	1	0	2	2	0	-255	0	-255
"31"	30	5	25	155	11	5	4	39	6	6	5	5	4	0	5	3	13	9	2	10	3	5	6	9	-335	0	-335
"32"	31	6	145	287	14	6	1	31	1	5	6	3	0	3	13	3	6	22	7	38	10	13	15	21	-656	0	-656
"33"	32	10	97	220	8	4	6	37	1	2	5	9	3	2	14	5	4	1	0	0	6	2	1	0	-437	0	-437
"34"	33	9	148	165	9	15	1	62	1	3	3	5	6	2	13	3	9	3	6	5	4	1	3	4	-480	0	-480
"35"	34	9	277	47	3	7	4	70	6	2	13	6	2	9	17	12	23	1	2	4	1	1	1	3	-520	0	-520
"36"	35	19	195	285	8	13	4	73	6	5	4	5	2	7	14	2	11	3	1	5	0	1	0	2	-665	0	-665
"37"	36	9	59	76	7	3	1	19	1	4	2	4	2	6	80	8	11	4	5	20	6	2	4	10	-343	0	-343
"38"	37	17	261	181	13	12	6	38	2	7	7	2	5	1	13	15	14	5	1	5	2	2	1	4	-614	0	-614
"39"	38	7	108	158	8	15	4	10	2	2	2	3	4	4	10	9	9	1	1	6	1	0	2	7	-373	0	-373
"40"	39	9	115	111	4	3	1	41	0	0	4	1	1	2	9	7	10	2	0	2	1	0	1	1	-325	0	-325
"41"	40	4	248	74	8	3	1	10	0	1	0	1	0	0	2	0	2	0	0	12	1	1	0	0	-368	0	-368
"42"	41	14	248	106	11	19	9	145	9	10	8	5	10	10	39	26	28	7	9	8	5	2	4	13	-745	0	-745
"43"	42	17	115	174	21	4	7	128	3	11	4	1	1	1	4	0	2	3	1	1	0	1	2	0	-501	0	-501
"44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"45"	43	6	170	247	18	8	2	33	4	4	2	2	2	4	5	3	8	2	0	2	1	1	0	2	-526	0	-526
"46"	44	15	189	325	27	16	8	58	1	6	2	2	2	2	12	3	8	2	1	1	0	0	0	0	-680	0	-680
"47"	45	5	59	160	13	3	5	4	1	0	3	1	2	2	4	1	6	0	1	4	0	0	0	1	-275	0	-275
"48"	46	18	152	59	2	9	3	98	4	9	5	14	5	7	19	17	29	5	2	1	1	2	3	2	-466	0	-466
"49"	47	7	19	248	20	6	1	4	1	1	1	0	0	1	2	4	5	6	8	32	7	3	3	7	-386	0	-386
"50"	48	15	251	148	10	10	6	16	2	1	2	2	4	3	13	4	14	5	4	6	1	3	2	11	-533	0	-533
"51"	49	15	358	89	9	13	6	86	5	5	4	7	10	14	25	40	55	0	2	3	1	0	1	3	-751	0	-751
"52"	50	9	121	116	9	12	5	35	2	1	2	7	6	7	30	2	24	2	2	9	2	7	3	6	-419	0	-419
"53"	51	4	156	293	6	6	7	34	6	4	1	6	2	4	7	8	9	0	0	2	0	0	0	0	-555	0	-555
"54"	52	10	158	160	9	8	8	112	5	11	5	5	6	8	26	13	18	4	4	8	1	2	3	5	-589	0	-589
"55"	53	20	374	78	6	3	2	5	0	1	2	1	1	1	2	3	3	8	5	9	2	4	2	4	-536	0	-536
"56"	54	5	264	93	3	8	1	14	0	1	1	0	2	2	25	3	19	3	1	4	0	1	1	0	-451	0	-451
