"Sl..No..of.Polling.Station"	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"Total.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"1"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"2"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"3"	"1"	"24"	"252"	"176"	"47"	"6"	"505"	""	"505"	""
"4"	"2"	"47"	"93"	"265"	"157"	"32"	"594"	""	"594"	""
"5"	"3"	"21"	"108"	"184"	"129"	"45"	"487"	""	"487"	""
"6"	"4"	"27"	"160"	"66"	"127"	"23"	"403"	""	"403"	""
"7"	"5"	"31"	"181"	"299"	"168"	"17"	"696"	""	"696"	""
"8"	"6"	"26"	"175"	"153"	"119"	"17"	"490"	""	"490"	""
"9"	"7"	"21"	"195"	"109"	"195"	"14"	"534"	""	"534"	""
"10"	"8"	"15"	"150"	"189"	"165"	"18"	"537"	""	"537"	""
"11"	"9"	"6"	"34"	"226"	"67"	"14"	"347"	""	"347"	""
"12"	"10"	"4"	"243"	"102"	"8"	"0"	"357"	""	"357"	""
"13"	"11"	"22"	"458"	"38"	"104"	"20"	"642"	""	"642"	""
"14"	"12"	"39"	"433"	"91"	"39"	"41"	"643"	""	"643"	""
"15"	"13"	"12"	"451"	"77"	"42"	"8"	"590"	""	"590"	""
"16"	"14"	"36"	"244"	"174"	"57"	"21"	"532"	""	"532"	""
"17"	"Total Round 1"	"331"	"3177"	"2149"	"1424"	"276"	"7357"	"0"	"7357"	"0"
"18"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"19"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"20"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"21"	"15"	"9"	"273"	"181"	"32"	"-"	"495"	""	"495"	""
"22"	"16"	"8"	"208"	"109"	"30"	"3"	"358"	""	"358"	""
"23"	"17"	"28"	"215"	"273"	"90"	"19"	"625"	""	"625"	""
"24"	"18"	"16"	"64"	"262"	"26"	"5"	"373"	""	"373"	""
"25"	"19"	"16"	"193"	"332"	"72"	"19"	"632"	""	"632"	""
"26"	"20"	"43"	"307"	"230"	"51"	"22"	"653"	""	"653"	""
"27"	"21"	"22"	"222"	"153"	"156"	"18"	"571"	""	"571"	""
"28"	"22"	"30"	"263"	"232"	"137"	"18"	"680"	""	"680"	""
"29"	"23"	"28"	"333"	"187"	"127"	"40"	"715"	""	"715"	""
"30"	"24"	"7"	"356"	"118"	"128"	"10"	"619"	""	"619"	""
"31"	"25"	"36"	"171"	"167"	"172"	"41"	"587"	""	"587"	""
"32"	"26"	"25"	"165"	"128"	"79"	"15"	"412"	""	"412"	""
"33"	"27"	"45"	"246"	"116"	"193"	"23"	"623"	""	"623"	""
"34"	"28"	"29"	"64"	"157"	"247"	"41"	"538"	""	"538"	""
"35"	"Total Round 2"	"342"	"3080"	"2645"	"1540"	"274"	"7881"	"0"	"7881"	"0"
"36"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"37"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
"38"	""	"1"	"2"	"3"	"4"	"5"	""	""	""	""
"39"	"29"	"17"	"185"	"88"	"216"	"15"	"521"	""	"521"	""
"40"	"30"	"12"	"29"	"64"	"249"	"13"	"367"	""	"367"	""
"41"	"31"	"34"	"182"	"221"	"123"	"19"	"579"	""	"579"	""
"42"	"32"	"12"	"246"	"215"	"14"	"3"	"490"	""	"490"	""
"43"	"33"	"1"	"30"	"651"	"8"	"-"	"690"	""	"690"	""
"44"	"34"	"9"	"65"	"340"	"18"	"3"	"435"	""	"435"	""
"45"	"35"	"-"	"10"	"580"	"5"	"1"	"596"	""	"596"	""
"46"	"36"	"21"	"279"	"187"	"94"	"23"	"604"	""	"604"	""
"47"	"37"	"11"	"171"	"218"	"138"	"22"	"560"	""	"560"	""
"48"	"38"	"24"	"68"	"240"	"38"	"7"	"377"	""	"377"	""
"49"	"39"	"8"	"52"	"473"	"25"	"7"	"565"	""	"565"	""
"50"	"40"	"-"	"155"	"75"	"11"	"3"	"244"	""	"244"	""
"51"	"41"	"15"	"201"	"66"	"154"	"7"	"443"	""	"443"	""
"52"	"42"	"10"	"422"	"12"	"55"	"4"	"503"	""	"503"	""
"53"	"Total Round 3"	"174"	"2095"	"3430"	"1148"	"127"	"6974"	"0"	"6974"	"0"
"54"	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"55"	""	"PALTAN RAM"	"RAMPRIT PASWAN"	"RAM LASHAN RAM RAMAN"	"DHANVIR PASWAN"	"VESHLAL PASWAN"	""	""	""	""
